pmid,title,journal,year,drug,disease
40490052,Helminth-induced prostaglandin signaling and dietary shifts in PUFA metabolism promote colitis-associated cancer.,Journal of lipid research,2025,Aspirin,Colon Cancer
40118136,Vitamin C and D do not increase the chemopreventive effect of aspirin on colon carcinogenesis in a mouse model.,Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2025,Aspirin,Colon Cancer
40069753,Colorectal cancer knowledge and screening awareness in Syria: a cross-sectional study.,BMC public health,2025,Aspirin,Colon Cancer
40067142,Adjuvant Aspirin Treatment in PIK3CA-Mutated Colon Cancer Patients: The SAKK 41/13 Prospective Randomized Placebo-Controlled Double-Blind Trial.,Clinical cancer research : an official journal of the American Association for Cancer Research,2025,Aspirin,Colon Cancer
39996767,Salicylate-Elicited Activation of AMP-Activated Protein Kinase Directly Triggers Degradation of C-Myc in Colorectal Cancer Cells.,Cells,2025,Aspirin,Colon Cancer
39884575,Prostaglandin E(2) and Akt Promote Stemness in Apc Mutant Dclk1+ Cells to Give Rise to Colitis-associated Cancer.,Cellular and molecular gastroenterology and hepatology,2025,Aspirin,Colon Cancer
39831571,Retrospective Cohort Study: Scope for Improvement-Barriers to Post-Polypectomy Surveillance in the Integrated Technologies for Improved Polyp Surveillance Cohort.,Alimentary pharmacology & therapeutics,2025,Aspirin,Colon Cancer
39824200,"Aspirin after completion of standard adjuvant therapy for colorectal cancer (ASCOLT): an international, multicentre, phase 3, randomised, double-blind, placebo-controlled trial.",The lancet. Gastroenterology & hepatology,2025,Aspirin,Colon Cancer
39812338,Genomic and cellular responses to aspirin in colonic organoids from African- and European-Americans.,Physiological genomics,2025,Aspirin,Colon Cancer
39758949,The role of aspirin in preventing gastrointestinal cancers.,"Gastrointestinal oncology (Philadelphia, Pa.)",2024,Aspirin,Colon Cancer
39675479,"The Relationship Between Dietary and Supplemental omega-3 Highly Unsaturated Fatty Acid Intake, Blood and Tissue omega-3 Highly Unsaturated Fatty Acid Concentrations, and Colorectal Polyp Recurrence: A Secondary Analysis of the seAFOod Polyp Prevention Trial.",The Journal of nutrition,2025,Aspirin,Colon Cancer
39507544,The Innate Immune System Surveillance Biomarker p87 in African Americans and Caucasians with Small High-Grade Dysplastic Adenoma [SHiGDA] and Right-Sided JAK3 Colon Mutations May Explain the Presence of Multiple Cancers Revealing an Important Minority of Patients with JAK3 Mutations and Colorectal Neoplasia.,"Gastrointestinal disorders (Basel, Switzerland)",2024,Aspirin,Colon Cancer
39445288,Exploring Aspirin's Potential in Cancer Prevention: A Comprehensive Review of the Current Evidence.,Cureus,2024,Aspirin,Colon Cancer
39323450,Retrospective study evaluating association of colorectal tumors and hepatitis C virus.,World journal of virology,2024,Aspirin,Colon Cancer
39178994,"Risk-stratified screening and colorectal cancer incidence and mortality: A retrospective study from the Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial.",Preventive medicine,2024,Aspirin,Colon Cancer
39081006,Development of a risk scoring system for predicting advanced colorectal neoplasia within subcentimetric polyps: A population-based study.,Journal of digestive diseases,2024,Aspirin,Colon Cancer
39005925,The metabolomics analysis of cecal contents elucidates significant metabolites involved in the therapeutic effects of total flavonoids derived from Sonchus arvensis L. in male C57BL/6 mice with ulcerative colitis.,Heliyon,2024,Aspirin,Colon Cancer
38978486,Relationship Between Aspirin Use and Site-Specific Colorectal Cancer Risk Among Individuals With Metabolic Comorbidity.,Journal of Korean medical science,2024,Aspirin,Colon Cancer
38889377,Improved Survival With Adjuvant Cyclooxygenase 2 Inhibition in PIK3CA-Activated Stage III Colon Cancer: CALGB/SWOG 80702 (Alliance).,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2024,Aspirin,Colon Cancer
38882941,Treatment of Microsatellite-Unstable Rectal Cancer in Sporadic and Hereditary Settings.,Clinics in colon and rectal surgery,2024,Aspirin,Colon Cancer
38879016,Fatty acid desaturase insertion-deletion polymorphism rs66698963 predicts colorectal polyp prevention by the n-3 fatty acid eicosapentaenoic acid: a secondary analysis of the seAFOod polyp prevention trial.,The American journal of clinical nutrition,2024,Aspirin,Colon Cancer
38877828,Effect of vitamin E delta-tocotrienol and aspirin on Wnt signaling in human colon cancer stem cells and in adenoma development in APCmin/+ mice.,Carcinogenesis,2024,Aspirin,Colon Cancer
38668052,The Potential of Integrative Cancer Treatment Using Melatonin and the Challenge of Heterogeneity in Population-Based Studies: A Case Report of Colon Cancer and a Literature Review.,"Current oncology (Toronto, Ont.)",2024,Aspirin,Colon Cancer
38611081,Obesity and Inflammatory Factors in the Progression of Early-Onset Colorectal Cancer.,Cancers,2024,Aspirin,Colon Cancer
38601481,Effects of aspirin on colon cancer using quantitative proteomic analysis.,Cancer pathogenesis and therapy,2024,Aspirin,Colon Cancer
38572238,Study on the effect and mechanism of Lacticaseibacillus rhamnosus AFY06 on inflammation-associated colorectal cancer induced by AOM/DSS in mice.,Frontiers in microbiology,2024,Aspirin,Colon Cancer
