PMID,Title,Journal,Year
40393718,Systematic review and meta-analysis of the efficacy of biologic and targeted synthetic therapies in sarcoidosis.,Thorax,2025
40200173,Dual biological treatments in immune-mediated disorders: a single center experience.,BMC immunology,2025
39940955,Early Anti-Drug Antibodies Predict Adalimumab Response in Juvenile Idiopathic Arthritis.,International journal of molecular sciences,2025
39695351,Pulmonary toxicity assessment of tumor necrosis factor alpha inhibitors in the treatment of IBD: a real world study based on US food and drug administration adverse events reporting system (FAERS).,Expert opinion on drug safety,2024
38884564,Evaluation of multiple-flows exhaled nitric oxide and its clinical significance in severe asthmatic patients treated with biologics: a prospective real-life study.,The Journal of asthma : official journal of the Association for the Care of Asthma,2024
38305415,"Long-term drug survival of adalimumab, infliximab, secukinumab and ustekinumab in hidradenitis suppurativa: a Danish nationwide cohort study.",The British journal of dermatology,2024
36795972,Anti-Tumor Necrosis Factor for Supplementary Management in Severe Asthma: A Systematic Review and Meta-analysis.,Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research,2023
36696667,"Epidemiology, Treatment, and Outcomes of Juvenile Idiopathic Arthritis-Associated Uveitis: A Multi-Institutional Study in Taiwan.",Ocular immunology and inflammation,2023
36566884,The Influence of US Drug Price Dynamics on Cost-Effectiveness Analyses of Biologics.,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,2023
36355314,The Combination of Dupilumab with Other Monoclonal Antibodies.,Dermatology and therapy,2023
34511879,"Adalimumab Therapy in a Patient with Psoriasis, Down Syndrome, and Concomitant Hepatitis B Virus Infection.",Biologics : targets & therapy,2021
34039422,Felty syndrome: a case report.,Journal of medical case reports,2021
32962463,Ustekinumab associated chronic eosinophilic pneumonia.,The Journal of asthma : official journal of the Association for the Care of Asthma,2021
32441764,Repositioning PARP inhibitors for SARS-CoV-2 infection(COVID-19); a new multi-pronged therapy for acute respiratory distress syndrome?,British journal of pharmacology,2020
31711560,The Efficacy and Evidence-Based Use of Biologics in Children and Adolescents: Using Monoclonal Antibodies and Fusion Proteins as Treatments.,Deutsches Arzteblatt international,2019
30873952,Adalimumab provides long-lasting clinical improvement in refractory mucocutaneous Behcet's disease without formation of antidrug antibodies.,Clinical and experimental rheumatology,2019
29187897,Glycan and Peptide IgE Epitopes of the TNF-alpha Blockers Infliximab and Adalimumab - Precision Diagnostics by Cross-Reactivity Immune Profiling of Patient Sera.,Theranostics,2017
28402696,Chronic cough and an atypical pattern of peripheral pulmonary opacities: A case report secondary to suspected drug onset.,The Journal of asthma : official journal of the Association for the Care of Asthma,2018
27451592,Asthma-like symptoms in a patient with rheumatoid arthritis and Adalimumab treatment.,"Pneumologia (Bucharest, Romania)",2015
27262379,Adalimumab ameliorates OVA-induced airway inflammation in mice: Role of CD4(+) CD25(+) FOXP3(+) regulatory T-cells.,European journal of pharmacology,2016
