PMID,Title,Journal,Year
40705301,Progressive Demyelinating Disease Associated with Adalimumab Treatment in a Patient Diagnosed with Ankylosing Spondylitis.,Neurology India,2025
40245782,Relapsing-remitting multiple sclerosis as a potential consequence of thalidomide treatment: A case report.,Journal of neuroimmunology,2025
40177861,Central Nervous System Demyelination in Paediatric Pars Planitis.,Ocular immunology and inflammation,2025
39831503,Analysis of Drug-Related Tinnitus Based on the FDA Adverse Event Reporting System Database.,"British journal of hospital medicine (London, England : 2005)",2024
39506563,Adalimumab-induced CNS demyelination in a patient with multiple pre-existing autoimmune diseases: Treatment contemplation.,Modern rheumatology case reports,2025
38594426,Multiple sclerosis associated with adalimumab use in ankylosing spondylitis.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2024
37816262,"Ocrelizumab and ofatumumab, but not rituximab, trigger complement induction in vitro.",International immunopharmacology,2023
37407661,Using real-world evidence data and digital monitoring to analyze the hepatotoxic profiles of biologics across more than two million patients.,Scientific reports,2023
37125695,Adalimumab-induced central nervous system demyelination in a patient with rheumatoid arthritis.,The neuroradiology journal,2024
36514524,Multiple Sclerosis - Like Demyelinating Lesions During Adalimumab Treatment in a Case with Crohn's Disease.,Noro psikiyatri arsivi,2022
36322707,Medications and the risk of perforated appendicitis: an adverse event report system (FAERS) database analysis.,Expert review of gastroenterology & hepatology,2022
36150118,Multiple Sclerosis in a Patient with Intermediate Uveitis and Juvenile Idiopathic Arthritis Treated with Adalimumab: A Case Report.,Ocular immunology and inflammation,2023
36099542,Predictive Factors for Magnetic Resonance Imaging Changes Suggestive of Demyelination in Adult Patients with Uveitis Scanned Prior to Commencing Adalimumab Therapy.,Ocular immunology and inflammation,2023
36009588,"Juvenile Idiopathic Arthritis, Uveitis and Multiple Sclerosis: Description of Two Patients and Literature Review.",Biomedicines,2022
35296124,Demyelinating Neurological Adverse Events following the Use of Anti-TNF-alpha Agents: A Double-Edged Sword.,Case reports in neurological medicine,2022
35088114,"Reply on Comments on the paper ""Clinical characteristics and treatment of pars planitis: an adalimumab experience"" by Ozdemir et al.",Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2022
35015113,"Comments on the paper ""Clinical characteristics and treatment of pars planitis: an adalimumab experience"" by Ozdemir et al.",Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2022
34557936,Demyelinating disease (multiple sclerosis) in a patient with psoriatic arthritis treated with adalimumab: a case-based review.,Rheumatology international,2021
34103339,TNF-alpha inhibitors used as steroid-sparing maintenance monotherapy in parenchymal CNS sarcoidosis.,"Journal of neurology, neurosurgery, and psychiatry",2021
33945946,CNS demyelination with TNFalpha inhibitor exposure: A retrospective cohort study.,Journal of neuroimmunology,2021
