PMID,Title,Journal,Year
40376321,Cardiovascular Outcomes of Disease-Modifying Antirheumatic Drugs in Rheumatoid Arthritis: A Review of the Current Evidence.,Cureus,2025
40177742,Tuberculous Necrotizing Fasciitis in a Patient with Rheumatoid Arthritis on Anti-TNF Treatment: A Case Report.,European journal of rheumatology,2025
40089022,Long-term cardiovascular safety of ustekinumab in psoriasis and psoriatic arthritis: Results from an observational postauthorization safety study based on Swedish national registers.,Journal of the American Academy of Dermatology,2025
38866553,Cardiovascular Adverse Events Associated with Tumor Necrosis Factor-Alpha Inhibitors: A Real-World Pharmacovigilance Analysis.,Journal of atherosclerosis and thrombosis,2024
37609068,Coronary artery involvement in a patient with IgG4-related disease.,Radiology case reports,2023
34724089,Tumor necrosis factor inhibitor (TNFi) persistence and reasons for discontinuation in a predominantly male cohort with axial spondyloarthritis.,Rheumatology international,2022
34537348,Cohort Study Examining the Association of Immunosuppressant Drug Prescription With Major Adverse Cardiovascular and Limb Events in Patients With Peripheral Artery Disease.,Annals of vascular surgery,2022
33559485,"Predictors, Type, and Impact of Bleeding on the Net Clinical Benefit of Long-Term Ticagrelor in Stable Patients With Prior Myocardial Infarction.",Journal of the American Heart Association,2021
33139359,Fulminant immune-mediated necrotising myopathy (IMNM) mimicking myocardial infarction with non-obstructive coronary arteries (MINOCA).,BMJ case reports,2020
33044497,Overall and Cause-Specific Mortality in Randomized Clinical Trials Comparing Percutaneous Interventions With Coronary Bypass Surgery: A Meta-analysis.,JAMA internal medicine,2020
32978937,Cardiovascular Risk Assessment and Impact of Medications on Cardiovascular Disease in Inflammatory Bowel Disease.,Inflammatory bowel diseases,2021
31633837,Risk of major cardiovascular events in patients with psoriasis receiving biologic therapies: a prospective cohort study.,Journal of the European Academy of Dermatology and Venereology : JEADV,2020
30175897,Tocilizumab and the Risk of Cardiovascular Disease: Direct Comparison Among Biologic Disease-Modifying Antirheumatic Drugs for Rheumatoid Arthritis Patients.,Arthritis care & research,2019
30111357,"A comparative clinical study of PF-06410293, a candidate adalimumab biosimilar, and adalimumab reference product (Humira(R)) in the treatment of active rheumatoid arthritis.",Arthritis research & therapy,2018
29807889,Psoriasis and Inflammation More Than Skin Deep.,Circulation. Cardiovascular imaging,2018
29573294,Anti-inflammatory therapy with tumour necrosis factor inhibitors is associated with reduced risk of major adverse cardiovascular events in psoriasis.,Journal of the European Academy of Dermatology and Venereology : JEADV,2018
29541795,The role of lymphotoxin-alpha in rheumatoid arthritis.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2018
29036254,Evaluation of Risk of Major Adverse Cardiovascular Events With Biologic Therapy in Patients With Psoriasis.,Journal of drugs in dermatology : JDD,2017
28073800,Relationship between exposure to tumour necrosis factor inhibitor therapy and incidence and severity of myocardial infarction in patients with rheumatoid arthritis.,Annals of the rheumatic diseases,2017
27894789,Cardiovascular event risk assessment in psoriasis patients treated with tumor necrosis factor-alpha inhibitors versus methotrexate.,Journal of the American Academy of Dermatology,2017
