PMID,Title,Journal,Year
40836411,Different effects of tumor necrosis factor monoclonal antibody and receptor fusion protein on bone metabolism.,International immunopharmacology,2025
40495262,"Efficacy and Safety of ABBV-154 for the Treatment of Active Rheumatoid Arthritis: A Phase 2b, Randomized, Placebo-Controlled Trial.","Arthritis & rheumatology (Hoboken, N.J.)",2025
39079412,Identification of critical genes and metabolic pathways in rheumatoid arthritis and osteoporosis toward drug repurposing.,Computers in biology and medicine,2024
38672734,Correlation between Trabecular Bone Score and Homocysteine Level in Rheumatoid Arthritis Patients on Anti-TNF Inhibitors.,"Life (Basel, Switzerland)",2024
38006373,PAPA Syndrome: Challenges in Achieving Long-Term Remission.,Acta dermatovenerologica Croatica : ADC,2023
36896680,Subchondral insufficiency fracture of the femoral head in a patient with ankylosing spondylitis: Case report and literature review.,International journal of rheumatic diseases,2023
36713411,Case report: Dupilumab treatment improved type 2 disorders in a patient with IPEX syndrome diagnosis.,Frontiers in immunology,2022
35814767,Case Report: A Case Series of Immunobiological Therapy (Anti-TNF-alpha) for Patients With Erythema Nodosum Leprosum.,Frontiers in medicine,2022
37461953,"P034 State of Health Maintenance Among IBD Patients at a Tertiary Care Center in Abu Dhabi, United Arab Emirates.",The American journal of gastroenterology,2021
34239438,The Efficacy of Adalimumab as an Initial Treatment in Patients with Behcet's Retinal Vasculitis.,Frontiers in pharmacology,2021
31568820,Biosimilars in rheumatology.,Pharmacological research,2019
31171024,Persistence rates of abatacept and TNF inhibitors used as first or second biologic DMARDs in the treatment of rheumatoid arthritis: 9 years of experience from the Rhumadata(R) clinical database and registry.,Arthritis research & therapy,2019
28418334,Juvenile Idiopathic Arthritis.,Balkan medical journal,2017
28169065,Influence of anti-TNF therapy on bone metabolism in patients with inflammatory bowel disease.,European journal of internal medicine,2017
27796445,Biologic therapies and bone loss in rheumatoid arthritis.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2017
27330166,Anti-citrullinated protein antibodies are linked to erosive disease in an observational study of patients with psoriatic arthritis.,"Rheumatology (Oxford, England)",2016
27307275,Effects of TNF Inhibitors on Parathyroid Hormone and Wnt Signaling Antagonists in Rheumatoid Arthritis.,Calcified tissue international,2016
25708920,Risk of hospitalized infection among rheumatoid arthritis patients concurrently treated with a biologic agent and denosumab.,"Arthritis & rheumatology (Hoboken, N.J.)",2015
25539441,A case of rheumatoid arthritis with Felty syndrome complicated by late-onset ankylosing spondylitis and psoriatic arthritis: a potpourri of rheumatic diseases.,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,2015
25175812,Combination therapy with an immunomodulator and anti-TNFalpha agent improves bone mineral density in IBD patients.,Journal of Crohn's & colitis,2014
