PMID,Title,Journal,Year
38279431,Oxidized low-density lipoprotein induces M2-type differentiation of macrophages to promote the protracted progression of atherosclerotic inflammation in high-fat diet-fed ApoE -/- mice.,"Cellular and molecular biology (Noisy-le-Grand, France)",2023
29496901,Evaluation of human coronary vasodilator function predicts future coronary atheroma progression.,Heart (British Cardiac Society),2018
28718249,Frequency Of Undiagnosed Chronic Obstructive Pulmonary Disease In Patients With Coronary Artery Disease.,"Journal of Ayub Medical College, Abbottabad : JAMC",2017
25296909,Coronary atheroma composition and its association with segmental endothelial dysfunction in non-ST segment elevation myocardial infarction: novel insights with radiofrequency (iMAP) intravascular ultrasonography.,The international journal of cardiovascular imaging,2015
25024410,Left main coronary arterial endothelial function and heterogenous segmental epicardial vasomotor reactivity in vivo: novel insights with intravascular ultrasonography.,European heart journal. Cardiovascular Imaging,2014
24425248,Coronary artery wall shear stress is associated with endothelial dysfunction and expansive arterial remodelling in patients with coronary artery disease.,EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,2015
20236713,Lack of association between aortic sclerosis and left ventricular hypertrophy in elderly subjects.,International journal of cardiology,2011
19122136,Chronic obstructive pulmonary disease and panic disorder: their interrelationships and a unique utilization of beta-receptor agonists.,Psychosomatics,2008
17572401,Age decreases nitric oxide synthesis and responsiveness in human platelets and increases formation of monocyte-platelet aggregates.,Cardiovascular research,2007
15948715,Endothelial function and baroreflex sensitivity according to the oral glucose tolerance test in patients with coronary artery disease and normal fasting glucose levels.,"Clinical science (London, England : 1979)",2005
15642763,Role of beta2 adrenergic receptors in human atherosclerotic coronary arteries.,Circulation,2005
12142121,Assessment of endothelial function using peripheral waveform analysis: a clinical application.,Journal of the American College of Cardiology,2002
