PMID,Title,Journal,Year
39434856,Flecainide toxicity with pill-in-pocket approach from accidental overdose: a case report.,European heart journal. Case reports,2024
34874604,Use of esmolol for control of tachycardia in 28 dogs and cats (2003-2020).,"Journal of veterinary emergency and critical care (San Antonio, Tex. : 2001)",2022
34571145,Switching to nebulised short acting bronchodilators does not increase the risk of arrhythmia in patients hospitalized with a COPD exacerbation.,Pharmacological research,2021
30242825,"The effect of nebulized salbutamol on atrial electrical properties in mechanically ventilated critically ill patients - a randomized, double-blind study.",Anaesthesiology intensive therapy,2018
30016400,Exchange protein activated by cyclic-adenosine monophosphate (Epac) regulates atrial fibroblast function and controls cardiac remodelling.,Cardiovascular research,2019
28414688,ECG Of The Month: Mental Disturbance for 4 days.,The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society,2017
29542893,Atrial fibrillation in an asthmatic patient with albuterol-induced lactic acidosis.,"Pneumologia (Bucharest, Romania)",2016
26138630,Risk factors and outcomes associated with new-onset atrial fibrillation during acute respiratory distress syndrome.,Journal of critical care,2015
25446059,"Explaining unexplained dyspnea: the ever ""holesome"" heart.",Circulation,2014
24111528,Predictive value of atrial high-rate episodes for arterial stiffness and endothelial dysfunction in dual-chamber pacemaker patients.,European journal of clinical investigation,2014
22731873,First do no harm: surrogate endpoints and the lesson of beta-agonists in acute lung injury.,"Critical care (London, England)",2012
22608569,Effect of bronchodilator treatment on the incidence of postoperative atrial fibrillation after cardiac surgery.,Heart & lung : the journal of critical care,2012
21562125,"Randomized, placebo-controlled clinical trial of an aerosolized beta(2)-agonist for treatment of acute lung injury.",American journal of respiratory and critical care medicine,2011
19171401,Atrial fibrillation associated with chocolate intake abuse and chronic salbutamol inhalation abuse.,International journal of cardiology,2010
19011503,Arrhythmias in patients with chronic obstructive pulmonary disease (COPD): occurrence frequency and the effect of treatment with the inhaled long-acting beta2-agonists arformoterol and salmeterol.,Medicine,2008
18383935,[Highlights 2007 in hospital-based internal medicine: the point of view from the chief residents].,Revue medicale suisse,2008
18072161,Acute clenbuterol overdose resulting in supraventricular tachycardia and atrial fibrillation.,Journal of medical toxicology : official journal of the American College of Medical Toxicology,2007
18035867,Comparative safety of long-acting inhaled bronchodilators: a cohort study using the UK THIN primary care database.,Drug safety,2007
10136950,The clinical effects and cost-avoidance of a change in perioperative bronchodilator use.,The Canadian journal of hospital pharmacy,1994
1523141,[Effect of salbutamol on heart rate in patients with atrial fibrillation].,Polskie Archiwum Medycyny Wewnetrznej,1992
