PMID,Title,Journal,Year
39756572,Influence of the ERK/CHGB pathway in breast cancer progression under chronic stress.,The international journal of biochemistry & cell biology,2025
38223868,Potential Anaphylaxis to Systemic Phenylephrine: A Case Report.,Hospital pharmacy,2024
37725114,The Beta2-adrenergic agonist salbutamol synergizes with paclitaxel on cell proliferation and tumor growth in triple negative breast cancer models.,Cancer chemotherapy and pharmacology,2023
36614209,Activation of beta-Adrenoceptors Promotes Lipid Droplet Accumulation in MCF-7 Breast Cancer Cells via cAMP/PKA/EPAC Pathways.,International journal of molecular sciences,2023
28359245,"The beta 2-Adrenergic Agonist Salbutamol Inhibits Migration, Invasion and Metastasis of the Human Breast Cancer MDA-MB- 231 Cell Line.",Current cancer drug targets,2017
25015164,Left main stem/LCA arising from right coronary sinus with an interarterial course.,BMJ case reports,2014
22122228,Involvement of alpha2- and beta2-adrenoceptors on breast cancer cell proliferation and tumour growth regulation.,British journal of pharmacology,2012
20333483,New evidence in pulmonary and preventive medicine.,Internal and emergency medicine,2010
17510230,Salbutamol exhibits androgenic activity in vitro.,British journal of sports medicine,2007
12411626,Dyspnoea worsened by salmeterol.,Journal of the Royal Society of Medicine,2002
10194427,A randomized phase 3 study of peripheral blood progenitor cell mobilization with stem cell factor and filgrastim in high-risk breast cancer patients.,Blood,1999
