PMID,Title,Journal,Year
40936497,Dispensing of medicines for asthma and chronic obstructive pulmonary disease through the government health insurance in Syria: a retrospective analysis.,Global health action,2025
40588257,Emergency Medical Services Responses to School-Based Medical Emergencies.,Pediatrics,2025
40548879,Changes in Respiratory Care Use During the COVID-19 Pandemic in a Pediatric Long-Term Care Facility.,"Pediatric allergy, immunology, and pulmonology",2025
40190989,Nebulized Long-Acting Bronchodilators to Treat Acute Respiratory Failure in an Older Adult: A Case Report.,Cureus,2025
40152091,Wheezing Episodes in Children Before and After the Onset of the COVID-19 Pandemic in Brussels.,Pediatric pulmonology,2025
39945336,Real-world prevalence of potential drug-drug interactions associated with oral advanced therapies indicated for ulcerative colitis.,Current medical research and opinion,2025
39678577,Severe pneumonia caused by Elizabethkingia anophelis combined with Acinetobacter baumannii infection: a case report.,American journal of translational research,2024
39544634,Impact of nebulization versus metered-dose inhaler utilization on viral particle dispersion in patients with COVID-19.,Journal of infection prevention,2025
39537328,Metered-Dose Inhaler Versus Nebulizer Treatment for Acute Asthma Exacerbation: A Process Evaluation.,Journal of doctoral nursing practice,2024
39465096,A Novel Common Canister Protocol for Albuterol Sulfate Metered Dose Inhalers: Conservation Strategy and Clinical Outcomes Amid COVID-19 Pandemic.,Hospital pharmacy,2024
39377094,High-flow humidified oxygen as an early intervention in children with acute severe asthma: a feasibility randomised controlled trial.,ERJ open research,2024
38872617,Impact of the COVID-19 Pandemic on Low-Value Testing and Treatment of Bronchiolitis.,Hospital pediatrics,2024
38546733,High-Flow Humidified Oxygen as an Early Intervention in Children With Acute Severe Asthma: Protocol for a Feasibility Randomized Controlled Trial.,JMIR research protocols,2024
38397695,Pharmaceutical and Recreational Drug Usage Patterns during and Post COVID-19 Determined by Wastewater-Based Epidemiology.,International journal of environmental research and public health,2024
38187499,COVID-19 frequency and clinical course in children with asthma.,World journal of virology,2023
37822769,Medication adherence in Medicare-enrolled older adults with asthma and chronic obstructive pulmonary disease before and during COVID-19 pandemic.,Therapeutic advances in chronic disease,2023
37763987,Lelliottia amnigena and Pseudomonas putida Coinfection Associated with a Critical SARS-CoV-2 Infection: A Case Report.,Microorganisms,2023
37737535,The epidemiologic trend of respiratory syncytial virus has returned strongly to its origin after the pandemic: Five-year data from a single center.,Pediatric pulmonology,2023
37672869,Predictive models of long COVID.,EBioMedicine,2023
37594153,The changing virology and trends in resource utilization for bronchiolitis since COVID-19.,Pediatric pulmonology,2023
