PMID,Title,Journal,Year
40936497,Dispensing of medicines for asthma and chronic obstructive pulmonary disease through the government health insurance in Syria: a retrospective analysis.,Global health action,2025
40887869,"A Comparison of the Molecular Pharmacological Properties of Current Short, Long, and Ultra-Long-Acting beta(2)-Agonists Used for Asthma and COPD.",Pharmacology research & perspectives,2025
40880053,Evaluation of Preliminary Bronchodilation Effect on Aerosol Delivery from a Dry Powder Inhaler for Patients with Chronic Obstructive Pulmonary Disease with Suboptimal Peak Inspiratory Flow Rate.,Clinical pharmacokinetics,2025
40773134,Biased Signaling and Its Role in the Genesis of Short- and Long-Acting beta(2)-Adrenoceptor Agonists.,Biochemistry,2025
40673353,[Unfounded objections against the use of salbutamol/ipratropium].,Nederlands tijdschrift voor geneeskunde,2025
40672729,Clinical characteristics of asthma-chronic obstructive pulmonary disease overlap phenotypes.,Postepy dermatologii i alergologii,2025
40640734,Comparison of oscillometry with lung function parameters between patients with stable bronchial asthma with airflow obstruction and chronic obstructive pulmonary disease.,BMC pulmonary medicine,2025
40622686,Budesonide-Formoterol Metered-Dose Inhaler vs Fluticasone-Salmeterol Dry-Powder Inhaler.,JAMA internal medicine,2025
40604811,The effect of intrapulmonary percussive ventilation on clinical parameters and the deposition of inhalation products in patients with stable COPD.,BMC pulmonary medicine,2025
40416097,Whispers of the Heart: Myocardial Infarction Induced by Beta Agonists.,Cureus,2025
40402051,A Case of Prehospital Magnesium Sulfate Extravasation.,Clinical practice and cases in emergency medicine,2025
40384948,"Albuterol Digihaler in COPD Disease Management: A Real-World Study to Assess Digihaler Inhalation Parameters, Thresholds and Their Use to Identify Deterioration in Clinical Practice.",International journal of chronic obstructive pulmonary disease,2025
40367410,The comparative effectiveness and safety of fluticasone-salmeterol via metered-dose versus dry powder inhalers for COPD: A new user cohort study.,PLoS medicine,2025
40356248,Lung Deposition of Extrafine Versus Nonextrafine Aerosols at Low Inhalation Flow Rates in Adult Asthma Patients: A Composition Study.,Journal of aerosol medicine and pulmonary drug delivery,2025
40355297,Predictive machine learning algorithm for COPD exacerbations using a digital inhaler with integrated sensors.,BMJ open respiratory research,2025
40268707,Recognising and managing albuterol-induced lactic acidosis.,BMJ case reports,2025
40258197,Driving Sustainability in Asthma and COPD Management: Preventative Models and Green Prescribing in a Rural Primary Care Practice in England.,Journal of primary care & community health,2025
40190989,Nebulized Long-Acting Bronchodilators to Treat Acute Respiratory Failure in an Older Adult: A Case Report.,Cureus,2025
40169239,Inhaled or nebulised salbutamol for exacerbations of asthma and chronic obstructive pulmonary disease?,Emergency medicine journal : EMJ,2025
40135314,"Impact of Fluticasone Propionate and Salmeterol Combined with Pulmonary Rehabilitation on Pulmonary Function, Exercise Tolerance, and Quality of Life in Elderly Patients with Stable Chronic Obstructive Pulmonary Disease.","British journal of hospital medicine (London, England : 2005)",2025
