PMID,Title,Journal,Year
40824874,Integrative cardiovascular study of adaptations induced by early ovariectomy in the hypertensive heart.,American journal of physiology. Heart and circulatory physiology,2025
40649152,Assessment of Bronchodilator Response in Patients with CF and Non-CF Bronchiectasis-A Randomized Controlled Study.,Journal of clinical medicine,2025
40226890,Performance of the Asthma Clinical Score in the Evaluation of Acute Asthma in the Emergency Department.,Pediatric pulmonology,2025
39677137,"Correlation Between Vitamin E Levels and Cholesterol, Vitamin D, and Frequency of Pulmonary Exacerbations in Children With Cystic Fibrosis.",Cureus,2024
39015127,"Inadvertent Intoxication with Salbutamol, Treated with Hemodialysis: A Case Report and Brief Review of the Literature.",Case reports in nephrology and dialysis,2024
38851920,Development and preliminary validation of the personalized cystic fibrosis medication questionnaire (PCF-MQ).,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,2024
38309959,[Standard technical specifications for methacholine chloride (Methacholine) bronchial challenge test (2023)].,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,2024
38276494,Effect of Disinfection Method and Testing Methodology on the Performance of a Breath-Enhanced Jet Nebulizer.,Pharmaceutics,2023
38018213,Development of Novel Spray-dried Microparticles to Treat Cystic Fibrosis: A Tri-drug Approach.,Recent advances in drug delivery and formulation,2023
37822769,Medication adherence in Medicare-enrolled older adults with asthma and chronic obstructive pulmonary disease before and during COVID-19 pandemic.,Therapeutic advances in chronic disease,2023
37814201,Investigation of the Therapeutic Effect of Salbutamol on Endometriosis in a Mouse Model.,"Reproductive sciences (Thousand Oaks, Calif.)",2024
37196208,In Vitro Effect of Combined Hypertonic Saline and Salbutamol on Ciliary Beating Frequency and Mucociliary Transport in Human Nasal Epithelial Cells of Healthy Volunteers and Patients with Cystic Fibrosis.,Journal of aerosol medicine and pulmonary drug delivery,2023
37140775,Novel therapeutic approach for the treatment of cystic fibrosis based on freeze-dried tridrug microparticles to treat cystic fibrosis.,"Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences",2023
36810334,Addition of nebulised lidocaine to prevent refractory bronchospasms in a patient receiving serial bronchoscopies.,BMJ case reports,2023
36765418,UPDATE - 2022 Italian guidelines on the management of bronchiolitis in infants.,Italian journal of pediatrics,2023
36297393,In Vitro Characterization of Aerosolized Albuterol Generated by a Jet Nebulizer and Delivered through a Heated Flow Nasal Cannula System.,"Pharmaceuticals (Basel, Switzerland)",2022
35944965,Safe and Effective Use of Score-Based Continuous Albuterol Therapy in a Pathway for Treatment of Pediatric Asthma Exacerbation.,Respiratory care,2022
35882446,Changing Positions When New Data Are Available Is Essential to Science: A Tale of a Breath-Enhanced Nebulizer.,Respiratory care,2022
35602819,Combined Pulmonary Fibrosis and Emphysema and Digital Clubbing.,Cureus,2022
35291615,Anti-Inflammatory and Anti-Remodelling Potential of Ethanol Extract Rhodomyrtus Tomentosa in Combination of Asthma and Coal Dust Models.,Reports of biochemistry & molecular biology,2022
