PMID,Title,Journal,Year
39945336,Real-world prevalence of potential drug-drug interactions associated with oral advanced therapies indicated for ulcerative colitis.,Current medical research and opinion,2025
35767902,Protective effects of (R)-enantiomers but not (S)-enantiomers of beta2-adrenergic receptor agonists against acute colitis: The role of beta2AR.,International immunopharmacology,2022
35178163,The Attenuation of Chronic Ulcerative Colitis by (R)-salbutamol in Repeated DSS-Induced Mice.,Oxidative medicine and cellular longevity,2022
35008607,Colonic Mucosal Immune Activation in Mice with Ovalbumin-Induced Allergic Airway Disease: Association between Allergic Airway Disease and Irritable Bowel Syndrome.,International journal of molecular sciences,2021
33678282,A 69-Year-Old Woman With Ulcerative Colitis and Pulmonary Nodules.,Chest,2021
33036115,"A 33-Year-Old Man With Shortness of Breath, Leukocytosis, and Intermittent Fevers.",Chest,2020
31914670,Functional characterization of 3D contractile smooth muscle tissues generated using a unique microfluidic 3D bioprinting technology.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2020
30616543,Loss of intestinal sympathetic innervation elicits an innate immune driven colitis.,"Molecular medicine (Cambridge, Mass.)",2019
26624826,Planned Cesarean Delivery at Term and Adverse Outcomes in Childhood Health.,JAMA,2015
21343403,Azathioprine-induced fever in sarcoidosis.,The Annals of pharmacotherapy,2011
12745545,Effect of pharmacologically induced smooth muscle activation on permeability in murine colitis.,Mediators of inflammation,2003
9713457,Bronchiectasis in association with coeliac disease.,Thorax,1998
3090219,Intestinal mast cell polymorphism: new research directions and clinical implications.,Journal of pediatric gastroenterology and nutrition,1986
