PMID,Title,Journal,Year
40548879,Changes in Respiratory Care Use During the COVID-19 Pandemic in a Pediatric Long-Term Care Facility.,"Pediatric allergy, immunology, and pulmonology",2025
40152091,Wheezing Episodes in Children Before and After the Onset of the COVID-19 Pandemic in Brussels.,Pediatric pulmonology,2025
39544634,Impact of nebulization versus metered-dose inhaler utilization on viral particle dispersion in patients with COVID-19.,Journal of infection prevention,2025
39537328,Metered-Dose Inhaler Versus Nebulizer Treatment for Acute Asthma Exacerbation: A Process Evaluation.,Journal of doctoral nursing practice,2024
39465096,A Novel Common Canister Protocol for Albuterol Sulfate Metered Dose Inhalers: Conservation Strategy and Clinical Outcomes Amid COVID-19 Pandemic.,Hospital pharmacy,2024
38872617,Impact of the COVID-19 Pandemic on Low-Value Testing and Treatment of Bronchiolitis.,Hospital pediatrics,2024
38187499,COVID-19 frequency and clinical course in children with asthma.,World journal of virology,2023
37763987,Lelliottia amnigena and Pseudomonas putida Coinfection Associated with a Critical SARS-CoV-2 Infection: A Case Report.,Microorganisms,2023
37524661,Health Status and Inconveniences of Asthmatic Children During the First Year of the COVID-19 Pandemic.,"Iranian journal of allergy, asthma, and immunology",2023
36510448,Mepolizumab as a Potential Protective Factor of COVID-19 Mortality: A Case Report of Chronic Bronchitis and Asthma in an Elderly Patient.,The American journal of case reports,2022
35710244,Prospective study of factors associated with asthma attack recurrence (ATTACK) in children from three Ecuadorian cities during COVID-19: a study protocol.,BMJ open,2022
35610032,Use of a Viral Filter to Reduce Exposure to Exhaled Aerosol Does Not Affect Methacholine Dose Delivery During Bronchoprovocation Testing.,Respiratory care,2022
35571345,"Examination of Medication Use Patterns by Age Group, Comorbidity, and Month in COVID-19 Positive Patients in a Large Statewide Health System During the Pandemic in 2020.",The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians,2022
35089202,Nebulized fentanyl for respiratory symptoms in patients with COVID-19 (ventanyl trial).,Medicine,2022
35056135,A Case-Control of Patients with COVID-19 to Explore the Association of Previous Hospitalisation Use of Medication on the Mortality of COVID-19 Disease: A Propensity Score Matching Analysis.,"Pharmaceuticals (Basel, Switzerland)",2022
34942183,Impact of Coronavirus Disease 2019 on the Pediatric Population with Aerodigestive Disease.,The Journal of pediatrics,2022
34848761,Drug repurposing for COVID-19 using graph neural network and harmonizing multiple evidence.,Scientific reports,2021
34677155,Acute asthma exacerbation after SARS-CoV-2 vaccine (Sinovac(R)): a case report.,Medical gas research,2022
34664782,SARS-CoV-2 acute bronchiolitis in hospitalized children: Neither frequent nor more severe.,Pediatric pulmonology,2022
34611512,Honeybee products for the treatment and recovery from viral respiratory infections including SARS-COV-2: A rapid systematic review.,Integrative medicine research,2021
