PMID,Title,Journal,Year
37614952,"Prevalence, predictors, dynamic bone change, and treatment efficacy of osteoporosis among chronic obstructive pulmonary disease patients: a prospective cohort study.",Frontiers in medicine,2023
30336748,"Conservative treatment of recurrent symptoms of an incomplete, atypical femoral fracture associated with glucocorticoid, bisphosphonate, and denosumab therapy in a patient with chronic obstructive pulmonary disease.",Acta clinica Belgica,2019
29729949,Prevention of Glucocorticoid-Induced Osteoporosis: Clinical audit to evaluate the implementation of National Osteoporosis Guideline Group 2017 guidelines in a primary care setting.,Journal of clinical densitometry : the official journal of the International Society for Clinical Densitometry,2019
29196309,Low-energy atypical femoral shaft and ipsilateral neck fracture: a rare association.,BMJ case reports,2017
28449186,The risk of lower gastrointestinal bleeding in low-dose aspirin users.,Alimentary pharmacology & therapeutics,2017
25757189,Alendronate inhalation ameliorates elastase-induced pulmonary emphysema in mice by induction of apoptosis of alveolar macrophages.,Nature communications,2015
24566586,"Alendronate, a bisphosphonate, increased upper and lower gastrointestinal bleeding: risk factor analysis from a nationwide population-based study.",Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2014
24099473,Risk factors of gastrointestinal bleeding in clopidogrel users: a nationwide population-based study.,Alimentary pharmacology & therapeutics,2013
23152095,Time trends for alendronate prescription practices in women with chronic obstructive pulmonary disease and women exposed to systemic glucocorticoids.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2013
22870478,Osteoporosis in men: insights for the clinician.,Therapeutic advances in musculoskeletal disease,2011
21623147,Glucocorticoid-induced osteoporosis in men.,Journal of endocrinological investigation,2011
20309678,Risk of atrial fibrillation associated with use of bisphosphonates and other drugs against osteoporosis: a cohort study.,Calcified tissue international,2010
17627081,"Rolipram, a phosphodiesterase 4 inhibitor, prevented cancellous and cortical bone loss by inhibiting endosteal bone resorption and maintaining the elevated periosteal bone formation in adult ovariectomized rats.",Journal of musculoskeletal & neuronal interactions,2007
16281654,Randomized controlled trial of alendronate in airways disease and low bone mineral density.,Chronic respiratory disease,2004
11728919,Alendronate for the prevention of bone loss in patients on inhaled steroid therapy.,Bone,2001
