PMID,Title,Journal,Year
37744358,Aminobisphosphonates reactivate the latent reservoir in people living with HIV-1.,Frontiers in immunology,2023
33139289,The Antifungal and Synergistic Effect of Bisphosphonates in Cryptococcus.,Antimicrobial agents and chemotherapy,2021
32584996,Safety and Efficacy of 48 and 96 Weeks of Alendronate in Children and Adolescents With Perinatal Human Immunodeficiency Virus Infection and Low Bone Mineral Density for Age.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2021
31573608,Alendronate Improves Bone Mineral Density in Children and Adolescents Perinatally Infected With Human Immunodeficiency Virus With Low Bone Mineral Density for Age.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2020
30283906,The Hidden Burden of Fractures in People Living With HIV.,JBMR plus,2018
26890207,Pharmacologic approaches to the prevention and management of low bone mineral density in HIV-infected patients.,Current opinion in HIV and AIDS,2016
26698255,Different impact of NNRTI and PI-including HAART on bone mineral density loss in HIV-infected patients.,European review for medical and pharmacological sciences,2015
26177791,"Vitamin D, osteoprotegerin/receptor activator of nuclear factor-kappaB ligand (OPG/RANKL) and inflammation with alendronate treatment in HIV-infected patients with reduced bone mineral density.",HIV medicine,2016
27482407,Adverse bone health among children and adolescents growing up with HIV.,Journal of virus eradication,2015
25300622,Is there enough evidence to use bisphosphonates in HIV-infected patients? A systematic review and meta-analysis.,AIDS reviews,2014
25166038,"HIV infection, bone metabolism, and fractures.",Arquivos brasileiros de endocrinologia e metabologia,2014
22353022,"Effect of alendronate on HIV-associated osteoporosis: a randomized, double-blind, placebo-controlled, 96-week trial (ANRS 120).",AIDS research and human retroviruses,2012
18413693,Valid treatment options for osteoporosis and osteopenia in HIV-infected persons.,The Annals of pharmacotherapy,2008
18025884,Alendronate with calcium and vitamin D supplementation is safe and effective for the treatment of decreased bone mineral density in HIV.,"AIDS (London, England)",2007
17443607,Interventions for the treatment of decreased bone mineral density associated with HIV infection.,The Cochrane database of systematic reviews,2007
17413686,Therapeutic management of bone demineralization in the HIV-infected population.,"AIDS (London, England)",2007
15718847,Reversal of HIV-1-associated osteoporosis with once-weekly alendronate.,"AIDS (London, England)",2005
