PMID,Title,Journal,Year
40938378,Adequacy of pharmacological prescription in patients at very high risk of fracture within the FLS in Spain: analysis of the REFRA FLS-SEIOMM Registry.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2025
40932695,"Beta-thalassemia trait: an underrecognized risk for osteoporosis in postmenopausal women, warranting screening.","Endocrinology, diabetes & metabolism case reports",2025
40914927,Clinical Characteristics and Management of Rare Metabolic Bone Diseases: An Audit of the Rare Metabolic Bone Disease Registry of India.,Calcified tissue international,2025
40902090,Does alendronate enhance survival rates in osteoporosis patients? A meta-analysis of randomized controlled trials.,Science progress,2025
40894393,Inpatient rehabilitation fracture liaison service (FLS) improves outcomes for secondary prevention of hip fractures.,Bone reports,2025
40852217,Erythrocyte Membrane-Cloaked and Alendronate-Loaded Hollow Prussian Blue Nanoparticles for Synergistic Osteoporosis Therapy via Antioxidant and Targeted Delivery Mechanisms.,ACS omega,2025
40780311,Cost-Effectiveness of Opportunistic Osteoporosis Screening Using Chest Radiographs With Deep Learning in the United States.,Journal of the American College of Radiology : JACR,2025
40777793,Targeted delivery of liposomal senolytics to alleviate cellular senescence-induced bone loss.,Fundamental research,2025
40745050,Time-dependent improvement of quality of life with teriparatide or alendronate therapy: a JOINT-05 sub-analysis.,Journal of bone and mineral metabolism,2025
40742575,Early transition from short-term romosozumab to antiresorptive therapies: analysis of 26 cases.,Archives of osteoporosis,2025
40731788,Risk of Osteonecrosis of the Jaw in Patients Treated with Zoledronic or Alendronic Acid: A Systematic Review.,"Medicina (Kaunas, Lithuania)",2025
40695493,Improvement of medication adherence in osteoporosis through telemedicine combined with email: a patient-reported experience and outcome measure-based prospective study.,BMJ health & care informatics,2025
40676668,Quantitative computed tomography analysis of bone microarchitecture is associated with rotator cuff healing.,Journal of orthopaedic surgery and research,2025
40673132,A biomimetic multimodal nanoplatform combining neutrophil-coated two-dimensional metalloporphyrinic framework nanosheet and exendin-4 to treat obesity-related osteoporosis.,Materials today. Bio,2025
40672612,Alendronate sodium demonstrates significant clinical advantages in treating osteoporosis secondary to severe fractures.,American journal of translational research,2025
40671422,Anti-Osteoporosis Treatment Alleviates Osteoarthritis Symptoms and Partially Reverses Disease Progression.,Orthopaedic surgery,2025
40658006,Therapeutic liposomes synergize with active molecules to enhance targeted therapy.,Journal of drug targeting,2025
40653165,Comparison Between Alendronate and Denosumab in Preventing Bone Loss and Lowering Fracture Risk Related to Adjuvant Endocrine Therapy for Breast Cancer: Real-World Data From a Third-Level Center Experience.,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,2025
40619534,Introducing equivalent and threshold doses in the assessment of medication-related osteonecrosis of the jaw risk: insights from a descriptive study in Iran.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2025
40612431,"The efficacy and safety of denosumab, risedronate, alendronate and teriparatide to treat male osteoporosis: a systematic review and bayesian network meta-analysis.",Frontiers in endocrinology,2025
