PMID,Title,Journal,Year
40848325,The use of alendronate to enhance transcranial transmission of focused ultrasound for successful ablations in brain.,Ultrasonics,2025
27374761,"Retraction: 'Alendronate and vitamin D2 for prevention of hip fracture in Parkinson's disease: A randomized controlled trial,' by Sato, Y., Iwamoto, J., Kanoko, T., and Satoh, K.",Movement disorders : official journal of the Movement Disorder Society,2016
26976513,Primary brain calcification in patients undergoing treatment with the biphosphanate alendronate.,Scientific reports,2016
23827368,"Pre-emptive, early, and delayed alendronate treatment in a rat model of knee osteoarthritis: effect on subchondral trabecular bone microarchitecture and cartilage degradation of the tibia, bone/cartilage turnover, and joint discomfort.",Osteoarthritis and cartilage,2013
23672934,An osteoporotic fracture mimicking cervical dystonia in idiopathic Parkinson's disease.,Age and ageing,2013
23179576,Anti-osteoporotic therapy in Denmark--predictors and demographics of poor refill compliance and poor persistence.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2013
23173109,Strategy for prevention of hip fractures in patients with Parkinson's disease.,World journal of orthopedics,2012
23070480,Characteristics of patients who suffer major osteoporotic fractures despite adhering to alendronate treatment: a National Prescription registry study.,Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,2013
22372723,Efficacy of antiresorptive agents for preventing fractures in Japanese patients with an increased fracture risk: review of the literature.,Drugs & aging,2012
21456887,Efficacy of oral bisphosphonates for preventing hip fracture in disabled patients with neurological diseases: a meta-analysis of randomized controlled trials among the Japanese population.,Current medical research and opinion,2011
19199933,Use of protein tyrosine phosphatase inhibitors as promising targeted therapeutic drugs.,Current medicinal chemistry,2009
17147460,Tolerability of different dosing regimens of bisphosphonates for the treatment of osteoporosis and malignant bone disease.,Drug safety,2006
16538619,Alendronate and vitamin D2 for prevention of hip fracture in Parkinson's disease: a randomized controlled trial.,Movement disorders : official journal of the Movement Disorder Society,2006
