pmid,title,journal,year,drug,disease
40922884,From Hypersensitivity Pneumonitis to Lung Adenocarcinoma: A Case Report Illustrating Diagnostic Complexity.,Cureus,2025,Amlodipine,Cirrhosis
40782429,Amlodipine and perindopril modulate miR-874-3p expression to regulate ferroptosis-linked LPCAT3/LACS4/GPX4 Axis and gut dysbiosis in metabolic-associated steatohepatitis.,International immunopharmacology,2025,Amlodipine,Cirrhosis
40617715,Cross-sectional analysis of fibrosis-related gene expression in drug-induced gingival enlargement associated with periodontitis.,"Oral surgery, oral medicine, oral pathology and oral radiology",2025,Amlodipine,Cirrhosis
40465795,Identification of potentially effective drugs for metabolic dysfunction-associated steatotic liver disease against liver cirrhosis: In-silico drug repositioning-based retrospective cohort study.,PloS one,2025,Amlodipine,Cirrhosis
39941250,Calcium Antagonist-Induced Gingival Overgrowth: A Case Report and Literature Review.,"Diagnostics (Basel, Switzerland)",2025,Amlodipine,Cirrhosis
39204180,Novel Insights into Amlodipine-Induced Gingival Enlargement: A Clinical and Molecular Perspective.,"Pharmaceuticals (Basel, Switzerland)",2024,Amlodipine,Cirrhosis
37153462,Amlodipine rescues advanced iron overload cardiomyopathy in hemojuvelin knockout murine model: Clinical implications.,Frontiers in cardiovascular medicine,2023,Amlodipine,Cirrhosis
36999443,Efficacy of Antihypertensive Drugs of Different Classes After Renal Denervation in Spontaneously Hypertensive Rats.,"Hypertension (Dallas, Tex. : 1979)",2023,Amlodipine,Cirrhosis
36653045,Silica associated systemic sclerosis: an occupational health hazard.,BMJ case reports,2023,Amlodipine,Cirrhosis
35182957,Renin-angiotensin system inhibitors combined with cisplatin exacerbate cisplatin-induced nephrotoxicity in mice.,Translational oncology,2022,Amlodipine,Cirrhosis
34543638,"Galangin alleviates vascular dysfunction and remodelling through modulation of the TNF-R1, p-NF-kappaB and VCAM-1 pathways in hypertensive rats.",Life sciences,2021,Amlodipine,Cirrhosis
34131653,Emerging treatments for scleroderma/systemic sclerosis.,Faculty reviews,2021,Amlodipine,Cirrhosis
34096506,Treatment-resistant hypertension in a post-transplant patient with cystic fibrosis: a rare case of phaeochromocytoma.,"Endocrinology, diabetes & metabolism case reports",2021,Amlodipine,Cirrhosis
33642455,Effects of the L/N-Type Ca(2+) Channel Blocker Cilnidipine on the Cardiac Histological Remodelling and Inducibility of Atrial Fibrillation in High-Salt-Fed Rats.,Biological & pharmaceutical bulletin,2021,Amlodipine,Cirrhosis
32879207,Telmisartan Exacerbates Cisplatin-Induced Nephrotoxicity in a Mouse Model.,Biological & pharmaceutical bulletin,2020,Amlodipine,Cirrhosis
32683300,Irbesartan may relieve renal injury by suppressing Th22 cells chemotaxis and infiltration in Ang II-induced hypertension.,International immunopharmacology,2020,Amlodipine,Cirrhosis
32323339,Comparison of effects of L/N-type and L-type calcium channel blockers on post-infarct cardiac remodelling in spontaneously hypertensive rats.,Clinical and experimental pharmacology & physiology,2020,Amlodipine,Cirrhosis
32173874,Elevated Interleukin-17A expression in amlodipine-induced gingival overgrowth.,Journal of periodontal research,2020,Amlodipine,Cirrhosis
31013922,Calcium Channel Blocker-Associated Chyloperitoneum in Patients Receiving Peritoneal Dialysis: A Systematic Review.,International journal of environmental research and public health,2019,Amlodipine,Cirrhosis
30935459,When acute kidney injury in the intensive care unit is not acute tubular necrosis: A case report of kappa-light chain crystalline tubulopathy .,Clinical nephrology,2019,Amlodipine,Cirrhosis
29212850,Endothelial transcriptomics reveals activation of fibrosis-related pathways in hypertension.,Physiological genomics,2018,Amlodipine,Cirrhosis
29151501,The Efficacy of Corticosteroid Therapy in a Patient with Non-alcoholic Steatohepatitis Overlapping Autoimmune Hepatitis.,"Internal medicine (Tokyo, Japan)",2018,Amlodipine,Cirrhosis
28845908,Eplerenone might affect atrial fibrosis in patients with hypertension.,Pacing and clinical electrophysiology : PACE,2017,Amlodipine,Cirrhosis
28595719,Effects of carvedilol or amlodipine on target organ damage in L-NAME hypertensive rats: their relationship with blood pressure variability.,Journal of the American Society of Hypertension : JASH,2017,Amlodipine,Cirrhosis
28562571,Hemodynamic instability after pulmonary veins isolation in a patient with dual chamber pacemaker: The phantom injury of the ventricular lead.,Medicine,2017,Amlodipine,Cirrhosis
28507568,Effect of ramipril/hydrochlorothiazide and ramipril/canrenone combination on atrial fibrillation recurrence in hypertensive type 2 diabetic patients with and without cardiac autonomic neuropathy.,Archives of medical science : AMS,2017,Amlodipine,Cirrhosis
28000857,Hypomethylation of Agtrap is associated with long-term inhibition of left ventricular hypertrophy in prehypertensive losartan-treated spontaneously hypertensive rats.,Molecular medicine reports,2017,Amlodipine,Cirrhosis
27502265,"Four Diseases, Two Associations, One Patient: A Case of Frontal Fibrosing Alopecia, Lichen Planus Pigmentosus, Acne Rosacea, and Morbihan Disease.",Skinmed,2016,Amlodipine,Cirrhosis
