pmid,title,journal,year,drug,disease
40922884,From Hypersensitivity Pneumonitis to Lung Adenocarcinoma: A Case Report Illustrating Diagnostic Complexity.,Cureus,2025,Amlodipine,Lung Cancer
40702728,Amlodipine as an immunomodulator to enhance dendritic cell activation in cancer therapy with tumor-associated antigens.,Molecular therapy : the journal of the American Society of Gene Therapy,2025,Amlodipine,Lung Cancer
40089189,"Involvement of GSK-3beta, NF-kappaB, PPARgamma, and apoptosis in amlodipine's anticancer effect in BALB/c mice.",Toxicology and applied pharmacology,2025,Amlodipine,Lung Cancer
39991087,"Metabolomic Analysis, Antiproliferative, Anti-Migratory, and Anti-Invasive Potential of Amlodipine in Lung Cancer Cells.","Drug design, development and therapy",2025,Amlodipine,Lung Cancer
39688503,Potential drugs for reducing the occurrence of immune checkpoint inhibitor-induced interstitial lung disease: an exploratory study using the JADER and FAERS databases.,Expert opinion on drug safety,2024,Amlodipine,Lung Cancer
39399468,Interstitial lung disease associated with ALK inhibitors and risk factors: an updated comparative pharmacovigilance analysis.,Frontiers in pharmacology,2024,Amlodipine,Lung Cancer
35721193,Anticancer Effects of Amlodipine Alone or in Combination With Gefitinib in Non-Small Cell Lung Cancer.,Frontiers in pharmacology,2022,Amlodipine,Lung Cancer
35029896,Management of severe hypertension due to lenvatinib in patients with advanced thymic carcinoma: A case report.,Medicine,2022,Amlodipine,Lung Cancer
34192893,Long-Term Incidence of Stroke and Dementia in ASCOT.,Stroke,2021,Amlodipine,Lung Cancer
33355084,Exacerbation of atrioventricular block associated with concomitant use of amlodipine and aprepitant in a lung cancer patient: A case report.,International journal of clinical pharmacology and therapeutics,2021,Amlodipine,Lung Cancer
30606155,Successful re-administration of Pazopanib in a patient with metastatic renal cell carcinoma and a history of Pazopanib-induced nephrotic syndrome: a case report.,BMC nephrology,2019,Amlodipine,Lung Cancer
29674000,Angiotensin II promotes pulmonary metastasis of melanoma through the activation of adhesion molecules in vascular endothelial cells.,Biochemical pharmacology,2018,Amlodipine,Lung Cancer
26954019,Drug Repositioning for Cancer Therapy Based on Large-Scale Drug-Induced Transcriptional Signatures.,PloS one,2016,Amlodipine,Lung Cancer
23283650,Exfoliative esophagitis in a patient with metastatic renal cell carcinoma during sunitinib treatment.,"Medical oncology (Northwood, London, England)",2013,Amlodipine,Lung Cancer
22403762,[Systemic sclerosis in a patient suffering from breast cancer].,Magyar onkologia,2012,Amlodipine,Lung Cancer
21069103,Gateways to clinical trials.,Methods and findings in experimental and clinical pharmacology,2010,Amlodipine,Lung Cancer
20878444,Treatment of bevacizumab-induced hypertension by amlodipine.,Investigational new drugs,2012,Amlodipine,Lung Cancer
18650173,Rhabdomyolysis resulting from pharmacologic interaction between erlotinib and simvastatin.,Clinical lung cancer,2008,Amlodipine,Lung Cancer
11104367,Nifedipine inhibits activation of transcription factor NF-kappaB.,Life sciences,2000,Amlodipine,Lung Cancer
