PMID,Title,Journal,Year
39911424,Therapeutic applications of artemisinin in ophthalmic diseases.,Heliyon,2025
38570086,Role of angiotensin pathway and its target therapy to rescue from experimental cerebral malaria.,Microbes and infection,2024
37921082,Artemisinin alleviates obesity-related glomerulopathy by downregulating CYP24A1 expression.,"Diabetes, obesity & metabolism",2024
37802832,[Cardiovascular complications in malaria: a review].,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,2023
35862468,Dihydroartemisinin Attenuates Hypoxic Pulmonary Hypertension via the Downregulation of miR-335 Targeting Vangl2.,DNA and cell biology,2022
35757500,Artemisinin and Its Derivate Alleviate Pulmonary Hypertension and Vasoconstriction in Rodent Models.,Oxidative medicine and cellular longevity,2022
35512032,Dihydroartemisinin Attenuates Hypoxia-Induced Pulmonary Hypertension Through the ELAVL2/miR-503/PI3K/AKT Axis.,Journal of cardiovascular pharmacology,2022
35347248,Dihydroartemisinin suppresses renal fibrosis in mice by inhibiting DNA-methyltransferase 1 and increasing Klotho.,Acta pharmacologica Sinica,2022
35059772,Dihydroartemisinin alleviates AngII-induced vascular smooth muscle cell proliferation and inflammatory response by blocking the FTO/NR4A3 axis.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2022
34764635,Artemisinin Improves Acetylcholine-Induced Vasodilatation in Rats with Primary Hypertension.,"Drug design, development and therapy",2021
34021777,Selection of safe artemisinin derivatives using a machine learning-based cardiotoxicity platform and in vitro and in vivo validation.,Archives of toxicology,2021
33062142,Natural Drugs as a Treatment Strategy for Cardiovascular Disease through the Regulation of Oxidative Stress.,Oxidative medicine and cellular longevity,2020
32569012,Dihydroartemisinin Attenuates Pulmonary Hypertension Through Inhibition of Pulmonary Vascular Remodeling in Rats.,Journal of cardiovascular pharmacology,2020
30414842,Paeoniflorin in experimental BALB/c mansoniasis: A novel anti-angiogenic therapy.,Experimental parasitology,2019
30391003,Anti-hypoxic effect of dihydroartemisinin on pulmonary artery endothelial cells.,Biochemical and biophysical research communications,2018
29803465,"Towards a better understanding of Artemisia vulgaris: Botany, phytochemistry, pharmacological and biotechnological potential.","Food research international (Ottawa, Ont.)",2018
28357128,Impact of comorbidity on adverse drug reaction profile in a cohort of patients treated with Artemisinin combination therapies for uncomplicated malaria in Nigeria.,Pharmacology research & perspectives,2017
28040205,[Hepatonephritis associated with artemether: Report case].,Therapie,2017
27896916,Dihydroartemisinin counteracts fibrotic portal hypertension via farnesoid X receptor-dependent inhibition of hepatic stellate cell contraction.,The FEBS journal,2017
27683553,Dysregulation of angiopoietin-1 plays a mechanistic role in the pathogenesis of cerebral malaria.,Science translational medicine,2016
