PMID,Title,Journal,Year
39701666,[Research progress on artemisinin and its derivatives in treatment of orthopedics-related diseases].,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,2024
39548431,Study on gut microbiota and metabolomics in postmenopausal women.,BMC women's health,2024
39082354,"Based on NF-kappaB and Notch1/Hes1 Signaling Pathways, the Mechanism of Artesunate on Inflammation in Osteoporosis in Ovariectomized Rats was Investigated.",Frontiers in bioscience (Landmark edition),2024
38082321,Prevention and treatment of osteoporosis with natural products: Regulatory mechanism based on cell ferroptosis.,Journal of orthopaedic surgery and research,2023
36590764,Exploring the Potential Mechanism of Artemisinin and Its Derivatives in the Treatment of Osteoporosis Based on Network Pharmacology and Molecular Docking.,Computational and mathematical methods in medicine,2022
36433916,Artesunate inhibits osteoclast differentiation by inducing ferroptosis and prevents iron overload-induced bone loss.,Basic & clinical pharmacology & toxicology,2023
36422561,"Mechanism and Prospect of Gastrodin in Osteoporosis, Bone Regeneration, and Osseointegration.","Pharmaceuticals (Basel, Switzerland)",2022
36184881,Exosomes from artesunate-treated bone marrow-derived mesenchymal stem cells transferring SNHG7 to promote osteogenesis via TAF15-RUNX2 pathway.,Regenerative medicine,2022
34567410,Artemisinin Reverses Glucocorticoid-Induced Injury in Bone Marrow-Derived Mesenchymal Stem Cells through Regulation of ERK1/2-CREB Signaling Pathway.,Oxidative medicine and cellular longevity,2021
33066846,Artesunate promotes osteoblast differentiation through miR-34a/DKK1 axis.,Acta histochemica,2020
32542308,Artesunate inhibits osteoclastogenesis through the miR-503/RANK axis.,Bioscience reports,2020
32143118,The osteoprotective effects of artemisinin compounds and the possible mechanisms associated with intracellular iron: A review of in vivo and in vitro studies.,Environmental toxicology and pharmacology,2020
30205376,Artemisinin-Daumone Hybrid Inhibits Cancer Cell-Mediated Osteolysis by Targeting Cancer Cells and Osteoclasts.,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",2018
29763384,The effects of dihydroartemisinin on inflammatory bowel disease-related bone loss in a rat model.,"Experimental biology and medicine (Maywood, N.J.)",2018
29230013,Artemisia annua extract prevents ovariectomy-induced bone loss by blocking receptor activator of nuclear factor kappa-B ligand-induced differentiation of osteoclasts.,Scientific reports,2017
28294321,Artesunate inhibits RANKL-induced osteoclastogenesis and bone resorption in vitro and prevents LPS-induced bone loss in vivo.,Journal of cellular physiology,2018
27789216,Artesunate suppresses RANKL-induced osteoclastogenesis through inhibition of PLCgamma1-Ca(2+)-NFATc1 signaling pathway and prevents ovariectomy-induced bone loss.,Biochemical pharmacology,2017
26684711,"Dihydroartemisinin, an Anti-Malaria Drug, Suppresses Estrogen Deficiency-Induced Osteoporosis, Osteoclast Formation, and RANKL-Induced Signaling Pathways.",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2016
