pmid,title,journal,year,drug,disease
40901150,"The prognostic values of monitoring changes in coagulative, inflammatory, and blood chemistry markers in COVID-19 patient's before and during admission to ICU: a retrospective cohort study.",Annals of medicine and surgery (2012),2025,Aspirin,COVID-19
40898454,"Multisystem inflammatory syndrome in children (MIS-C) presenting with valvulitis, myocarditis, and QTc prolongation: A case report from Saudi Arabia.",Medicine,2025,Aspirin,COVID-19
40689150,Kawasaki disease with persistent severe psoriatic-like skin manifestations and sudden cardiac death.,International journal of cardiology. Congenital heart disease,2025,Aspirin,COVID-19
40644504,Association between self-administrated prophylactics and SARS-CoV-2 infection among traditional market vendors from the Central Highlands of Peru: A nested case-control study.,PloS one,2025,Aspirin,COVID-19
40613068,Therapeutic-dose heparin combined with antiplatelets in noncritically ill patients with COVID-19: a secondary analysis of a multiplatform randomized controlled trial.,Research and practice in thrombosis and haemostasis,2025,Aspirin,COVID-19
40604299,Aspirin reduces the risk of type 2 diabetes associated with COVID-19.,npj metabolic health and disease,2025,Aspirin,COVID-19
40525420,Identification of Potential FDA-Approved Inhibitors of SARS-CoV-2 Helicase Through a Multistep In silico Approach: A Promising Prospect for COVID-19 Treatment.,Medicinal chemistry (Shariqah (United Arab Emirates)),2025,Aspirin,COVID-19
40416616,Short-term safety and efficacy of aspirin in patients with COVID-19: a systematic review and meta-analysis of randomized controlled trials.,PeerJ,2025,Aspirin,COVID-19
40408617,Bioinformatics and system biology approach to discover the common pathogenetic processes between COVID-19 and chronic hepatitis B.,PloS one,2025,Aspirin,COVID-19
40396727,Kawasaki Disease.,Cardiology in review,2025,Aspirin,COVID-19
40369477,Long-term risk of allergic disorders following Kawasaki disease: a population-based cohort study.,BMC pediatrics,2025,Aspirin,COVID-19
40313673,Case Report: Long-term follow-up of multiple giant coronary artery aneurysm associated with multisystem inflammatory syndrome in children.,Frontiers in pediatrics,2025,Aspirin,COVID-19
40305796,FEATURES OF VASOMOTOR RHINITIS IN PATIENTS WITH A HISTORY OF COVID-19 INFECTION.,Georgian medical news,2025,Aspirin,COVID-19
40182387,Efficacy of Thromboprophylaxis in Preventing Thrombotic Events in Pediatric Patients With COVID-19 or Multisystem Inflammatory Syndrome: A Systematic Review.,Cureus,2025,Aspirin,COVID-19
40160081,"Aspirin Helped Cure a High Risk Patient of Coronavirus Disease 2019, Smoothly Through the Ordeal: A Case Report.",Mymensingh medical journal : MMJ,2025,Aspirin,COVID-19
40130559,Prolonged Use of Extracorporeal Membrane Oxygenators for COVID-19-Associated Acute Respiratory Distress Syndrome: A Retrospective Analysis.,ASAIO journal (American Society for Artificial Internal Organs : 1992),2025,Aspirin,COVID-19
40115404,Pulmonary embolism after shoulder surgery: Is it a real threat?,World journal of methodology,2025,Aspirin,COVID-19
39979403,QbD-steered HPTLC approach for concurrent estimation of six co-administered COVID-19 and cardiovascular drugs in different matrices: greenness appraisal.,Scientific reports,2025,Aspirin,COVID-19
39960778,Heart Disease in Children: Inflammatory Syndromes.,FP essentials,2025,Aspirin,COVID-19
39867692,Aortoiliac arterial thrombosis and renal artery stenosis in a patient with neonatal multisystem inflammatory syndrome: a case report and review of literature.,Frontiers in pediatrics,2024,Aspirin,COVID-19
39810077,Blood absolute lymphocyte count and trajectory are important in understanding severe COVID-19.,BMC infectious diseases,2025,Aspirin,COVID-19
39683575,Nutrient Supplements for Young Children and Mothers' Self Medication with Over-the-Counter Drugs During the COVID-19 Pandemic.,Nutrients,2024,Aspirin,COVID-19
39663548,A case report of a 14-year-old male patient with large vessel vasculitis following COVID-19.,Modern rheumatology case reports,2025,Aspirin,COVID-19
39655884,Fetal death: Expert consensus of the French College of Obstetricians and Gynecologists.,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2025,Aspirin,COVID-19
39546241,"Impact of antiplatelets, anticoagulants and cyclic nucleotide stimulators on neutrophil extracellular traps (NETs) and inflammatory markers during COVID-19.",Journal of thrombosis and thrombolysis,2025,Aspirin,COVID-19
39518675,The Comparative Effectiveness of Potent P2Y12 Inhibitors Versus Clopidogrel in Patients with Acute Myocardial Infarction Undergoing PCI: National Registry Data.,Journal of clinical medicine,2024,Aspirin,COVID-19
39492709,Treatment of cerebral venous thrombosis: a review.,Current medical research and opinion,2024,Aspirin,COVID-19
39430203,The Effect of Antiplatelet Therapy on COVID-19.,Juntendo Iji zasshi = Juntendo medical journal,2024,Aspirin,COVID-19
39399815,Indomethacin inhibits human seasonal coronaviruses at late stages of viral replication in lung cells: Impact on virus-induced COX-2 expression.,Journal of virus eradication,2024,Aspirin,COVID-19
39345734,Tuberculosis Meningitis in a 9-Month-Old Girl during the COVID-19 Pandemic.,Case reports in medicine,2024,Aspirin,COVID-19
39288150,Incidence and risk of post-COVID-19 thromboembolic disease and the impact of aspirin prescription; nationwide observational cohort at the US Department of Veteran Affairs.,PloS one,2024,Aspirin,COVID-19
39268277,"Anticoagulant Use in COVID-19 Patients: A Longitudinal Study From Zanjan, Iran.",Cureus,2024,Aspirin,COVID-19
39262648,The association of antiplatelet agents with mortality among patients with non-COVID-19 community-acquired pneumonia: a systematic review and meta-analysis.,Research and practice in thrombosis and haemostasis,2024,Aspirin,COVID-19
39228188,Contemporary Statistics of Acute Ischemic Stroke and Transient Ischemic Attack in 2021: Insights From the CRCS-K-NIH Registry.,Journal of Korean medical science,2024,Aspirin,COVID-19
39153884,[Fetal death: Expert consensus from the College of French Gynecologists and Obstetricians].,"Gynecologie, obstetrique, fertilite & senologie",2024,Aspirin,COVID-19
39150458,Eco-Friendly Synchronous Spectrofluorimetric Method for Simultaneous Determination of Remdesivir and Acetyl Salicylic Acid in Spiked Human Plasma.,Journal of fluorescence,2025,Aspirin,COVID-19
39124556,Clinical Significance and Patterns of Potential Drug-Drug Interactions in Cardiovascular Patients: Focus on Low-Dose Aspirin and Angiotensin-Converting Enzyme Inhibitors.,Journal of clinical medicine,2024,Aspirin,COVID-19
39110427,Low-Dose Direct Oral Anticoagulation vs Dual Antiplatelet Therapy After Left Atrial Appendage Occlusion: The ADALA Randomized Clinical Trial.,JAMA cardiology,2024,Aspirin,COVID-19
39075556,Correction: Diverse roles of SARS-CoV-2 spike and nucleocapsid proteins in EndMT stimulation through the TGF-beta-MRTF axis inhibited by aspirin.,Cell communication and signaling : CCS,2024,Aspirin,COVID-19
39055595,May Measurement Month 2021: an analysis of blood pressure screening results from a suburban community in the Democratic Republic of the Congo.,European heart journal supplements : journal of the European Society of Cardiology,2024,Aspirin,COVID-19
39055587,May Measurement Month 2021: an analysis of blood pressure screening results from Thailand.,European heart journal supplements : journal of the European Society of Cardiology,2024,Aspirin,COVID-19
39044731,Research perspective in the clinical management of Kawasaki disease.,Frontiers in pediatrics,2024,Aspirin,COVID-19
39034488,Pretest-post-test evaluation with lay midwives in remote Guatemala after educational activities about COVID-19.,Rural and remote health,2024,Aspirin,COVID-19
39018291,The wide spectrum anti-inflammatory activity of andrographolide in comparison to NSAIDs: A promising therapeutic compound against the cytokine storm.,PloS one,2024,Aspirin,COVID-19
38994222,Effect of Aspirin Use on the Adverse Outcomes in Patients Hospitalized for COVID-19.,Cardiology research,2024,Aspirin,COVID-19
38949541,Pregnancy Outcomes of Nifedipine Compared With Labetalol for Oral Treatment of Mild Chronic Hypertension.,Obstetrics and gynecology,2024,Aspirin,COVID-19
38826765,Multiple systemic thromboembolism secondary to acute myocardial infarction in a young patient with coronavirus disease 2019 pneumonia: A case report.,Journal of cardiology cases,2024,Aspirin,COVID-19
38807115,Diverse roles of SARS-CoV-2 Spike and Nucleocapsid proteins in EndMT stimulation through the TGF-beta-MRTF axis inhibited by aspirin.,Cell communication and signaling : CCS,2024,Aspirin,COVID-19
38633322,Decreased incidence of Kawasaki disease in South Korea during the SARS-CoV-2 pandemic.,Frontiers in pediatrics,2024,Aspirin,COVID-19
38590518,Case report: unprecedented case of infantile cerebral infarction following COVID-19 and favorable outcome.,Frontiers in immunology,2024,Aspirin,COVID-19
