pmid,title,journal,year,drug,disease
40910183,Indobufen Versus Aspirin Plus Clopidogrel in Patients After Coronary Stenting in Patients With Diabetes: A Post Hoc Analysis of the OPTION Trial.,Journal of diabetes,2025,Aspirin,Coronary Artery Disease
40902613,Clopidogrel versus aspirin for secondary prevention of coronary artery disease: a systematic review and individual patient data meta-analysis.,"Lancet (London, England)",2025,Aspirin,Coronary Artery Disease
40889992,"Clopidogrel better than aspirin for preventing heart attack and stroke in patients with coronary artery disease, study finds.",BMJ (Clinical research ed.),2025,Aspirin,Coronary Artery Disease
40888737,Ticagrelor and Aspirin or Aspirin Alone after Coronary Surgery for Acute Coronary Syndrome.,The New England journal of medicine,2025,Aspirin,Coronary Artery Disease
40886179,Temporal modulation of antiplatelet therapy in high-risk patients undergoing complex percutaneous coronary intervention: the TAILORED-CHIP randomized clinical trial.,European heart journal,2025,Aspirin,Coronary Artery Disease
40881803,Development of mild encephalitis with a reversible splenial lesion prior to the diagnosis of Kawasaki disease: a pediatric case report.,Frontiers in pediatrics,2025,Aspirin,Coronary Artery Disease
40884758,Outcomes of cardiovascular screening in men aged 60-64 years: the DANCAVAS II trial.,European heart journal,2025,Aspirin,Coronary Artery Disease
40874365,Safety and Efficacy of Aspirin and Indobufen in the Treatment of Atherosclerotic Diseases: Systematic Review and Meta-Analysis.,Interactive journal of medical research,2025,Aspirin,Coronary Artery Disease
40879032,Cost-Effectiveness of Coronary Artery Calcium Scoring for Cardiovascular Disease Prevention in Diabetes: An Analysis From MESA.,Journal of the American Heart Association,2025,Aspirin,Coronary Artery Disease
40878032,Genetic insights into the interaction between chronic hepatitis B virus infection and metabolic syndrome.,Virulence,2025,Aspirin,Coronary Artery Disease
40846354,Impact of Anabolic-Androgenic Steroids on Coronary Artery Disease: Insights From Optical Coherence Tomography.,JACC. Case reports,2025,Aspirin,Coronary Artery Disease
40850607,Improved Platelet Inhibition with Ticagrelor when compared to Clopidogrel in Peripheral Artery Disease Patients.,Journal of vascular surgery,2025,Aspirin,Coronary Artery Disease
40830770,Incomplete Kawasaki disease presenting primarily with cough: a case report and brief literature review.,BMC pediatrics,2025,Aspirin,Coronary Artery Disease
40814082,Real-world analysis of characteristics and guideline adherence of antiplatelet drugs prescriptions among patients with coronary artery disease and its comorbidities: a cross-sectional study.,BMC cardiovascular disorders,2025,Aspirin,Coronary Artery Disease
40807157,Antiplatelet Monotherapies for Long-Term Secondary Prevention Following Percutaneous Coronary Intervention.,Journal of clinical medicine,2025,Aspirin,Coronary Artery Disease
40806216,Platelet-Related Biomarkers and Efficacy of Antiplatelet Therapy in Patients with Aortic Stenosis and Coronary Artery Disease.,International journal of molecular sciences,2025,Aspirin,Coronary Artery Disease
40796244,"Aspirin, cardiovascular events, and major bleeding in older adults: extended follow-up of the ASPREE trial.",European heart journal,2025,Aspirin,Coronary Artery Disease
40778397,Atypical Presentation of Kawasaki Disease With Coronary Artery Aneurysms in a 2.5-Month-Old Infant: A Case Report From Syria.,Clinical medicine insights. Case reports,2025,Aspirin,Coronary Artery Disease
40776916,Pro-inflammatory markers as predictors of arterial thrombosis in aged patients with peripheral arterial disease post revascularization.,Frontiers in medicine,2025,Aspirin,Coronary Artery Disease
40751899,1-Month Versus 12-Month Dual Antiplatelet Therapy for Patients with Chronic Total Occlusion After Successful Percutaneous Coronary Intervention.,Drugs & aging,2025,Aspirin,Coronary Artery Disease
40716702,Association of study visit interval length with follow-up completeness and adherence to assigned study drug dose: A randomized comparison of participants in the ADAPTABLE trial.,Contemporary clinical trials,2025,Aspirin,Coronary Artery Disease
40718741,A diagnostic challenge in Kawasaki disease: a case report.,Sudanese journal of paediatrics,2025,Aspirin,Coronary Artery Disease
