pmid,title,journal,year,drug,disease
39727984,Histopathological Analysis of Lipopolysaccharide-Induced Liver Inflammation and Thrombus Formation in Mice: The Protective Effects of Aspirin.,Current issues in molecular biology,2024,Aspirin,Hepatitis A
24923577,Urinary kidney injury molecule-1 and the risk of cardiovascular mortality in elderly men.,Clinical journal of the American Society of Nephrology : CJASN,2014,Aspirin,Hepatitis A
23220287,Urinary kidney injury molecule 1 and incidence of heart failure in elderly men.,European journal of heart failure,2013,Aspirin,Hepatitis A
18159037,Elevated hepatic transaminases associated with telithromycin therapy: a case report and literature review.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2008,Aspirin,Hepatitis A
17983978,Reversible hearing loss in temporal association with chemoprophylactic mefloquine use.,Travel medicine and infectious disease,2007,Aspirin,Hepatitis A
17041369,Isolated digital gangrene complicating hepatitis a infection in a child.,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,2002,Aspirin,Hepatitis A
10885615,Evaluation and validation of virus removal by ultrafiltration during the production of diaspirin crosslinked haemoglobin (DCLHb).,Biologicals : journal of the International Association of Biological Standardization,2000,Aspirin,Hepatitis A
9844723,Validation of the heat treatment step used in the production of diaspirin crosslinked hemoglobin (DCLHb) for viral inactivation.,"Artificial cells, blood substitutes, and immobilization biotechnology",1998,Aspirin,Hepatitis A
9274483,Co-existence of hepatitis A and adult Reye's syndrome.,Gut,1997,Aspirin,Hepatitis A
7836716,Drug-induced hepatitis: a rare complication of oral anticoagulants.,Journal of hepatology,1994,Aspirin,Hepatitis A
1908034,Serum ferritin concentration in subacute thyroiditis.,Metabolism: clinical and experimental,1991,Aspirin,Hepatitis A
7270563,Salicylate hepatitis: a complication of the treatment of Kawasaki's disease.,American journal of hospital pharmacy,1981,Aspirin,Hepatitis A
859533,Case records of the Massachusetts General Hospital. Weekly clinicopathological exercises. Case 23--1977.,The New England journal of medicine,1977,Aspirin,Hepatitis A
1629,"Polyarthritis, polyarteritis and hepatitis B.",Medicine,1976,Aspirin,Hepatitis A
5819187,Hemolytic anemia complicating viral hepatitis and G-6-PD deficiency.,JAMA,1969,Aspirin,Hepatitis A
