pmid,title,journal,year,drug,disease
39705264,"Effects on maternal and pregnancy outcomes of first-trimester malaria infection among nulliparous women from Kenya, Zambia, and the Democratic Republic of the Congo.",PloS one,2024,Aspirin,Malaria
39300444,Acetylsalicylic acid and dihydroartemisinin combined therapy on experimental malaria-associated acute lung injury: analysis of lung function and the inflammatory process.,Malaria journal,2024,Aspirin,Malaria
37741812,The effects of hydroxychloroquine and its promising use in refractory obstetric antiphospholipid syndrome.,Rheumatology international,2024,Aspirin,Malaria
37167988,Evidence-based antenatal interventions to reduce the incidence of small vulnerable newborns and their associated poor outcomes.,"Lancet (London, England)",2023,Aspirin,Malaria
37019801,Statin and aspirin use in parasitic infections as a potential therapeutic strategy: A narrative review.,Revista Argentina de microbiologia,2023,Aspirin,Malaria
36405527,Pregnancy Interventions to Improve Birth Outcomes: What Are the Effects on Maternal Outcomes? A Scoping Review.,International journal of public health,2022,Aspirin,Malaria
35399060,The efficacy of low-dose aspirin in pregnancy among women in malaria-endemic countries.,BMC pregnancy and childbirth,2022,Aspirin,Malaria
34888658,"Predictors of Plasmodium falciparum Infection in the First Trimester Among Nulliparous Women From Kenya, Zambia, and the Democratic Republic of the Congo.",The Journal of infectious diseases,2022,Aspirin,Malaria
28096086,Platelets activate a pathogenic response to blood-stage Plasmodium infection but not a protective immune response.,Blood,2017,Aspirin,Malaria
27365986,Analgesic and Antioxidant Activities of Stem Bark Extract and Fractions of Petersianthus macrocarpus.,Pharmacognosy research,2016,Aspirin,Malaria
27327266,Fatal Intoxications Due to Administration of Isosorbide Tablets Contaminated with Pyrimethamine.,Journal of forensic sciences,2016,Aspirin,Malaria
26755155,Depletion of Phagocytic Cells during Nonlethal Plasmodium yoelii Infection Causes Severe Malaria Characterized by Acute Renal Failure in Mice.,Infection and immunity,2016,Aspirin,Malaria
25750237,From plant extract to molecular panacea: a commentary on Stone (1763) 'An account of the success of the bark of the willow in the cure of the agues'.,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",2015,Aspirin,Malaria
25365232,Synergy between medicinal chemistry and biological research.,Future medicinal chemistry,2014,Aspirin,Malaria
25178042,"Essential pre-pregnancy and pregnancy interventions for improved maternal, newborn and child health.",Reproductive health,2014,Aspirin,Malaria
24373104,NSAIDs supplement forward.,"Pain medicine (Malden, Mass.)",2013,Aspirin,Malaria
24340899,[Pharmacologists in the camps in the Third Reich--part second].,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,2013,Aspirin,Malaria
23978630,"[Profound anemia, hemoglobinuria ... where to stop in the etiological investigation?].",Nephrologie & therapeutique,2014,Aspirin,Malaria
22338574,Platelets in atherothrombosis--diagnostic and prognostic value of platelet activation in patients with atherosclerotic diseases.,Current vascular pharmacology,2012,Aspirin,Malaria
21986215,Anopheline anti-platelet protein from a malaria vector mosquito has anti-thrombotic effects in vivo without compromising hemostasis.,Thrombosis research,2012,Aspirin,Malaria
21718552,Sickle cell disease.,BMJ clinical evidence,2011,Aspirin,Malaria
21396681,Liver pathology in Malawian children with fatal encephalopathy.,Human pathology,2011,Aspirin,Malaria
22432563,The anti-inflammatory and antinociceptive properties of the chloroform fraction from Phyllanthus niruri plant is mediated via the peripheral nervous system.,Journal of dietary supplements,2010,Aspirin,Malaria
20657891,[A short history of anti-rheumatic therapy. II. Aspirin].,Reumatismo,2010,Aspirin,Malaria
19910682,Accelerated clearance of Plasmodium-infected erythrocytes in sickle cell trait and annexin-A7 deficiency.,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",2009,Aspirin,Malaria
19641212,"Platelets, pyrexia, and plasmodia.",The New England journal of medicine,2009,Aspirin,Malaria
19445751,Sickle cell disease.,BMJ clinical evidence,2009,Aspirin,Malaria
19274552,Pregnancy complicated by Budd-Chiari syndrome and antiphospholipid syndrome.,Journal of obstetrics and gynaecology : the journal of the Institute of Obstetrics and Gynaecology,2009,Aspirin,Malaria
19197068,Platelets kill intraerythrocytic malarial parasites and mediate survival to infection.,"Science (New York, N.Y.)",2009,Aspirin,Malaria
18692777,Platelet factor 4 mediates inflammation in experimental cerebral malaria.,Cell host & microbe,2008,Aspirin,Malaria
17983978,Reversible hearing loss in temporal association with chemoprophylactic mefloquine use.,Travel medicine and infectious disease,2007,Aspirin,Malaria
17906027,Prevention of recurrent fetal growth restriction.,Obstetrics and gynecology,2007,Aspirin,Malaria
17615851,Quinine substitutes in the confederate army.,Military medicine,2007,Aspirin,Malaria
17111981,"[Malaria: knowledge, behaviour and practices among a rural population of Gossas, Senegal].",Bulletin de la Societe de pathologie exotique (1990),2006,Aspirin,Malaria
16639491,[The Italian contributions to the history of salicylates].,Reumatismo,2006,Aspirin,Malaria
