pmid,title,journal,year,drug,disease
40936593,Acute myocardial infarction induced by avatrombopag: a case report.,Frontiers in pharmacology,2025,Aspirin,Myocardial Infarction
40915038,Analysis of safety of carotid endarterectomy in nonagenarians and the implications of frailty - A National surgical quality improvement program analysis.,Clinical neurology and neurosurgery,2025,Aspirin,Myocardial Infarction
40910183,Indobufen Versus Aspirin Plus Clopidogrel in Patients After Coronary Stenting in Patients With Diabetes: A Post Hoc Analysis of the OPTION Trial.,Journal of diabetes,2025,Aspirin,Myocardial Infarction
40905118,Platelet Activation and a Platelet Biosignature Are Associated With Cardiovascular Risk in Patients With Controlled Psoriasis.,"Arteriosclerosis, thrombosis, and vascular biology",2025,Aspirin,Myocardial Infarction
40903279,Aspirin-Free Prasugrel Monotherapy After Percutaneous Coronary Intervention in Patients With Non-ST Elevation Acute Coronary Syndrome.,Circulation journal : official journal of the Japanese Circulation Society,2025,Aspirin,Myocardial Infarction
40902613,Clopidogrel versus aspirin for secondary prevention of coronary artery disease: a systematic review and individual patient data meta-analysis.,"Lancet (London, England)",2025,Aspirin,Myocardial Infarction
40898512,Association between proton pump inhibitor use and the risk of myocardial infarction: A cross-sectional study based on NHANES 2007 to 2018.,Medicine,2025,Aspirin,Myocardial Infarction
40888737,Ticagrelor and Aspirin or Aspirin Alone after Coronary Surgery for Acute Coronary Syndrome.,The New England journal of medicine,2025,Aspirin,Myocardial Infarction
40888726,Early Discontinuation of Aspirin after PCI in Low-Risk Acute Myocardial Infarction.,The New England journal of medicine,2025,Aspirin,Myocardial Infarction
40888725,Aspirin in Patients with Chronic Coronary Syndrome Receiving Oral Anticoagulation.,The New England journal of medicine,2025,Aspirin,Myocardial Infarction
40888723,Early Withdrawal of Aspirin after PCI in Acute Coronary Syndromes.,The New England journal of medicine,2025,Aspirin,Myocardial Infarction
40888211,Drug interactions in hospitalized patients: Critical importance of renal disease and drug monitoring based on data from hospital departments of internal medicine in Serbia.,International journal of clinical pharmacology and therapeutics,2025,Aspirin,Myocardial Infarction
40886179,Temporal modulation of antiplatelet therapy in high-risk patients undergoing complex percutaneous coronary intervention: the TAILORED-CHIP randomized clinical trial.,European heart journal,2025,Aspirin,Myocardial Infarction
40884757,Aspirin dosing after acute coronary syndrome with suspected aspirin resistance: the ANDAMAN trial.,European heart journal,2025,Aspirin,Myocardial Infarction
