pmid,title,journal,year,drug,disease
40806183,Aspirin Eugenol Ester Ameliorates HFD-Induced NAFLD in Mice via the Modulation of Bile Acid Metabolism.,International journal of molecular sciences,2025,Aspirin,Non-alcoholic Fatty Liver Disease
40576655,Prevalence and outcomes of steatotic liver disease subtypes in older adults.,Hepatology communications,2025,Aspirin,Non-alcoholic Fatty Liver Disease
40522193,An Integrated Multi-Omics Analysis Reveals the Protective Mechanism of Aspirin on Metabolic Dysfunction-Associated Steatotic Liver Disease.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2025,Aspirin,Non-alcoholic Fatty Liver Disease
40242559,Reducing premature mortality from cardiovascular diseases in low and middle income countries: The role of Polypill in public health policy.,International journal of cardiology. Cardiovascular risk and prevention,2025,Aspirin,Non-alcoholic Fatty Liver Disease
40184018,Association between aspirin use and the risk of incident nonalcoholic fatty liver disease.,European journal of epidemiology,2025,Aspirin,Non-alcoholic Fatty Liver Disease
39834076,Risk factors for hepatocellular carcinoma: an umbrella review of systematic review and meta-analysis.,Annals of medicine,2025,Aspirin,Non-alcoholic Fatty Liver Disease
39627877,The chemoprotective effect of anti-platelet agents on cancer incidence in people with non-alcoholic fatty liver disease (NAFLD): a retrospective cohort study.,BMC medicine,2024,Aspirin,Non-alcoholic Fatty Liver Disease
39607592,"Associations between MASLD, atrial fibrillation, cardiovascular events, mortality and aspirin use in older adults.",GeroScience,2025,Aspirin,Non-alcoholic Fatty Liver Disease
39514265,Navigating the landscape of metabolic-associated steatotic liver disease treatment: aspirin as a potential game changer.,European journal of gastroenterology & hepatology,2025,Aspirin,Non-alcoholic Fatty Liver Disease
39295976,"Statin, aspirin and metformin use and risk of hepatocellular carcinoma related outcomes following liver transplantation: A retrospective study.",World journal of transplantation,2024,Aspirin,Non-alcoholic Fatty Liver Disease
39023883,Low-Dose Aspirin and Hepatic Fat Quantity in Patients With MASLD.,JAMA,2024,Aspirin,Non-alcoholic Fatty Liver Disease
39023882,Low-Dose Aspirin and Hepatic Fat Quantity in Patients With MASLD.,JAMA,2024,Aspirin,Non-alcoholic Fatty Liver Disease
39023881,Low-Dose Aspirin and Hepatic Fat Quantity in Patients With MASLD-Reply.,JAMA,2024,Aspirin,Non-alcoholic Fatty Liver Disease
39012579,"Epidemiology, pathophysiology and clinical aspects of Hepatocellular Carcinoma in MAFLD patients.",Hepatology international,2024,Aspirin,Non-alcoholic Fatty Liver Disease
38748333,Does an Aspirin a Day Take the MASLD Away?,Advances in therapy,2024,Aspirin,Non-alcoholic Fatty Liver Disease
