pmid,title,journal,year,drug,disease
40922849,Postoperative Stroke Through a Patent Foramen Ovale in a Patient With Lung Cancer: A Case Report.,Cureus,2025,Aspirin,Pulmonary Embolism
40855902,Management of Venous Thromboembolism After Hip and Knee Arthroplasty.,Journal of orthopaedics and sports medicine,2025,Aspirin,Pulmonary Embolism
40799748,Post-operative anticoagulation therapy after knee or hip replacement: The role of patients' preferences in selection of therapy.,Research square,2025,Aspirin,Pulmonary Embolism
40698378,GORE(R) CARDIOFORM ASD occluder thrombus in a patient of rheumatoid arthritis occurred three days after deployment.,International journal of cardiology. Congenital heart disease,2025,Aspirin,Pulmonary Embolism
40668732,Cost Savings of Switching to Aspirin for Thromboprophylaxis in Orthopaedic Trauma Patients: A Budget Impact Analysis.,The Journal of the American Academy of Orthopaedic Surgeons,2025,Aspirin,Pulmonary Embolism
40620160,Aspirin Versus LMWH for Thromboprophylaxis Following Hip or Knee Arthroplasty-Clinical Implications and Budget Impact.,Pharmacology research & perspectives,2025,Aspirin,Pulmonary Embolism
40605890,Latent JAK2 V617F-Positive Myeloproliferative Neoplasm With Normal Blood Counts and Recurrent Splanchnic Vein Thrombosis in a Young Woman.,Cureus,2025,Aspirin,Pulmonary Embolism
40536765,"High Risk of Venous Thromboembolism With Aspirin Prophylaxis After THA for High-riding Developmental Dysplasia of the Hip: A Retrospective, Comparative Study.",Clinical orthopaedics and related research,2025,Aspirin,Pulmonary Embolism
40534734,BMI-stratified risk of thromboembolic events following lumbar spine surgery with aspirin prophylaxis.,Journal of orthopaedics,2025,Aspirin,Pulmonary Embolism
40497467,Antiplatelet versus anticoagulation treatment for people with heart failure in sinus rhythm.,The Cochrane database of systematic reviews,2025,Aspirin,Pulmonary Embolism
40487980,"""A prospective study on the effectiveness of monoprophylaxis with aspirin to prevent thromboembolism in total knee arthroplasty patients"".",Journal of orthopaedics,2025,Aspirin,Pulmonary Embolism
40473051,Visceral Organ Malignancy in Patients Undergoing Primary Total Hip Arthroplasty: Is There a Role for Aspirin Prophylaxis?,The Journal of arthroplasty,2025,Aspirin,Pulmonary Embolism
40446982,Sticky Platelet Syndrome: An important consideration for otherwise unexplained thrombotic events in young stroke patients.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2025,Aspirin,Pulmonary Embolism
40405907,"Therapeutic Options for the Prevention of Thromboses in Cushing's Syndrome: A Propensity-Matched, Retrospective Cohort Analysis.",Cureus,2025,Aspirin,Pulmonary Embolism
