pmid,title,journal,year,drug,disease
39947663,Variation in duration of repeat prescriptions: a primary care cohort study in England.,The British journal of general practice : the journal of the Royal College of General Practitioners,2025,Atorvastatin,Asthma
39478851,Comparative Effectiveness of Anti-Hyperlipidemic Drugs Monotherapy in Primary Prevention of Cardiovascular Disease.,International journal of general medicine,2024,Atorvastatin,Asthma
39439801,Inflammatory profile of eosinophils in asthma-COPD overlap and eosinophilic COPD: a multi-omics study.,Frontiers in immunology,2024,Atorvastatin,Asthma
38762465,Statin administration or blocking PCSK9 alleviates airway hyperresponsiveness and lung fibrosis in high-fat diet-induced obese mice.,Respiratory research,2024,Atorvastatin,Asthma
37539477,Potential drug-drug interactions among U.S. adults treated with nirmatrelvir/ritonavir: A cross-sectional study of the National Covid Cohort Collaborative (N3C).,Pharmacotherapy,2023,Atorvastatin,Asthma
37523974,Combined with multiplex and network analysis to reveal the key genes and mechanisms of nonalcoholic fatty liver disease.,International immunopharmacology,2023,Atorvastatin,Asthma
36459023,Statins improve asthma symptoms by suppressing inflammation: a meta-analysis based on RCTs.,European review for medical and pharmacological sciences,2022,Atorvastatin,Asthma
34904467,Effect of atorvastatin on serum periostin and blood eosinophils in asthma - a placebo-controlled randomized clinical trial.,The Journal of international medical research,2021,Atorvastatin,Asthma
34867347,Prevalence of Chronic Polypharmacy in Community-Dwelling Elderly People in Poland: Analysis of National Real-World Database Helps to Identify High Risk Group.,Frontiers in pharmacology,2021,Atorvastatin,Asthma
34765367,A Patient With Hemoglobin SC Disease and Acute Ischemic Stroke Presenting With Altered Mental Status.,Cureus,2021,Atorvastatin,Asthma
34330325,Liver enzyme elevation and eosinophilia with atorvastatin: a case of probable DRESS without cutaneous symptoms.,"Allergy, asthma, and clinical immunology : official journal of the Canadian Society of Allergy and Clinical Immunology",2021,Atorvastatin,Asthma
33254861,Evaluating the stability of prescription drugs in municipal wastewater and sewers based on wastewater-based epidemiology.,The Science of the total environment,2021,Atorvastatin,Asthma
33250642,The potential of Atorvastatin for chronic lung diseases therapy.,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,2020,Atorvastatin,Asthma
32668027,Statins for asthma.,The Cochrane database of systematic reviews,2020,Atorvastatin,Asthma
32245299,Immune Modulatory Effects of Hypercholesterolemia: Can Atorvastatin Convert the Detrimental Effect of Hypercholesterolemia on the Immune System?,"Iranian journal of allergy, asthma, and immunology",2019,Atorvastatin,Asthma
32225059,Exposure of Aspergillus fumigatus to Atorvastatin Leads to Altered Membrane Permeability and Induction of an Oxidative Stress Response.,"Journal of fungi (Basel, Switzerland)",2020,Atorvastatin,Asthma
29575963,Innovations in asthma therapy: is there a role for inhaled statins?,Expert review of respiratory medicine,2018,Atorvastatin,Asthma
28928537,Antihyperlipidemic activity of Cassia auriculata flower extract in oleic acid induced hyperlipidemia in Saccharomyces cerevisiae.,Journal of food science and technology,2017,Atorvastatin,Asthma
28810543,Atorvastatin has a protective effect in a mouse model of bronchial asthma through regulating tissue transglutaminase and triggering receptor expressed on myeloid cells-1 expression.,Experimental and therapeutic medicine,2017,Atorvastatin,Asthma
28066430,Increase of Frequency and Modulation of Phenotype of Regulatory T Cells by Atorvastatin Is Associated with Decreased Lung Inflammatory Cell Infiltration in a Murine Model of Acute Allergic Asthma.,Frontiers in immunology,2016,Atorvastatin,Asthma
27040293,Review of Top 10 Prescribed Drugs and Their Interaction with Dental Treatment.,Dental clinics of North America,2016,Atorvastatin,Asthma
25878387,Acebrophylline-induced angioedema.,Indian journal of pharmacology,2015,Atorvastatin,Asthma
25595138,Atorvastatin in combination with inhaled beclometasone modulates inflammatory sputum mediators in smokers with asthma.,Pulmonary pharmacology & therapeutics,2015,Atorvastatin,Asthma
24269182,The effect of atorvastatin on lung histopathology in a murine model of chronic asthma.,Allergologia et immunopathologia,2014,Atorvastatin,Asthma
23244652,Effect of oral administration with pravastatin and atorvastatin on airway hyperresponsiveness and allergic reactions in asthmatic mice.,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2013,Atorvastatin,Asthma
23244649,Antilipid agents may provide allergy protection.,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2013,Atorvastatin,Asthma
22950035,Evaluation of atorvastatin for the treatment of patients with asthma: a double-blind randomized clinical trial.,"Allergy, asthma & immunology research",2012,Atorvastatin,Asthma
22947909,Efficacy of atorvastatin and antihistamines in comparison with antihistamines plus placebo in the treatment of chronic idiopathic urticaria: a controlled clinical trial.,"Iranian journal of allergy, asthma, and immunology",2012,Atorvastatin,Asthma
22742644,"Statin therapy in critical illness: an international survey of intensive care physicians' opinions, attitudes and practice.",BMC clinical pharmacology,2012,Atorvastatin,Asthma
21473764,Effects of short-term treatment with atorvastatin in smokers with asthma--a randomized controlled trial.,BMC pulmonary medicine,2011,Atorvastatin,Asthma
19594754,"Fluvastatin inhibits expression of the chemokine MDC/CCL22 induced by interferon-gamma in HaCaT cells, a human keratinocyte cell line.",British journal of pharmacology,2009,Atorvastatin,Asthma
18840374,A probable case of gabapentin-related reversible hearing loss in a patient with acute renal failure.,Clinical therapeutics,2008,Atorvastatin,Asthma
18757458,Effects of atorvastatin added to inhaled corticosteroids on lung function and sputum cell counts in atopic asthma.,Thorax,2008,Atorvastatin,Asthma
11715221,Using test dose challenges to restore essential therapy in patients with idiopathic anaphylaxis and pharmacophobia: report of a patient with idiopathic anaphylaxis and statin phobia.,Allergy and asthma proceedings,2001,Atorvastatin,Asthma
