pmid,title,journal,year,drug,disease
40698099,Assessing the Role of Statins as an Adjunctive Anti-VEGF Therapy for Clinically Significant Macular Edema (CSME) in Type 2 Diabetes Mellitus.,Romanian journal of ophthalmology,2025,Atorvastatin,COVID-19
40501823,Integrative transcriptome-based drug repurposing in tuberculosis.,bioRxiv : the preprint server for biology,2025,Atorvastatin,COVID-19
40432837,Comparative Efficacy of Atorvastatin and Placebo in Intensive Care Unit Patients with Coronavirus Disease 2019: A Randomized Controlled Trial.,Journal of research in pharmacy practice,2024,Atorvastatin,COVID-19
40228860,"STatin TReatment for COVID-19 to Optimise NeuroloGical recovERy (STRONGER): study protocol for a randomised, open label clinical trial in patients with persistent neurological symptoms after COVID-19 infection.",BMJ open,2025,Atorvastatin,COVID-19
39979403,QbD-steered HPTLC approach for concurrent estimation of six co-administered COVID-19 and cardiovascular drugs in different matrices: greenness appraisal.,Scientific reports,2025,Atorvastatin,COVID-19
39950294,Sars-Cov-2 Infection as Catecholamin Crisis in Pheocreomocitoma: A Case Report.,"Endocrine, metabolic & immune disorders drug targets",2025,Atorvastatin,COVID-19
39917926,Pharmacokinetic Interactions of Paxlovid Involving CYP3A Enzymes and P-gp Transporter: An Overview of Clinical Data.,Current drug metabolism,2024,Atorvastatin,COVID-19
39669859,Statin Consumption and Appealing Colors: Exploring Statin-Related Injuries for Children Under the Age of Three Years.,Cureus,2024,Atorvastatin,COVID-19
39588145,Identifying key biomarkers and therapeutic candidates for post-COVID-19 depression through integrated omics and bioinformatics approaches.,Translational neuroscience,2024,Atorvastatin,COVID-19
39443527,Atorvastatin and telmisartan do not reduce nasopharyngeal carriage of SARS-CoV-2 in mild or moderate COVID-19 in a phase IIb randomized controlled trial.,Scientific reports,2024,Atorvastatin,COVID-19
39433826,"Real-world analysis of safety, tolerability, and adherence to nirmatrelvir-ritonavir (paxlovid) in primary care COVID-19 outpatients.",Scientific reports,2024,Atorvastatin,COVID-19
39240567,Drug-Drug Interactions and the Clinical Tolerability of Colchicine Among Patients With COVID-19: A Secondary Analysis of the COLCORONA Randomized Clinical Trial.,JAMA network open,2024,Atorvastatin,COVID-19
38821767,Clinical Features and Risk Factors for Drug-Induced Liver Injury: A Retrospective Study From China.,Clinical therapeutics,2024,Atorvastatin,COVID-19
38454628,Pharmacist's role in the management of drug-drug interactions caused by nirmatrelvir/ritonavir in COVID-19 oncohematology patients.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2025,Atorvastatin,COVID-19
38399787,A Dual Pharmacological Strategy against COVID-19: The Therapeutic Potential of Metformin and Atorvastatin.,Microorganisms,2024,Atorvastatin,COVID-19
38389078,Atorvastatin for reduction of 28-day mortality in severe and critical COVID-19 patients: a randomized controlled trial.,Respiratory research,2024,Atorvastatin,COVID-19
38251698,Atorvastatin Effect on COVID-19 Outcomes: A Propensity Score Matched Study on Hospitalized Patients.,Current medicinal chemistry,2025,Atorvastatin,COVID-19
38112932,Influence of a Short Course of Ritonavir Used as Booster in Antiviral Therapies Against SARS-CoV-2 on the Exposure of Atorvastatin and Rosuvastatin.,Cardiovascular drugs and therapy,2025,Atorvastatin,COVID-19
37969853,A Retrospective Cohort Study Assessing the Impact of Statin Therapy on Hospital Length of Stay and Inpatient Mortality in COVID-19 Patients.,HCA healthcare journal of medicine,2023,Atorvastatin,COVID-19
37611403,Focal Cerebral Vasculitis due to SARS-CoV-2 Infection With a Robust Response to Intravenous Steroids.,The neurologist,2024,Atorvastatin,COVID-19
37539477,Potential drug-drug interactions among U.S. adults treated with nirmatrelvir/ritonavir: A cross-sectional study of the National Covid Cohort Collaborative (N3C).,Pharmacotherapy,2023,Atorvastatin,COVID-19
37486310,Outpatient atorvastatin use and severe COVID-19 outcomes: A population-based study.,Journal of medical virology,2023,Atorvastatin,COVID-19
37375800,"Sex-Related Differences in the Pharmacological Response in SARS-CoV-2 Infection, Dyslipidemia, and Diabetes Mellitus: A Narrative Review.","Pharmaceuticals (Basel, Switzerland)",2023,Atorvastatin,COVID-19
37230416,A randomized controlled trial to investigate the use of acute coronary syndrome therapy in patients hospitalized with COVID-19: the COVID-19 Acute Coronary Syndrome trial.,Journal of thrombosis and haemostasis : JTH,2023,Atorvastatin,COVID-19
37146076,Target-agnostic drug prediction integrated with medical record analysis uncovers differential associations of statins with increased survival in COVID-19 patients.,PLoS computational biology,2023,Atorvastatin,COVID-19
37102510,Indian food habit & food ingredients may have a role in lowering the severity & high death rate from COVID-19 in Indians: findings from the first nutrigenomic analysis.,The Indian journal of medical research,2023,Atorvastatin,COVID-19
36944357,Atorvastatin versus Placebo in ICU Patients with COVID-19: Ninety-day Results of the INSPIRATION-S Trial.,Thrombosis and haemostasis,2023,Atorvastatin,COVID-19
36908454,Effect of the chronic medication use on outcome measures of hospitalized COVID-19 patients: Evidence from big data.,Frontiers in public health,2023,Atorvastatin,COVID-19
36697043,Fixed dose combination drugs for cardiovascular disease in a prolonged humanitarian crisis in Lebanon: an implementation study.,BMJ open,2023,Atorvastatin,COVID-19
36359845,Phenotypical and Functional Alteration of gammadelta T Lymphocytes in COVID-19 Patients: Reversal by Statins.,Cells,2022,Atorvastatin,COVID-19
36348889,Takotsubo Cardiomyopathy as a Cardiovascular Manifestation of COVID-19: A Case Report and Literature Review.,Cureus,2022,Atorvastatin,COVID-19
36184446,[Significant Prolongation of the International Normalized Ratio Associated with COVID-19 Treatment: Possible Drug Interaction with Remdesivir].,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,2022,Atorvastatin,COVID-19
36140223,In Vitro Evidence of Statins' Protective Role against COVID-19 Hallmarks.,Biomedicines,2022,Atorvastatin,COVID-19
36125097,Anti-osteoporosis medication dispensing by clinical commissioning groups in England - an ecological study of variability in practice and of the effect of the Covid-19 pandemic.,Pharmacoepidemiology and drug safety,2023,Atorvastatin,COVID-19
