pmid,title,journal,year,drug,disease
39975759,Association of statin use with 28-day mortality in the Medical Information Mart for Intensive Care IV database: a retrospective cohort study.,Journal of thoracic disease,2025,Atorvastatin,Chronic Obstructive Pulmonary Disease
39439801,Inflammatory profile of eosinophils in asthma-COPD overlap and eosinophilic COPD: a multi-omics study.,Frontiers in immunology,2024,Atorvastatin,Chronic Obstructive Pulmonary Disease
37459672,Effects of atorvastatin in suppressing pulmonary vascular remodeling in rats with chronic obstructive pulmonary disease.,"Clinics (Sao Paulo, Brazil)",2023,Atorvastatin,Chronic Obstructive Pulmonary Disease
36655081,Tongxinluo enhances the effect of atorvastatin on the treatment of atherosclerosis with chronic obstructive pulmonary disease by maintaining the pulmonary microvascular barrier.,Food science & nutrition,2023,Atorvastatin,Chronic Obstructive Pulmonary Disease
36459023,Statins improve asthma symptoms by suppressing inflammation: a meta-analysis based on RCTs.,European review for medical and pharmacological sciences,2022,Atorvastatin,Chronic Obstructive Pulmonary Disease
34740097,Tongxinluo prevents chronic obstructive pulmonary disease complicated with atherosclerosis by inhibiting ferroptosis and protecting against pulmonary microvascular barrier dysfunction.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2022,Atorvastatin,Chronic Obstructive Pulmonary Disease
34289453,Atorvastatin attenuates intermittent hypoxia-induced myocardial oxidative stress in a mouse obstructive sleep apnea model.,Aging,2021,Atorvastatin,Chronic Obstructive Pulmonary Disease
33794865,"The effect of atorvastatin on inflammatory markers in sulfur mustard gas induced bronchitis: a randomized double-blinded, placebo-control clinical trial.",BMC pulmonary medicine,2021,Atorvastatin,Chronic Obstructive Pulmonary Disease
33250642,The potential of Atorvastatin for chronic lung diseases therapy.,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,2020,Atorvastatin,Chronic Obstructive Pulmonary Disease
33202854,"Effects of Pitavastatin, Atorvastatin, and Rosuvastatin on the Risk of New-Onset Diabetes Mellitus: A Single-Center Cohort Study.",Biomedicines,2020,Atorvastatin,Chronic Obstructive Pulmonary Disease
32042802,Efficacy and safety of statin therapy in pulmonary hypertension: a systematic review and meta-analysis.,Annals of translational medicine,2019,Atorvastatin,Chronic Obstructive Pulmonary Disease
31669886,The effect of statins and the synthetic LXR agonist T0901317 on expression of ABCA1 transporter protein in human lung epithelial cell lines in vitro.,Pharmacological reports : PR,2019,Atorvastatin,Chronic Obstructive Pulmonary Disease
30674312,Effectiveness of long-term using statins in COPD - a network meta-analysis.,Respiratory research,2019,Atorvastatin,Chronic Obstructive Pulmonary Disease
30211239,"Trial of Atorvastatin on Serum Interleukin-6, Total Antioxidant Capacity, C-Reactive Protein, and Alpha-1 Antitrypsin in Patients with Chronic Obstructive Pulmonary Disease.",Journal of research in pharmacy practice,2018,Atorvastatin,Chronic Obstructive Pulmonary Disease
29554594,Atorvastatin dose-dependently promotes mouse lung repair after emphysema induced by elastase.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2018,Atorvastatin,Chronic Obstructive Pulmonary Disease
29404156,Influence of Statin Therapy on Exacerbation Frequency in Patients with Chronic Obstructive Pulmonary Disease.,Turkish thoracic journal,2017,Atorvastatin,Chronic Obstructive Pulmonary Disease
28331863,The Effects of Statins on Pulmonary Artery Pressure in Patients with Chronic Obstructive Pulmonary Disease: A Randomized Controlled Trial.,Journal of research in pharmacy practice,2017,Atorvastatin,Chronic Obstructive Pulmonary Disease
28251446,Atorvastatin and Simvastatin Promoted Mouse Lung Repair After Cigarette Smoke-Induced Emphysema.,Inflammation,2017,Atorvastatin,Chronic Obstructive Pulmonary Disease
27698930,Statins Dose-Dependently Exert Significant Chemopreventive Effects Against Various Cancers in Chronic Obstructive Pulmonary Disease Patients: A Population-Based Cohort Study.,Journal of Cancer,2016,Atorvastatin,Chronic Obstructive Pulmonary Disease
27542242,Statins dose-dependently exert a significant chemopreventive effect on colon cancer in patients with chronic obstructive pulmonary disease: A population-based cohort study.,Oncotarget,2016,Atorvastatin,Chronic Obstructive Pulmonary Disease
27517752,Statins dose-dependently exert a chemopreventive effect against lung cancer in COPD patients: a population-based cohort study.,Oncotarget,2016,Atorvastatin,Chronic Obstructive Pulmonary Disease
25716971,Anti-inflammatory effects of atorvastatin treatment in chronic obstructive pulmonary disease. A controlled pilot study.,Journal of physiology and pharmacology : an official journal of the Polish Physiological Society,2015,Atorvastatin,Chronic Obstructive Pulmonary Disease
25333651,Evaluation of the Anti-inflammatory Activity of Atorvastatin and its Effect on Alveolar Diameter in a Model of Elastase-induced Emphysema in Rats.,Drug research,2015,Atorvastatin,Chronic Obstructive Pulmonary Disease
25015164,Left main stem/LCA arising from right coronary sinus with an interarterial course.,BMJ case reports,2014,Atorvastatin,Chronic Obstructive Pulmonary Disease
25011568,The opportunities and challenges of pragmatic point-of-care randomised trials using routinely collected electronic records: evaluations of two exemplar trials.,"Health technology assessment (Winchester, England)",2014,Atorvastatin,Chronic Obstructive Pulmonary Disease
24778661,The effects of atorvastatin on mustard-gas-exposed patients with chronic obstructive pulmonary disease: A randomized controlled trial.,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,2014,Atorvastatin,Chronic Obstructive Pulmonary Disease
24049424,Pharmaceutical approval update.,P & T : a peer-reviewed journal for formulary management,2013,Atorvastatin,Chronic Obstructive Pulmonary Disease
22349920,Statins for COPD: a challenge to conventional beliefs?,Primary care respiratory journal : journal of the General Practice Airways Group,2012,Atorvastatin,Chronic Obstructive Pulmonary Disease
22218819,Statin use in COPD patients is associated with a reduction in mortality: a national cohort study.,Primary care respiratory journal : journal of the General Practice Airways Group,2012,Atorvastatin,Chronic Obstructive Pulmonary Disease
21495837,Statin therapy is associated with decreased pulmonary vascular pressures in severe COPD.,COPD,2011,Atorvastatin,Chronic Obstructive Pulmonary Disease
19228110,Preoperative statin use and infection after cardiac surgery: a cohort study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2009,Atorvastatin,Chronic Obstructive Pulmonary Disease
