pmid,title,journal,year,drug,disease
40698099,Assessing the Role of Statins as an Adjunctive Anti-VEGF Therapy for Clinically Significant Macular Edema (CSME) in Type 2 Diabetes Mellitus.,Romanian journal of ophthalmology,2025,Atorvastatin,Diabetic Retinopathy
40294080,Prospective DDI Risk Assessment of Vicasinabin with PBPK Modeling by Integrating In Vitro Data.,Clinical pharmacology and therapeutics,2025,Atorvastatin,Diabetic Retinopathy
38589960,Clinical effects of atorvastatin combined with conbercept in the treatment of patients with macular edema secondary to retinal vein occlusion and carotid plaque: study protocol for a prospective randomized controlled trial.,Trials,2024,Atorvastatin,Diabetic Retinopathy
37375800,"Sex-Related Differences in the Pharmacological Response in SARS-CoV-2 Infection, Dyslipidemia, and Diabetes Mellitus: A Narrative Review.","Pharmaceuticals (Basel, Switzerland)",2023,Atorvastatin,Diabetic Retinopathy
37242493,The Effect of Statins on Ocular Disorders: A Systematic Review of Randomized Controlled Trials.,"Pharmaceuticals (Basel, Switzerland)",2023,Atorvastatin,Diabetic Retinopathy
37063445,Determination of Ruboxistaurin analysis in rat plasma utilizing LC-MS/MS technique.,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,2023,Atorvastatin,Diabetic Retinopathy
37002321,"hsa-mir-(4328, 4422, 548z and -628-5p) in diabetic retinopathy: diagnosis, prediction and linking a new therapeutic target.",Acta diabetologica,2023,Atorvastatin,Diabetic Retinopathy
29678729,Statins reduce testicular and ocular VEGF: A potential compromise to microcirculation.,Microvascular research,2018,Atorvastatin,Diabetic Retinopathy
26125742,Effect of atorvastatin on diabetic rat endothelial cells and retinal lesions.,Genetics and molecular research : GMR,2015,Atorvastatin,Diabetic Retinopathy
25404034,Atorvastatin-mediated protection of the retina in a model of diabetes with hyperlipidemia.,Canadian journal of physiology and pharmacology,2014,Atorvastatin,Diabetic Retinopathy
25120629,Associations between apolipoprotein CIII concentrations and microalbuminuria in type 2 diabetes.,Experimental and therapeutic medicine,2014,Atorvastatin,Diabetic Retinopathy
23253439,Atorvastatin: an efficient step forward in mesenchymal stem cell therapy of diabetic retinopathy.,Cytotherapy,2013,Atorvastatin,Diabetic Retinopathy
20957344,"Diabetes-induced peroxynitrite impairs the balance of pro-nerve growth factor and nerve growth factor, and causes neurovascular injury.",Diabetologia,2011,Atorvastatin,Diabetic Retinopathy
20507015,Atorvastatin for diabetic macular edema in patients with diabetes mellitus and elevated serum cholesterol.,"Ophthalmic surgery, lasers & imaging : the official journal of the International Society for Imaging in the Eye",2010,Atorvastatin,Diabetic Retinopathy
20042258,The management of diabetic neuropathy in CKD.,American journal of kidney diseases : the official journal of the National Kidney Foundation,2010,Atorvastatin,Diabetic Retinopathy
20017932,Adolescent type 1 Diabetes Cardio-renal Intervention Trial (AdDIT).,BMC pediatrics,2009,Atorvastatin,Diabetic Retinopathy
16973667,Effect of atorvastatin on ocular blood flow velocities in patients with diabetic retinopathy.,The British journal of ophthalmology,2007,Atorvastatin,Diabetic Retinopathy
15523197,Pharmacotherapy for diabetic retinopathy.,Current opinion in ophthalmology,2004,Atorvastatin,Diabetic Retinopathy
15270795,Baseline characteristics in the Collaborative AtoRvastatin Diabetes Study (CARDS) in patients with Type 2 diabetes.,Diabetic medicine : a journal of the British Diabetic Association,2004,Atorvastatin,Diabetic Retinopathy
15059707,Lipid-lowering drug atorvastatin as an adjunct in the management of diabetic macular edema.,American journal of ophthalmology,2004,Atorvastatin,Diabetic Retinopathy
12899656,Microvascular reactivity in patients with hypercholesterolemia: effect of lipid lowering treatment.,Physiological research,2003,Atorvastatin,Diabetic Retinopathy
11918622,Design of the Collaborative AtoRvastatin Diabetes Study (CARDS) in patients with type 2 diabetes.,Diabetic medicine : a journal of the British Diabetic Association,2002,Atorvastatin,Diabetic Retinopathy
11473066,"The effect of aggressive versus standard lipid lowering by atorvastatin on diabetic dyslipidemia: the DALI study: a double-blind, randomized, placebo-controlled trial in patients with type 2 diabetes and diabetic dyslipidemia.",Diabetes care,2001,Atorvastatin,Diabetic Retinopathy
