pmid,title,journal,year,drug,disease
37667529,Physiologically-based pharmacokinetic modeling for investigating the effect of simeprevir on concomitant drugs and an endogenous biomarker of OATP1B.,CPT: pharmacometrics & systems pharmacology,2023,Atorvastatin,Hepatitis C
35724670,Statins Increase the Bioavailability of Fixed-Dose Combination of Sofosbuvir/Ledipasvir by Inhibition of P-glycoprotein.,Drug research,2022,Atorvastatin,Hepatitis C
35712812,Atorvastatin favorably modulates a clinical hepatocellular carcinoma risk gene signature.,Hepatology communications,2022,Atorvastatin,Hepatitis C
35356132,A Meta-Analysis of Statin Use and Risk of Hepatocellular Carcinoma.,Canadian journal of gastroenterology & hepatology,2022,Atorvastatin,Hepatitis C
35314909,In Vitro Assessment of Transporter Mediated Perpetrator DDIs for Several Hepatitis C Virus Direct-Acting Antiviral Drugs and Prediction of DDIs with Statins Using Static Models.,The AAPS journal,2022,Atorvastatin,Hepatitis C
35262903,"Incidence of, Risk Factors for, and Outcomes After Ascites in a Population-Based Cohort of Older Americans.",Digestive diseases and sciences,2022,Atorvastatin,Hepatitis C
33527237,"Evaluation of Pharmacokinetic Drug Interactions of the Direct-Acting Antiviral Agents Elbasvir and Grazoprevir with Pitavastatin, Rosuvastatin, Pravastatin, and Atorvastatin in Healthy Adults.",Clinical drug investigation,2021,Atorvastatin,Hepatitis C
33126910,Atorvastatin and Aspirin as Adjuvant Therapy in Patients with SARS-CoV-2 Infection: A structured summary of a study protocol for a randomised controlled trial.,Trials,2020,Atorvastatin,Hepatitis C
31210815,Atorvastatin in Combination with Pegylated Interferon and Ribavirin Provided High Rate of Sustained Virological Response in Patients with Genotype 3 Hepatitis C Virus.,Open access Macedonian journal of medical sciences,2019,Atorvastatin,Hepatitis C
30808332,Severe rhabdomyolysis-induced acute kidney injury following concomitant use of Genvoya(R) (EVG/COBI/FTC/TAF) and simvastatin; a case report.,BMC nephrology,2019,Atorvastatin,Hepatitis C
30016547,Serum Alanine Aminotransferase Elevations in Survivors of Childhood Cancer: A Report From the St. Jude Lifetime Cohort Study.,"Hepatology (Baltimore, Md.)",2019,Atorvastatin,Hepatitis C
28513969,"Effect of Steady-State Faldaprevir on Pharmacokinetics of Atorvastatin or Rosuvastatin in Healthy Volunteers: A Prospective Open-Label, Fixed-Sequence Crossover Study.",Journal of clinical pharmacology,2017,Atorvastatin,Hepatitis C
27635145,An Unexpected Interaction between Sofosbuvir/Ledipasvir and Atorvastatin and Colchicine Causing Rhabdomyolysis in a Patient with Impaired Renal Function.,Case reports in medicine,2016,Atorvastatin,Hepatitis C
26891205,"Atorvastatin and fluvastatin are associated with dose-dependent reductions in cirrhosis and hepatocellular carcinoma, among patients with hepatitis C virus: Results from ERCHIVES.","Hepatology (Baltimore, Md.)",2016,Atorvastatin,Hepatitis C
26416870,Effects of Antiviral Drugs on Organic Anion Transport in Human Placental BeWo Cells.,Antimicrobial agents and chemotherapy,2015,Atorvastatin,Hepatitis C
25561795,Tricistronic hepatitis C virus subgenomic replicon expressing double transgenes.,World journal of gastroenterology,2014,Atorvastatin,Hepatitis C
25002886,Statin efficacy in the treatment of hepatitis C genotype I.,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,2014,Atorvastatin,Hepatitis C
24285338,HMG CoA reductase inhibitor treatment induces dysglycemia in renal allograft recipients.,Transplantation,2014,Atorvastatin,Hepatitis C
23703578,Drug-drug interactions between HMG-CoA reductase inhibitors (statins) and antiviral protease inhibitors.,Clinical pharmacokinetics,2013,Atorvastatin,Hepatitis C
23529734,Pharmacokinetic evaluation of the interaction between hepatitis C virus protease inhibitor boceprevir and 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitors atorvastatin and pravastatin.,Antimicrobial agents and chemotherapy,2013,Atorvastatin,Hepatitis C
23293300,In vitro assessment of drug-drug interaction potential of boceprevir associated with drug metabolizing enzymes and transporters.,Drug metabolism and disposition: the biological fate of chemicals,2013,Atorvastatin,Hepatitis C
22902721,Interaction of the antiviral drug telaprevir with renal and hepatic drug transporters.,Biochemical pharmacology,2012,Atorvastatin,Hepatitis C
22345334,A review of drug interactions with boceprevir and telaprevir: implications for HIV and transplant patients.,Annals of hepatology,2012,Atorvastatin,Hepatitis C
21825288,Effect of the hepatitis C virus protease inhibitor telaprevir on the pharmacokinetics of amlodipine and atorvastatin.,Antimicrobial agents and chemotherapy,2011,Atorvastatin,Hepatitis C
19957377,New translational research on novel drugs for hepatitis C virus 1b infection by using a replicon system and human induced pluripotent stem cells.,"Hepatology (Baltimore, Md.)",2010,Atorvastatin,Hepatitis C
19877024,"Obesity, hyperlipidemia, and metabolic syndrome.",Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society,2009,Atorvastatin,Hepatitis C
17928739,Life style-related diseases of the digestive system: cell culture system for the screening of anti-hepatitis C virus (HCV) reagents: suppression of HCV replication by statins and synergistic action with interferon.,Journal of pharmacological sciences,2007,Atorvastatin,Hepatitis C
17393518,Atorvastatin does not exhibit antiviral activity against HCV at conventional doses: a pilot clinical trial.,"Hepatology (Baltimore, Md.)",2007,Atorvastatin,Hepatitis C
16799963,Different anti-HCV profiles of statins and their potential for combination therapy with interferon.,"Hepatology (Baltimore, Md.)",2006,Atorvastatin,Hepatitis C
15171081,A statin for a patient with hyperlipidemia and hepatitis C?,Postgraduate medicine,2004,Atorvastatin,Hepatitis C
