pmid,title,journal,year,drug,disease
40922254,Cerebrovascular accidents - Unexpected complication of systemic sclerosis: A scarce case report.,Medicine,2025,Atorvastatin,Multiple Sclerosis
40170515,Use of Real-World Claims Data to Assess the Prevalence of Concomitant Medications to Inform Drug-Drug Interaction Risk in Target Patient Populations.,Clinical pharmacology and therapeutics,2025,Atorvastatin,Multiple Sclerosis
39755500,Delayed atorvastatin delivery promotes recovery after experimental spinal cord injury.,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,2025,Atorvastatin,Multiple Sclerosis
39448737,Impact of commonly administered drugs on the progression of spinal cord injury: a systematic review.,Communications medicine,2024,Atorvastatin,Multiple Sclerosis
38940563,Absence of farnesol salvage in Candida albicans and probably in other fungi.,Applied and environmental microbiology,2024,Atorvastatin,Multiple Sclerosis
38058171,An update on combination therapies for multiple sclerosis: where are we now?,Expert review of neurotherapeutics,2023,Atorvastatin,Multiple Sclerosis
34600839,The role and transformative potential of IL-19 in atherosclerosis.,Cytokine & growth factor reviews,2021,Atorvastatin,Multiple Sclerosis
33176238,The combined treatment of NAD(+) and atorvastatin ameliorates the development of experimental autoimmune encephalomyelitis in C57BL/6 mice.,Journal of neuroimmunology,2021,Atorvastatin,Multiple Sclerosis
31071151,Heme oxygenase-1-Dependent anti-inflammatory effects of atorvastatin in zymosan-injected subcutaneous air pouch in mice.,PloS one,2019,Atorvastatin,Multiple Sclerosis
30623857,Therapeutic lag in reducing disability progression in relapsing-remitting multiple sclerosis: 8-year follow-up of two randomized add-on trials with atorvastatin.,Multiple sclerosis and related disorders,2019,Atorvastatin,Multiple Sclerosis
29394220,Beneficial effect of atorvastatin-modified dendritic cells pulsed with myelin oligodendrocyte glycoprotein autoantigen on experimental autoimmune encephalomyelitis.,Neuroreport,2018,Atorvastatin,Multiple Sclerosis
28844017,Assessment of Response of Kidney Tumors to Rapamycin and Atorvastatin in Tsc1(+/-) Mice.,Translational oncology,2017,Atorvastatin,Multiple Sclerosis
28758631,Statins are ineffective at reducing neuroinflammation or prolonging survival in scrapie-infected mice.,The Journal of general virology,2017,Atorvastatin,Multiple Sclerosis
27026043,Interferon beta-1a and Atorvastatin in the Treatment of Multiple Sclerosis.,Iranian journal of immunology : IJI,2016,Atorvastatin,Multiple Sclerosis
26518224,Vitamin D in clinically isolated syndrome: evidence for possible neuroprotection.,European journal of neurology,2016,Atorvastatin,Multiple Sclerosis
26466947,No evidence for an effect on brain atrophy rate of atorvastatin add-on to interferon beta1b therapy in relapsing-remitting multiple sclerosis (the ARIANNA study).,"Multiple sclerosis (Houndmills, Basingstoke, England)",2016,Atorvastatin,Multiple Sclerosis
25477564,Atorvastatin: multiple sclerosis.,Hospital pharmacy,2014,Atorvastatin,Multiple Sclerosis
25448497,Atorvastatin calcium in combination with methylprednisolone for the treatment of multiple sclerosis relapse.,International immunopharmacology,2014,Atorvastatin,Multiple Sclerosis
25366571,Does coenzyme-Q have a protective effect against atorvastatin induced myopathy? A histopathological and immunohistochemical study in albino rats.,Histology and histopathology,2015,Atorvastatin,Multiple Sclerosis
24948050,Statins - are they anticonvulsant?,Pharmacological reports : PR,2014,Atorvastatin,Multiple Sclerosis
24657241,Role of statins in the treatment of multiple sclerosis.,Pharmacological research,2014,Atorvastatin,Multiple Sclerosis
24498870,Neither T-helper type 2 nor Foxp3+ regulatory T cells are necessary for therapeutic benefit of atorvastatin in treatment of central nervous system autoimmunity.,Journal of neuroinflammation,2014,Atorvastatin,Multiple Sclerosis
24497963,Atorvastatin added to interferon beta for relapsing multiple sclerosis: 12-month treatment extension of the randomized multicenter SWABIMS trial.,PloS one,2014,Atorvastatin,Multiple Sclerosis
24063549,Synergistic effects of atorvastatin and all-trans retinoic acid in ameliorating animal model of multiple sclerosis.,Immunological investigations,2014,Atorvastatin,Multiple Sclerosis
23253428,Pharmacodynamic potentiation of antiepileptic drugs' effects by some HMG-CoA reductase inhibitors against audiogenic seizures in DBA/2 mice.,Pharmacological research,2013,Atorvastatin,Multiple Sclerosis
22899744,Efficacy of statins in combination with interferon therapy in multiple sclerosis: a meta-analysis.,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,2012,Atorvastatin,Multiple Sclerosis
22801747,Inhibition of interferon-beta responses in multiple sclerosis immune cells associated with high-dose statins.,Archives of neurology,2012,Atorvastatin,Multiple Sclerosis
22673299,Immunomodulatory synergy by combining atorvastatin and rapamycin in the treatment of experimental autoimmune encephalomyelitis (EAE).,Journal of neuroimmunology,2012,Atorvastatin,Multiple Sclerosis
22569835,Atorvastatin added to interferon beta for relapsing multiple sclerosis: a randomized controlled trial.,Journal of neurology,2012,Atorvastatin,Multiple Sclerosis
22161428,Statins for multiple sclerosis.,The Cochrane database of systematic reviews,2011,Atorvastatin,Multiple Sclerosis
21964955,Statins amplify TLR-induced responses in microglia via inhibition of cholesterol biosynthesis.,Glia,2012,Atorvastatin,Multiple Sclerosis
21154395,Statins for multiple sclerosis.,The Cochrane database of systematic reviews,2010,Atorvastatin,Multiple Sclerosis
21137615,Folliculocentric lichen sclerosus et atrophicus.,Skinmed,2010,Atorvastatin,Multiple Sclerosis
20626428,The combination of interferon-beta and HMG-CoA reductase inhibition in multiple sclerosis: enthusiasm lost too soon?,CNS neuroscience & therapeutics,2010,Atorvastatin,Multiple Sclerosis
20150398,Atorvastatin combined to interferon to verify the efficacy (ACTIVE) in relapsing-remitting active multiple sclerosis patients: a longitudinal controlled trial of combination therapy.,"Multiple sclerosis (Houndmills, Basingstoke, England)",2010,Atorvastatin,Multiple Sclerosis
20003436,"SWiss Atorvastatin and interferon Beta-1b trial In Multiple Sclerosis (SWABIMS)--rationale, design and methodology.",Trials,2009,Atorvastatin,Multiple Sclerosis
19786703,Combining beta interferon and atorvastatin may increase disease activity in multiple sclerosis.,Neurology,2009,Atorvastatin,Multiple Sclerosis
19487658,Combining beta interferon and atorvastatin may increase disease activity in multiple sclerosis.,Neurology,2009,Atorvastatin,Multiple Sclerosis
18576356,Failure of oral atorvastatin to modulate a murine model of systemic lupus erythematosus.,Arthritis and rheumatism,2008,Atorvastatin,Multiple Sclerosis
18573823,Atorvastatin decreases high-sensitivity C-reactive protein in multiple sclerosis.,"Multiple sclerosis (Houndmills, Basingstoke, England)",2008,Atorvastatin,Multiple Sclerosis
18525027,Combining beta interferon and atorvastatin may increase disease activity in multiple sclerosis.,Neurology,2008,Atorvastatin,Multiple Sclerosis
18524417,Effect of interferon-beta and atorvastatin on Th1/Th2 cytokines in multiple sclerosis.,Neurochemistry international,2008,Atorvastatin,Multiple Sclerosis
18474748,Atorvastatin does not alter interferon Beta-induced changes of serum matrix metalloproteinase 9 and tissue inhibitor of metalloproteinase 1 in patients with multiple sclerosis.,Archives of neurology,2008,Atorvastatin,Multiple Sclerosis
18398457,Oral high-dose atorvastatin treatment in relapsing-remitting multiple sclerosis.,PloS one,2008,Atorvastatin,Multiple Sclerosis
18346732,Combined treatment with atorvastatin and minocycline suppresses severity of EAE.,Experimental neurology,2008,Atorvastatin,Multiple Sclerosis
18341614,Atorvastatin does not alter serum levels of sCD95 and sCD95L in multiple sclerosis.,Clinical and experimental immunology,2008,Atorvastatin,Multiple Sclerosis
