pmid,title,journal,year,drug,disease
39665162,Comprehensive multi-omics approach reveals potential therapeutic targets and agents for osteoarthritis.,Postgraduate medical journal,2025,Atorvastatin,Osteoarthritis
39448001,Role and mechanism of Actein on condylar bone metabolism in APOE deletion-induced osteoporotic mice.,Bone,2025,Atorvastatin,Osteoarthritis
39279705,Investigating the Effects of Simultaneous Administration of Melatonin and Atorvastatin against High Glucose-Induced Oxidative Stress and Apoptosis in Cultured Chondrocytes.,Current rheumatology reviews,2024,Atorvastatin,Osteoarthritis
39262222,Enhancement of Intracellular Cholesterol Efflux in Chondrocytes Leading to Alleviation of Osteoarthritis Progression.,"Arthritis & rheumatology (Hoboken, N.J.)",2025,Atorvastatin,Osteoarthritis
38821468,Repurposing drugs for the treatment of osteoarthritis.,Osteoarthritis and cartilage,2024,Atorvastatin,Osteoarthritis
38648228,Assessing the causal associations of different types of statins use and knee/hip osteoarthritis: A Mendelian randomization study.,PloS one,2024,Atorvastatin,Osteoarthritis
38570925,Potential Benefits of Statin Therapy in Reducing Osteoarthritis Risk: A Mendelian Randomization Study.,Arthritis care & research,2024,Atorvastatin,Osteoarthritis
36898656,"Intensive cholesterol-lowering treatment reduces synovial inflammation during early collagenase-induced osteoarthritis, but not pathology at end-stage disease in female dyslipidemic E3L.CETP mice.",Osteoarthritis and cartilage,2023,Atorvastatin,Osteoarthritis
36442605,IL-1beta inhibition combined with cholesterol-lowering therapies decreases synovial lining thickness and spontaneous cartilage degeneration in a humanized dyslipidemia mouse model.,Osteoarthritis and cartilage,2023,Atorvastatin,Osteoarthritis
36091679,Effect of atorvastatin on skeletal muscles of patients with knee osteoarthritis: Post-hoc analysis of a randomised controlled trial.,Frontiers in medicine,2022,Atorvastatin,Osteoarthritis
35972369,Association between popliteal artery wall thickness and structural progression in patients with symptomatic knee osteoarthritis.,"Rheumatology (Oxford, England)",2023,Atorvastatin,Osteoarthritis
35894149,Therapeutic effects of statins on osteoarthritis: A review.,Journal of cellular biochemistry,2022,Atorvastatin,Osteoarthritis
34612533,Standardized study of atorvastatin possible osteoarthritis disease-modifying effect in a rat model of osteoarthritis.,Fundamental & clinical pharmacology,2022,Atorvastatin,Osteoarthritis
34494933,Atorvastatin inhibited TNF-alpha induced matrix degradation in rat nucleus pulposus cells by suppressing NLRP3 inflammasome activity and inducing autophagy through NF-kappaB signaling.,"Cell cycle (Georgetown, Tex.)",2021,Atorvastatin,Osteoarthritis
33844449,Effect of Atorvastatin on Knee Cartilage Volume in Patients With Symptomatic Knee Osteoarthritis: Results From a Randomized Placebo-Controlled Trial.,"Arthritis & rheumatology (Hoboken, N.J.)",2021,Atorvastatin,Osteoarthritis
33722697,Novel high-intensive cholesterol-lowering therapies do not ameliorate knee OA development in humanized dyslipidemic mice.,Osteoarthritis and cartilage,2021,Atorvastatin,Osteoarthritis
32895353,Intra-articular hyaluronic acid injection vs. atorvastatin; which treatment is more effective in controlling symptoms of knee osteoarthritis? A clinical trial.,Acta reumatologica portuguesa,2020,Atorvastatin,Osteoarthritis
32360737,Association between statin use and incidence or progression of osteoarthritis: meta-analysis of observational studies.,Osteoarthritis and cartilage,2020,Atorvastatin,Osteoarthritis
31726891,Systemic drugs with impact on osteoarthritis.,Drug metabolism reviews,2019,Atorvastatin,Osteoarthritis
31237181,Protective effects of atorvastatin against high glucose-induced nuclear factor-kappaB activation in cultured C28I2 chondrocytes.,Journal of receptor and signal transduction research,2019,Atorvastatin,Osteoarthritis
30796627,Protective effects of atorvastatin on high glucose-induced oxidative stress and mitochondrial apoptotic signaling pathways in cultured chondrocytes.,Journal of physiology and biochemistry,2019,Atorvastatin,Osteoarthritis
30144308,Statin Use and Knee Osteoarthritis Outcomes: A Longitudinal Cohort Study.,Arthritis care & research,2019,Atorvastatin,Osteoarthritis
29189310,Muscle Damage Due to Fusidic Acid-Statin Interaction: Review of 75 Cases From the French Pharmacovigilance Database and Literature Reports.,American journal of therapeutics,2019,Atorvastatin,Osteoarthritis
28611866,Association of Cognitive Impairment in Patients on 3-Hydroxy-3-Methyl-Glutaryl-CoA Reductase Inhibitors.,Journal of clinical medicine research,2017,Atorvastatin,Osteoarthritis
28583899,Statins do not inhibit the FGFR signaling in chondrocytes.,Osteoarthritis and cartilage,2017,Atorvastatin,Osteoarthritis
27737897,Protective effects of mitochondria-targeted antioxidants and statins on cholesterol-induced osteoarthritis.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2017,Atorvastatin,Osteoarthritis
26806976,The chondroprotective effects of intraarticular application of statin in osteoarthritis: An experimental study.,Indian journal of orthopaedics,2015,Atorvastatin,Osteoarthritis
26700937,Does statin use have a disease modifying effect in symptomatic knee osteoarthritis? Study protocol for a randomised controlled trial.,Trials,2015,Atorvastatin,Osteoarthritis
25933963,"Effect of atorvastatin, a HMG-CoA reductase inhibitor in monosodium iodoacetate-induced osteoarthritic pain: implication for osteoarthritis therapy.",Pharmacological reports : PR,2015,Atorvastatin,Osteoarthritis
25596949,Anti-inflammatory and chondroprotective effects of atorvastatin in a cartilage explant model of osteoarthritis.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2015,Atorvastatin,Osteoarthritis
25015164,Left main stem/LCA arising from right coronary sinus with an interarterial course.,BMJ case reports,2014,Atorvastatin,Osteoarthritis
24964875,"Is statin use associated with new joint-related symptoms, physical function, and quality of life? Results from two population-based cohorts of women.",Arthritis care & research,2015,Atorvastatin,Osteoarthritis
24897943,Medical characteristics of the oldest old: retrospective chart review of patients aged 85+ in an academic primary care centre.,BMC research notes,2014,Atorvastatin,Osteoarthritis
23625977,Osteoarthritis development is induced by increased dietary cholesterol and can be inhibited by atorvastatin in APOE*3Leiden.CETP mice--a translational model for atherosclerosis.,Annals of the rheumatic diseases,2014,Atorvastatin,Osteoarthritis
23050945,"No changes of cholesterol levels with a commercially available glucosamine product in patients treated with lipid lowering drugs: a controlled, randomised, open cross-over trial.",BMC pharmacology & toxicology,2012,Atorvastatin,Osteoarthritis
24977073,An assessment of the chondroprotective effects of intra-articular application of statin and tetracycline on early-stage experimental osteoarthritis.,ISRN orthopedics,2012,Atorvastatin,Osteoarthritis
19623662,Protective effect of atorvastatin in cultured osteoarthritic chondrocytes.,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2010,Atorvastatin,Osteoarthritis
18840374,A probable case of gabapentin-related reversible hearing loss in a patient with acute renal failure.,Clinical therapeutics,2008,Atorvastatin,Osteoarthritis
16774691,Inhibition of protein geranylgeranylation induces apoptosis in synovial fibroblasts.,Arthritis research & therapy,2006,Atorvastatin,Osteoarthritis
