pmid,title,journal,year,drug,disease
40228860,"STatin TReatment for COVID-19 to Optimise NeuroloGical recovERy (STRONGER): study protocol for a randomised, open label clinical trial in patients with persistent neurological symptoms after COVID-19 infection.",BMJ open,2025,Atorvastatin,SARS-CoV-2
39979403,QbD-steered HPTLC approach for concurrent estimation of six co-administered COVID-19 and cardiovascular drugs in different matrices: greenness appraisal.,Scientific reports,2025,Atorvastatin,SARS-CoV-2
39950294,Sars-Cov-2 Infection as Catecholamin Crisis in Pheocreomocitoma: A Case Report.,"Endocrine, metabolic & immune disorders drug targets",2025,Atorvastatin,SARS-CoV-2
39443527,Atorvastatin and telmisartan do not reduce nasopharyngeal carriage of SARS-CoV-2 in mild or moderate COVID-19 in a phase IIb randomized controlled trial.,Scientific reports,2024,Atorvastatin,SARS-CoV-2
39433826,"Real-world analysis of safety, tolerability, and adherence to nirmatrelvir-ritonavir (paxlovid) in primary care COVID-19 outpatients.",Scientific reports,2024,Atorvastatin,SARS-CoV-2
39240567,Drug-Drug Interactions and the Clinical Tolerability of Colchicine Among Patients With COVID-19: A Secondary Analysis of the COLCORONA Randomized Clinical Trial.,JAMA network open,2024,Atorvastatin,SARS-CoV-2
38454628,Pharmacist's role in the management of drug-drug interactions caused by nirmatrelvir/ritonavir in COVID-19 oncohematology patients.,Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners,2025,Atorvastatin,SARS-CoV-2
38399787,A Dual Pharmacological Strategy against COVID-19: The Therapeutic Potential of Metformin and Atorvastatin.,Microorganisms,2024,Atorvastatin,SARS-CoV-2
38389078,Atorvastatin for reduction of 28-day mortality in severe and critical COVID-19 patients: a randomized controlled trial.,Respiratory research,2024,Atorvastatin,SARS-CoV-2
38251698,Atorvastatin Effect on COVID-19 Outcomes: A Propensity Score Matched Study on Hospitalized Patients.,Current medicinal chemistry,2025,Atorvastatin,SARS-CoV-2
38112932,Influence of a Short Course of Ritonavir Used as Booster in Antiviral Therapies Against SARS-CoV-2 on the Exposure of Atorvastatin and Rosuvastatin.,Cardiovascular drugs and therapy,2025,Atorvastatin,SARS-CoV-2
37969853,A Retrospective Cohort Study Assessing the Impact of Statin Therapy on Hospital Length of Stay and Inpatient Mortality in COVID-19 Patients.,HCA healthcare journal of medicine,2023,Atorvastatin,SARS-CoV-2
37611403,Focal Cerebral Vasculitis due to SARS-CoV-2 Infection With a Robust Response to Intravenous Steroids.,The neurologist,2024,Atorvastatin,SARS-CoV-2
37539477,Potential drug-drug interactions among U.S. adults treated with nirmatrelvir/ritonavir: A cross-sectional study of the National Covid Cohort Collaborative (N3C).,Pharmacotherapy,2023,Atorvastatin,SARS-CoV-2
37375800,"Sex-Related Differences in the Pharmacological Response in SARS-CoV-2 Infection, Dyslipidemia, and Diabetes Mellitus: A Narrative Review.","Pharmaceuticals (Basel, Switzerland)",2023,Atorvastatin,SARS-CoV-2
37230416,A randomized controlled trial to investigate the use of acute coronary syndrome therapy in patients hospitalized with COVID-19: the COVID-19 Acute Coronary Syndrome trial.,Journal of thrombosis and haemostasis : JTH,2023,Atorvastatin,SARS-CoV-2
37146076,Target-agnostic drug prediction integrated with medical record analysis uncovers differential associations of statins with increased survival in COVID-19 patients.,PLoS computational biology,2023,Atorvastatin,SARS-CoV-2
37102510,Indian food habit & food ingredients may have a role in lowering the severity & high death rate from COVID-19 in Indians: findings from the first nutrigenomic analysis.,The Indian journal of medical research,2023,Atorvastatin,SARS-CoV-2
36908454,Effect of the chronic medication use on outcome measures of hospitalized COVID-19 patients: Evidence from big data.,Frontiers in public health,2023,Atorvastatin,SARS-CoV-2
36359845,Phenotypical and Functional Alteration of gammadelta T Lymphocytes in COVID-19 Patients: Reversal by Statins.,Cells,2022,Atorvastatin,SARS-CoV-2
36140223,In Vitro Evidence of Statins' Protective Role against COVID-19 Hallmarks.,Biomedicines,2022,Atorvastatin,SARS-CoV-2
35941669,"Atorvastatin for reduction of 28-day mortality in hospitalized COVID-19 patients: study protocol for a randomized, double-blinded, placebo-controlled, clinical trial.",Trials,2022,Atorvastatin,SARS-CoV-2
35810307,Statin and aspirin as adjuvant therapy in hospitalised patients with SARS-CoV-2 infection: a randomised clinical trial (RESIST trial).,BMC infectious diseases,2022,Atorvastatin,SARS-CoV-2
35808843,"Managing endothelial dysfunction in COVID-19 with statins, beta blockers, nicorandil, and oral supplements: A pilot, double-blind, placebo-controlled, randomized clinical trial.",Clinical and translational science,2022,Atorvastatin,SARS-CoV-2
35699173,Association of Statins for Primary Prevention of Cardiovascular Diseases With Hospitalization for COVID-19: A Nationwide Matched Population-Based Cohort Study.,Journal of the American Heart Association,2022,Atorvastatin,SARS-CoV-2
35623812,Is there any association between plasma lipid profile and severity of COVID-19?,Clinical nutrition ESPEN,2022,Atorvastatin,SARS-CoV-2
35441166,Target-agnostic drug prediction integrated with medical record analysis uncovers differential associations of statins with increased survival in COVID-19 patients.,medRxiv : the preprint server for health sciences,2022,Atorvastatin,SARS-CoV-2
35369500,Atorvastatin Effectively Inhibits Ancestral and Two Emerging Variants of SARS-CoV-2 in vitro.,Frontiers in microbiology,2022,Atorvastatin,SARS-CoV-2
35274326,Survival of the hospitalized patients with COVID-19 receiving atorvastatin: A randomized clinical trial.,Journal of medical virology,2022,Atorvastatin,SARS-CoV-2
35194409,2021 Update on the Clinical Management and Diagnosis of Kawasaki Disease.,Current infectious disease reports,2021,Atorvastatin,SARS-CoV-2
35144489,The impact of COVID-19 on benzodiazepine usage in psychiatric inpatient units.,Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists,2022,Atorvastatin,SARS-CoV-2
35131079,Longstanding Phenytoin Use as a Cause of Progressive Dyspnea.,Chest,2022,Atorvastatin,SARS-CoV-2
35056135,A Case-Control of Patients with COVID-19 to Explore the Association of Previous Hospitalisation Use of Medication on the Mortality of COVID-19 Disease: A Propensity Score Matching Analysis.,"Pharmaceuticals (Basel, Switzerland)",2022,Atorvastatin,SARS-CoV-2
34996756,Atorvastatin versus placebo in patients with covid-19 in intensive care: randomized controlled trial.,BMJ (Clinical research ed.),2022,Atorvastatin,SARS-CoV-2
34848761,Drug repurposing for COVID-19 using graph neural network and harmonizing multiple evidence.,Scientific reports,2021,Atorvastatin,SARS-CoV-2
34805497,Primary Adrenal Insufficiency After COVID-19 Infection.,AACE clinical case reports,2022,Atorvastatin,SARS-CoV-2
34696514,Effect of Ivermectin and Atorvastatin on Nuclear Localization of Importin Alpha and Drug Target Expression Profiling in Host Cells from Nasopharyngeal Swabs of SARS-CoV-2- Positive Patients.,Viruses,2021,Atorvastatin,SARS-CoV-2
34676979,"Toxic myopathy and liver damage caused by concomitant therapy with remdesivir, atorvastatin, ezetimibe, and tacrolimus in a renal transplant patient with recently treated SARS-CoV-2 induced pneumonia: A case report.","Therapeutic apheresis and dialysis : official peer-reviewed journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy",2022,Atorvastatin,SARS-CoV-2
34631362,Molecular modeling of the interaction of ligands with ACE2-SARS-CoV-2 spike protein complex.,In silico pharmacology,2021,Atorvastatin,SARS-CoV-2
34567954,COVID-19 associated pancreatitis: A mini case-series.,International journal of surgery case reports,2021,Atorvastatin,SARS-CoV-2
34529856,Occurrence of Pharmaceutically Active Compounds and Potential Ecological Risks in Wastewater from Hospitals and Receiving Waters in Sri Lanka.,Environmental toxicology and chemistry,2022,Atorvastatin,SARS-CoV-2
34503440,Identifying FDA-approved drugs with multimodal properties against COVID-19 using a data-driven approach and a lung organoid model of SARS-CoV-2 entry.,"Molecular medicine (Cambridge, Mass.)",2021,Atorvastatin,SARS-CoV-2
34444607,The Effects of Reduced Physical Activity on the Lipid Profile in Patients with High Cardiovascular Risk during COVID-19 Lockdown.,International journal of environmental research and public health,2021,Atorvastatin,SARS-CoV-2
