PMID,Title,Journal,Year
40671487,Adverse events with co-prescription of angiotensin receptor blockers and clarithromycin compared to azithromycin: A population-based retrospective cohort study.,Pharmacotherapy,2025
40575645,COVID-19 management in patients with comorbid conditions.,World journal of virology,2025
40057833,Improved Graft Function and Decreased Post-transplantation Urinary Tract Infection after Azithromycin Dosing to Donors: A Pilot Study.,Urology journal,2025
39299712,Disseminated Mycobacterium chelonae infection in kidney transplant patients.,BMJ case reports,2024
39192626,Ureaplasma urealyticum infection following organ transplantation: a case report and narrative review.,Renal failure,2024
38688568,Mycobacterium senegalense catheter-related bloodstream infection.,BMJ case reports,2024
38367183,A case of late-onset organizing pneumonia following COVID-19 infection in a post-kidney transplant patient.,CEN case reports,2024
38094614,Clinical profile and Predictors of Outcomes of Hospitalized Patients with Laboratory-Confirmed Severe Acute Respiratory Syndrome Coronavirus 2 in Nigeria: A Retrospective Analysis of 13 High Burden States in Nigeria.,Nigerian medical journal : journal of the Nigeria Medical Association,2023
37885396,[A Case of Mycobacterium abscessus Identified by Suspicious Gram Staining in the Blood Culture of a Patient with Chronic Renal Failure].,Mikrobiyoloji bulteni,2023
39206650,Prescribing Practices of QT Interval Prolonging Drugs in Critically Ill Older Adults in South India.,Kathmandu University medical journal (KUMJ),2023
36585049,Case of clinically mild encephalitis/encephalopathy with a reversible splenial lesion (MERS) due to Legionella pneumonia.,BMJ case reports,2022
35903523,Antibiotics utilization patterns and dosage appropriateness among patients receiving hemodialysis.,Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,2022
35169379,Chronic Kidney Disease and COVID-19: Outcomes of hospitalised adults from a tertiary care centre in North India.,"Medical journal, Armed Forces India",2022
35015782,Prediction of mortality in hospitalized Egyptian patients with Coronavirus disease-2019: A multicenter retrospective study.,PloS one,2022
34942159,Lactic acidosis associated with standard dose linezolid in a kidney recipient with impaired renal function.,The Brazilian journal of infectious diseases : an official publication of the Brazilian Society of Infectious Diseases,2022
34852751,Case Report: Severe SARS-CoV-2 Infection Treated with Remdesivir in a Patient with ESRD.,Infectious disorders drug targets,2022
34666716,Mycobacteria avium-related peritonitis in a patient undergoing peritoneal dialysis: case report and review of the literature.,BMC nephrology,2021
34491575,Comparison of demographic and clinical characteristics of hospitalized COVID-19 patients with severe/critical illness in the first wave versus the second wave.,Journal of medical virology,2022
34145134,Coronavirus Disease-2019 in Children with Primary Kidney Disease: A Case series.,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia",2021
34083502,Coronavirus Disease 2019 and Kidney Transplantation in Saudi Arabia: Outcomes and Future Opportunities.,Annals of transplantation,2021
