PMID,Title,Journal,Year
40898355,"Study protocol: COPD-eosinophil-guided reduction of inhaled corticosteroids (COPERNICOS) : A randomized, double-blinded, multicenter, four-arm intervention clinical trial on eosinophil-guided time-updated person-specific reduction of inhaled corticosteroid therapy and prophylactic low dose Azithromycin therapy in patients with severe or very severe chronic obstructive pulmonary disease (COPD).",Trials,2025
40803638,Pharmacovigilance of five commonly used antibiotics in acute exacerbations of COPD (AECOPD): Analysis of the FDA adverse event reporting system database.,Pulmonary pharmacology & therapeutics,2025
40610208,Identifying azithromycin responders with an individual treatment effect model in COPD.,Thorax,2025
40583657,Antibacterial Sensitivity in Sputum among Acute Exacerbation of Chronic Obstructive Pulmonary Disease Patients.,Mymensingh medical journal : MMJ,2025
40575645,COVID-19 management in patients with comorbid conditions.,World journal of virology,2025
40466857,"Effects of EP395, a novel macrolide, on acute neutrophilic airway inflammation.",Pulmonary pharmacology & therapeutics,2025
40378193,Comparative effectiveness of azithromycin versus doxycycline in hospitalized patients with community acquired pneumonia treated with beta-lactams: A multicenter matched cohort study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2025
40293759,Non-Cystic Fibrosis Bronchiectasis in Adults: A Review.,JAMA,2025
40122903,"A bioinformatics approach combined with experimental validation analyzes the efficacy of azithromycin in treating SARS-CoV-2 infection in patients with IPF and COPD These authors contributed equally: Yining Xie, Guangshu Chen, and Weiling Wu.",Scientific reports,2025
40083192,Random forest for dynamic risk prediction of recurrent events: a pseudo-observation approach.,"Biostatistics (Oxford, England)",2024
40078246,A Rare Pathogenic Masquerader of Pulmonary Disease: A Case Report.,Cureus,2025
40076911,The Non-Antibacterial Effects of Azithromycin and Other Macrolides on the Bronchial Epithelial Barrier and Cellular Differentiation.,International journal of molecular sciences,2025
39906676,"Feasibility, Usability, and Pilot Efficacy Study of a Software-Enabled, Virtual Pulmonary Rehabilitation with Remote Therapeutic Monitoring.",International journal of chronic obstructive pulmonary disease,2025
39906537,Vascular Pathology in Alpha 1 Antitrypsin Deficient Chronic Obstructive Pulmonary Disease and Emphysema Patients: Case Reports.,The application of clinical genetics,2025
39904363,Pharmacologic Therapies for Preventing Chronic Obstructive Pulmonary Disease Exacerbations: A Comprehensive Review.,Tuberculosis and respiratory diseases,2025
39766566,"""Pleiotropic"" Effects of Antibiotics: New Modulators in Human Diseases.","Antibiotics (Basel, Switzerland)",2024
39623375,Cyclophostin and Cyclipostins analogues counteract macrolide-induced resistance mediated by erm(41) in Mycobacterium abscessus.,Journal of biomedical science,2024
39607310,tau -Inflated Beta Regression Model for Estimating tau -Restricted Means and Event-Free Probabilities for Censored Time-to-Event Data.,Biometrical journal. Biometrische Zeitschrift,2024
39518477,Personalized COPD Care: The Future of Precision-Based Therapies.,Journal of clinical medicine,2024
39493191,Clinical Presentation and Management of Pulmonary Infection Caused by Mycobacterium paraffinicum.,Cureus,2024
