PMID,Title,Journal,Year
40736492,Top 20 Research Studies of 2024 for Primary Care Physicians.,American family physician,2025
34230966,"What's new in travellers' diarrhoea: updates on epidemiology, diagnostics, treatment and long-term consequences.",Journal of travel medicine,2022
28028528,"The comparison of treatments with and without azithromycin in irritable bowel syndrome with diarrhea-predominant in gastrointestinal Clinic of Al-Zahra Hospital, Isfahan, Iran.",Advanced biomedical research,2016
25562268,Traveler's diarrhea: a clinical review.,JAMA,2015
25124712,Self medicated antibiotics in Bangladesh: a cross-sectional health survey conducted in the Rajshahi City.,BMC public health,2014
21475415,New Developments in Traveler's Diarrhea.,Gastroenterology & hepatology,2011
21180583,Management of the returning traveler with diarrhea.,Therapeutic advances in gastroenterology,2009
20683261,Travelers' diarrhea.,Current opinion in infectious diseases,2010
17582576,Therapy for and prevention of traveler's diarrhea.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2007
16526819,Travellers' diarrhoea: contemporary approaches to therapy and prevention.,Drugs,2006
16423310,Travelers' diarrhea: modern concepts and new developments.,Current treatment options in gastroenterology,2006
16265184,Travelers' diarrhea: antimicrobial therapy and chemoprevention.,Nature clinical practice. Gastroenterology & hepatology,2005
