PMID,Title,Journal,Year
40926299,Taiwan consensus on pulmonary chronic graft-versus-host disease: A joint statement from the Taiwan Society of Blood and Marrow Transplantation (TBMT) and Taiwan Society of Pulmonary and Critical Care Medicine (TSPCCM).,British journal of haematology,2025
40298523,In Vitro and In Vivo Antibacterial and Antibiofilm Activity of Zinc Sulfate (ZnSO(4)) and Carvacrol (CV) Alone and in Combination with Antibiotics Against Pseudomonas aeruginosa.,"Antibiotics (Basel, Switzerland)",2025
39408056,Management of Busulfan-Induced Lung Injury in Pediatric Patients with High-Risk Neuroblastoma.,Journal of clinical medicine,2024
39247236,Legionella Pneumophila Presenting as a Rare Cause of Acute Thrombocytopenia: A Case Report and Review of Literature.,European journal of case reports in internal medicine,2024
39122310,"A 62-Year-Old Woman With Cough, Dyspnea, and Diffuse Lung Nodules.",Chest,2024
38956567,Sequential development of diffuse panbronchiolitis and myasthenia gravis after thymectomy for thymic neoplasm: a case report.,BMC pulmonary medicine,2024
38679042,"Azithromycin therapy for prevention of chronic lung disease of prematurity (AZTEC): a multicentre, double-blind, randomised, placebo-controlled trial.",The Lancet. Respiratory medicine,2024
38485149,ERS/EBMT clinical practice guidelines on treatment of pulmonary chronic graft-versus-host disease in adults.,The European respiratory journal,2024
38028184,In vitro anticancer effect of azithromycin targeting hypoxic lung cancer cells via the inhibition of mitophagy.,Oncology letters,2024
37667178,Non-tuberculous mycobacteria lung disease due to Mycobacterium chimaera in a 67-year-old man treated with immune checkpoint inhibitors for lung adenocarcinoma: infection due to dysregulated immunity?,BMC infectious diseases,2023
36969016,Immunomodulatory role of azithromycin: Potential applications to radiation-induced lung injury.,Frontiers in oncology,2023
36481659,Chronic Rhinosinusitis in Patients with Primary Immunodeficiency.,International archives of allergy and immunology,2023
36012769,Azithromycin and Ceftriaxone Differentially Activate NLRP3 in LPS Primed Cancer Cells.,International journal of molecular sciences,2022
35755768,Analysis of Microbiological and Clinical Characteristics of Bacterial Infection in Patients with Pulmonary Infection.,Computational intelligence and neuroscience,2022
35574687,Hydroxychloroquine safety in Covid-19 vs non-Covid-19 patients: analysis of differences and potential interactions.,Expert opinion on drug safety,2023
35280316,"Exploration of radiation-induced lung injury, from mechanism to treatment: a narrative review.",Translational lung cancer research,2022
34658235,Antiviral Potential of the Antimicrobial Drug Atovaquone against SARS-CoV-2 and Emerging Variants of Concern.,ACS infectious diseases,2021
34501608,Sex Differences and Predictors of In-Hospital Mortality among Patients with COVID-19: Results from the ANCOHVID Multicentre Study.,International journal of environmental research and public health,2021
34408804,Diffuse panbronchiolitis as parathymic syndrome in a Caucasian man previously treated for thymoma.,Radiology case reports,2021
34126278,Relevance of Plasma Matrix Metalloproteinase-9 for Bronchiolitis Obliterans Syndrome after Allogeneic Hematopoietic Cell Transplantation.,Transplantation and cellular therapy,2021
