PMID,Title,Journal,Year
40736492,Top 20 Research Studies of 2024 for Primary Care Physicians.,American family physician,2025
40599143,Control of type 2 diabetes in patients with cancer and chronic pro-inflammatory cytokines during the COVID-19 pandemic.,Journal of medicine and life,2025
39764448,Cell-free supernatant of Levilactobacillus brevis (RAMULAB51) from coconut inflorescence sap (Neera) enhances glucose uptake and PPAR-gamma in 3T3-L1 adipocytes and inhibits alpha-glucosidase and alpha-amylase.,Frontiers in microbiology,2024
39229981,Efficacy of Adjunctive Local Antimicrobials to Non-Surgical Periodontal Therapy in Pocket Reduction and Glycemic Control of Patients with Type 2 Diabetes: A Network Meta-Analysis.,Current diabetes reviews,2025
38533160,Comparative Study of Azithromycin Versus Doxycycline Effect on the Resistin Level in Periodontitis Patients With Type 2 Diabetes: A Randomized Controlled Clinical Trial.,Cureus,2024
37871992,Human babesiosis.,"Epidemiologie, mikrobiologie, imunologie : casopis Spolecnosti pro epidemiologii a mikrobiologii Ceske lekarske spolecnosti J.E. Purkyne",2023
36698725,Diagnosis and Treatment of Water-Contaminated Severe Legionella Pneumonia with Digestive Symptoms as the First Symptom: A Case Report and Review of the Literature.,Infection and drug resistance,2023
35235613,Mortality and associated risk factors in patients hospitalized due to COVID-19 in a Peruvian reference hospital.,PloS one,2022
34514994,Analysis between Linagliptin and Azithromycin: In vitro and In vivo Interaction Study.,Drug metabolism letters,2021
34246383,Dyspnea in a 57-Year-Old Man With Recent Viral Illness.,Chest,2021
34189033,Balamuthia mandrillaris encephalitis in an uncontrolled diabetic patient.,IDCases,2021
33315348,Factors affecting mortality in geriatric patients hospitalized with COVID-19.,Turkish journal of medical sciences,2021
33137493,Risk of hospitalization for Covid-19 outpatients treated with various drug regimens in Brazil: Comparative analysis.,Travel medicine and infectious disease,2020
32731059,Description of 3 patients with myasthenia gravis and COVID-19.,Journal of the neurological sciences,2020
32518902,Coronavirus disease 2019 in pregnancy: early lessons.,American journal of obstetrics & gynecology MFM,2020
31890415,Fatal Anaphylaxis to Contrast a Reality: A Case Report.,Cureus,2019
31279380,A 37-Year-Old Man With Pleuritic Chest Pain.,Chest,2019
30526987,A 57-Year-Old Man With Subacute Progressive Hemoptysis and Fevers.,Chest,2018
24913532,Understanding the effects of periodontal therapy plus azithromycin on glycemic control in patients with diabetes remains elusive.,The journal of evidence-based dental practice,2014
23441920,Effects of periodontal non-surgical therapy plus azithromycin on glycemic control in patients with diabetes: a randomized clinical trial.,Journal of periodontal research,2013
