PMID,Title,Journal,Year
39945336,Real-world prevalence of potential drug-drug interactions associated with oral advanced therapies indicated for ulcerative colitis.,Current medical research and opinion,2025
38290040,ONSET OF NONSPECIFIC ULCERATIVE COLITIS POST COVID-19 (CASE STUDY).,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",2023
37392571,High throughput screening identifies auranofin and pentamidine as potent compounds that lower IFN-gamma-induced Nitric Oxide and inflammatory responses in mice: DSS-induced colitis and Salmonella Typhimurium-induced sepsis.,International immunopharmacology,2023
37327586,The immunomodulatory effects of probiotics and azithromycin in dextran sodium sulfate-induced ulcerative colitis in rats via TLR4-NF-kappaB and p38-MAPK pathway.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2023
34381526,"[Chronic inflammatory bowel diseases: what happens when SARS-CoV-2 occurs? Preliminary results from a study conducted at the Hassan II University Teaching Hospital in Fes, Morocco (a case report)].",The Pan African medical journal,2021
32493475,A randomized multicenter clinical trial to evaluate the efficacy of melatonin in the prophylaxis of SARS-CoV-2 infection in high-risk contacts (MeCOVID Trial): A structured summary of a study protocol for a randomised controlled trial.,Trials,2020
29880626,Campylobacter jejuni and Pseudomonas coinfection in the setting of ulcerative colitis.,BMJ case reports,2018
29722812,Antibiotics in IBD: Still a Role in the Biological Era?,Inflammatory bowel diseases,2018
28868472,Tracheitis - A Rare Extra-Intestinal Manifestation of Ulcerative Colitis in Children.,GE Portuguese journal of gastroenterology,2016
22824099,Suppurative granulomatous inflammation in the ileo-anal pouch.,Journal of Crohn's & colitis,2013
15885263,Azithromycin and erythromycin ameliorate the extent of colonic damage induced by acetic acid in rats.,Toxicology and applied pharmacology,2005
