pmid,title,journal,year,drug,disease
40919479,Baricitinib Combination Therapy Demonstrates Significant Improvement in Cardiac Conduction Defects in Rapidly Progressive Systemic Sclerosis: A Case Report.,Open access rheumatology : research and reviews,2025,Baricitinib,Heart Failure
40575645,COVID-19 management in patients with comorbid conditions.,World journal of virology,2025,Baricitinib,Heart Failure
40411822,"Macrophage polarization, inflammatory monocytes, and impaired MDSCs are associated with murine and human immune aplastic anemia.",Journal of leukocyte biology,2025,Baricitinib,Heart Failure
38542060,Recent Advances in the Management of Diabetic Kidney Disease: Slowing Progression.,International journal of molecular sciences,2024,Baricitinib,Heart Failure
37781388,Baricitinib protects mice from sepsis-induced cardiac dysfunction and multiple-organ failure.,Frontiers in immunology,2023,Baricitinib,Heart Failure
37744381,Baricitinib with cyclosporine eliminates acute graft rejection in fully mismatched skin and heart transplant models.,Frontiers in immunology,2023,Baricitinib,Heart Failure
37448334,Out-of-Hospital Cardiac Arrest in Individuals With Human Immunodeficiency Virus: A Nationwide Population-Based Cohort Study.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2023,Baricitinib,Heart Failure
37042600,NEUROPROTECTIVE AND ANTIOXIDANT POTENTIAL OF MONTELUKAST-ACETYLCYSTEINE COMBINATION THERAPY FOR BRAIN PROTECTION IN PATIENTS WITH COVID-19 INDUCED PNEUMONIA.,Georgian medical news,2023,Baricitinib,Heart Failure
36851998,Risk of Underlying Diseases and Effectiveness of Drugs on COVID-19 Inpatients Assessed Using Medical Claims in Japan: Retrospective Observational Study.,International journal of general medicine,2023,Baricitinib,Heart Failure
36086986,Acute femoral artery occlusion in a male with Duhring disease and COVID-19 pneumonia treated with baricitinib.,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,2022,Baricitinib,Heart Failure
34250455,Intracerebral bleeding after Janus-kinase inhibitor baricitinib for COVID-19.,Brain hemorrhages,2021,Baricitinib,Heart Failure
33546739,A Phase I/II Clinical Trial to evaluate the efficacy of baricitinib to prevent respiratory insufficiency progression in onco-hematological patients affected with COVID19: A structured summary of a study protocol for a randomised controlled trial.,Trials,2021,Baricitinib,Heart Failure
30663869,Cardiovascular Safety During Treatment With Baricitinib in Rheumatoid Arthritis.,"Arthritis & rheumatology (Hoboken, N.J.)",2019,Baricitinib,Heart Failure
