pmid,title,journal,year,drug,disease
40434456,JAK-STAT inhibitors in noninfectious uveitis - A review.,Indian journal of ophthalmology,2025,Baricitinib,Inflammatory Bowel Disease
38971433,Exploring the interactions of JAK inhibitor and S1P receptor modulator drugs with the human gut microbiome: Implications for colonic drug delivery and inflammatory bowel disease.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2024,Baricitinib,Inflammatory Bowel Disease
38854342,FDA-Approved Janus Kinase-Signal Transducer and Activator of Transcription (JAK-STAT) Inhibitors for Managing Rheumatoid Arthritis: A Narrative Review of the Literature.,Cureus,2024,Baricitinib,Inflammatory Bowel Disease
38227095,Baricitinib relieves DSS-induced ulcerative colitis in mice by suppressing the NF-kappaB and JAK2/STAT3 signalling pathways.,Inflammopharmacology,2024,Baricitinib,Inflammatory Bowel Disease
38102678,Genetic and observational associations of lung function with gastrointestinal tract diseases: pleiotropic and mendelian randomization analysis.,Respiratory research,2023,Baricitinib,Inflammatory Bowel Disease
38051858,Off-Label Use of Janus Kinase Inhibitors in Inflammatory Cutaneous Diseases.,Journal of drugs in dermatology : JDD,2023,Baricitinib,Inflammatory Bowel Disease
38018382,Evaluating the safety and efficacy of baricitinib for the treatment of moderate-to-severe atopic dermatitis.,Expert opinion on pharmacotherapy,2023,Baricitinib,Inflammatory Bowel Disease
37614317,Risk of herpes zoster associated with JAK inhibitors in immune-mediated inflammatory diseases: a systematic review and network meta-analysis.,Frontiers in pharmacology,2023,Baricitinib,Inflammatory Bowel Disease
37410552,Major adverse cardiovascular events in patients with atopic dermatitis treated with oral Janus kinase inhibitors: a systematic review and meta-analysis.,The British journal of dermatology,2023,Baricitinib,Inflammatory Bowel Disease
37333515,A Case of Paradoxical Reactions to Biologic Therapy for Psoriasis.,"Clinical, cosmetic and investigational dermatology",2023,Baricitinib,Inflammatory Bowel Disease
37304255,Clinical experience and safety of Janus kinase inhibitors in giant cell arteritis: a retrospective case series from Sweden.,Frontiers in immunology,2023,Baricitinib,Inflammatory Bowel Disease
37247942,JAK inhibitors and the risk of malignancy: a meta-analysis across disease indications.,Annals of the rheumatic diseases,2023,Baricitinib,Inflammatory Bowel Disease
36635577,"Herpes zoster in patients with inflammatory arthritides or ulcerative colitis treated with tofacitinib, baricitinib or upadacitinib: a systematic review of clinical trials and real-world studies.",Rheumatology international,2023,Baricitinib,Inflammatory Bowel Disease
36268520,Management of Axial Spondyloarthritis - Insights into Upadacitinib.,"Drug design, development and therapy",2022,Baricitinib,Inflammatory Bowel Disease
36264400,Cardiovascular risks associated with Janus kinase inhibitors: peering outside the black box.,Clinical rheumatology,2023,Baricitinib,Inflammatory Bowel Disease
35069994,Gastrointestinal and hepatic side effects of potential treatment for COVID-19 and vaccination in patients with chronic liver diseases.,World journal of hepatology,2021,Baricitinib,Inflammatory Bowel Disease
34475227,The effect of immunosuppressants on the prognosis of SARS-CoV-2 infection.,The European respiratory journal,2022,Baricitinib,Inflammatory Bowel Disease
34304247,Baricitinib prevents GvHD by increasing Tregs via JAK3 and treats established GvHD by promoting intestinal tissue repair via EGFR.,Leukemia,2022,Baricitinib,Inflammatory Bowel Disease
34275303,[Targeted and biological drugs in the treatment of inflammatory rheumatic diseases].,Vnitrni lekarstvi,2021,Baricitinib,Inflammatory Bowel Disease
33640999,COVID-19 illness and autoimmune diseases: recent insights.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2021,Baricitinib,Inflammatory Bowel Disease
33403021,Shared development of targeted therapies among autoimmune and inflammatory diseases: a systematic repurposing analysis.,Therapeutic advances in musculoskeletal disease,2020,Baricitinib,Inflammatory Bowel Disease
33240390,"Emerging systemic JAK inhibitors in the treatment of atopic dermatitis: a review of abrocitinib, baricitinib, and upadacitinib.",Drugs in context,2020,Baricitinib,Inflammatory Bowel Disease
33174384,Venous Thromboembolism Risk With JAK Inhibitors: A Meta-Analysis.,"Arthritis & rheumatology (Hoboken, N.J.)",2021,Baricitinib,Inflammatory Bowel Disease
33158881,Points to consider for the treatment of immune-mediated inflammatory diseases with Janus kinase inhibitors: a consensus statement.,Annals of the rheumatic diseases,2021,Baricitinib,Inflammatory Bowel Disease
32949157,Safety of nontumor necrosis factor-targeted biologics in the COVID-19 pandemic.,Journal of medical virology,2021,Baricitinib,Inflammatory Bowel Disease
32903555,Immunomodulatory Drugs in the Management of SARS-CoV-2.,Frontiers in immunology,2020,Baricitinib,Inflammatory Bowel Disease
32676568,Therapeutic targeting of JAKs: from hematology to rheumatology and from the first to the second generation of JAK inhibitors.,Mediterranean journal of rheumatology,2020,Baricitinib,Inflammatory Bowel Disease
32278797,The use of Janus kinase inhibitors in the time of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).,Journal of the American Academy of Dermatology,2020,Baricitinib,Inflammatory Bowel Disease
31926171,Safety of Janus Kinase Inhibitors in Patients With Inflammatory Bowel Diseases or Other Immune-mediated Diseases: A Systematic Review and Meta-Analysis.,Gastroenterology,2020,Baricitinib,Inflammatory Bowel Disease
31699450,[JAK inhibitors: Perspectives in internal medicine].,La Revue de medecine interne,2019,Baricitinib,Inflammatory Bowel Disease
30959214,Systemic rheumatic diseases: From biological agents to small molecules.,Autoimmunity reviews,2019,Baricitinib,Inflammatory Bowel Disease
30527218,JAK-STAT inhibitors for the treatment of immunomediated diseases.,Medicina clinica,2019,Baricitinib,Inflammatory Bowel Disease
