pmid,title,journal,year,drug,disease
40888388,Biologics and Small-Molecule Therapies in Netherton Syndrome: A Comprehensive Review.,The Journal of dermatology,2025,Baricitinib,Psoriasis
40861474,Clinical features and therapeutic challenges of psoriatic arthritis coexisting with antisynthetase syndrome: a case report and literature review.,Frontiers in immunology,2025,Baricitinib,Psoriasis
40791758,Two pediatric cases of alopecia universalis with concomitant atopic dermatitis successfully treated with baricitinib.,JAAD case reports,2025,Baricitinib,Psoriasis
40592184,Small molecular inhibitors targeting Janus kinases (JAKs) for the treatment of psoriasis.,European journal of medicinal chemistry,2025,Baricitinib,Psoriasis
40541282,New and Emerging Pharmacotherapies for Pruritus: A Systematic Review and Network Meta-Analysis.,"Dermatitis : contact, atopic, occupational, drug",2025,Baricitinib,Psoriasis
40252783,Properties of FDA-approved small molecule protein kinase inhibitors: A 2025 update.,Pharmacological research,2025,Baricitinib,Psoriasis
40192965,Baseline Characteristics and Treatment Patterns of Patients with Atopic Dermatitis Treated with Oral Systemic Therapies: An Interim Analysis of the AD-REAL Study.,Advances in therapy,2025,Baricitinib,Psoriasis
40176112,Tofacitinib treatment for psoriatic skin lesions associated with Aicardi-Goutieres syndrome 7/Singleton-Merten syndrome 1.,Orphanet journal of rare diseases,2025,Baricitinib,Psoriasis
40042725,"Emerging treatments for dermatologic diseases in infants, children, and adolescents: a systematic review of clinical trials on biologics and small molecule inhibitors.",Inflammopharmacology,2025,Baricitinib,Psoriasis
39895048,Pregnancy Outcomes of Targeted Synthetic Disease-Modifying Antirheumatic Drugs Among Patients With Autoimmune Diseases: A Scoping Review.,Arthritis care & research,2025,Baricitinib,Psoriasis
39878832,Baricitinib Provides Significant Improvements in Quality of Life and Functioning in Adults with Moderate-to-Severe Atopic Dermatitis with Baseline Body Surface Area </= 40% and Severe Itch.,Dermatology and therapy,2025,Baricitinib,Psoriasis
39715989,Characterisation and Profiling of Standard Atopic Dermatitis Therapies in a Chronic Dermatitis Murine Model Induced by Oxazolone.,Experimental dermatology,2024,Baricitinib,Psoriasis
39458616,Lipid-Based Formulation of Baricitinib for the Topical Treatment of Psoriasis.,Pharmaceutics,2024,Baricitinib,Psoriasis
