pmid,title,journal,year,drug,disease
40915298,Serum biomarkers associated with baricitinib response in patients with juvenile idiopathic arthritis: a post-hoc analysis of the phase 3 JUVE-BASIS trial.,The Lancet. Rheumatology,2025,Baricitinib,Rheumatoid Arthritis
40815800,Clinical Characteristics and 1-Year Response in Rheumatic Mexican Patients Using JAK Inhibitors: Data From BIOBADAMEX.,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,2025,Baricitinib,Rheumatoid Arthritis
40794751,Non-negligible risk of HBV reactivation among rheumatoid arthritis patients receiving JAK inhibitors: bridging the evidence gap.,"Rheumatology (Oxford, England)",2025,Baricitinib,Rheumatoid Arthritis
40735451,Isolated splenic tuberculosis in a patient with rheumatoid arthritis.,IDCases,2025,Baricitinib,Rheumatoid Arthritis
40694134,Bone Mineral Density During Treatment with The Janus Kinase Inhibitor Baricitinib in Patients with Rheumatoid Arthritis: A Monocentric Observational Study.,Calcified tissue international,2025,Baricitinib,Rheumatoid Arthritis
40640953,Roles of JAK-STAT signaling and granulocyte-macrophage colony-stimulating factor in the development of osteitis and bone microstructure changes in rheumatoid arthritis.,Arthritis research & therapy,2025,Baricitinib,Rheumatoid Arthritis
40622673,Patient Profile and Outcomes Among Patients with Rheumatoid Arthritis Treated with Baricitinib Versus Other Therapies in Spain: The RA-BE-REAL Study.,Rheumatology and therapy,2025,Baricitinib,Rheumatoid Arthritis
40571478,Comparative risk of incident malignancies in rheumatoid arthritis patients treated with Janus kinase inhibitors or bDMARDs: observational data from the German RABBIT register.,Annals of the rheumatic diseases,2025,Baricitinib,Rheumatoid Arthritis
40522928,JAK inhibitor withdrawal causes a transient pro-inflammatory cascade: A potential mechanism for major adverse cardiac events.,PloS one,2025,Baricitinib,Rheumatoid Arthritis
40507968,Changes in NK Cells and Exhausted Th Cell Phenotype in RA Patients Treated with Janus Kinase Inhibitors: Implications for Adverse Effects.,International journal of molecular sciences,2025,Baricitinib,Rheumatoid Arthritis
40493905,Baricitinib in rheumatoid arthritis-interstitial lung disease: national multicenter study of 72 patients and literature review.,"Rheumatology (Oxford, England)",2025,Baricitinib,Rheumatoid Arthritis
40493525,Applying Bias Correction Methods to Build Hybrid Controls Using Real-World Patients for a Phase IIb Randomized Controlled Trial of Baricitinib for Rheumatoid Arthritis.,Pharmaceutical statistics,2025,Baricitinib,Rheumatoid Arthritis
40459241,Recommendations for the treatment of juvenile idiopathic arthritis with oligoarthritis or polyarthritis from the 2024 update of the Japan College of Rheumatology Clinical Practice Guidelines for the management of rheumatoid arthritis including juvenile idiopathic arthritis with oligoarthritis or polyarthritis - secondary publication.,Modern rheumatology,2025,Baricitinib,Rheumatoid Arthritis
40441588,JAK1/JAK2 inhibitor baricitinib ameliorates sepsis-induced acute kidney injury in rats.,European journal of pharmacology,2025,Baricitinib,Rheumatoid Arthritis
