pmid,title,journal,year,drug,disease
40931063,Loss-of-function mutations in PLD4 lead to systemic lupus erythematosus.,Nature,2025,Baricitinib,Systemic Lupus Erythematosus
40603629,CAR T cell therapy for children with rheumatic disease: the time is now.,Nature reviews. Rheumatology,2025,Baricitinib,Systemic Lupus Erythematosus
40328613,Janus kinase inhibitors enhance prostanoid biosynthesis in human whole blood in vitro: implications for cardiovascular side effects and prevention strategies.,Annals of the rheumatic diseases,2025,Baricitinib,Systemic Lupus Erythematosus
40305472,Clinical outcomes of baricitinib in patients with systemic lupus erythematosus: Pooled analysis of SLE-BRAVE-I and SLE-BRAVE-II trials.,PloS one,2025,Baricitinib,Systemic Lupus Erythematosus
40256995,Recommendations for the Use of Disease-Modifying Antirheumatic Drugs in Pregnancy and Reproductive Health for Patients With Rheumatic Disease: A Scoping Review.,Arthritis care & research,2025,Baricitinib,Systemic Lupus Erythematosus
39893632,"Efficacy, safety and tolerability of drugs for alopecia: a comprehensive review.",Expert opinion on drug metabolism & toxicology,2025,Baricitinib,Systemic Lupus Erythematosus
39666590,Alopecia Areata Following the Use of Belimumab in a Patient with Systemic Lupus Erythematosus and Arthritis Who Responded Well to Baricitinib: A Case Report.,The American journal of case reports,2024,Baricitinib,Systemic Lupus Erythematosus
39560632,A rare case of late-onset spondyloenchondrodysplasia with immune dysregulation presenting as adult-onset monogenic lupus.,Lupus,2025,Baricitinib,Systemic Lupus Erythematosus
39525758,The safety and efficacy of Baricitinib for systemic lupus erythematosus: a systematic review and meta-analysis of randomized controlled trials.,Annals of medicine and surgery (2012),2024,Baricitinib,Systemic Lupus Erythematosus
39383302,JAK inhibitors in systemic lupus erythematosus: Translating pathogenesis into therapy.,Lupus,2024,Baricitinib,Systemic Lupus Erythematosus
39118746,Baricitinib in the treatment of systemic lupus erythematosus: a systematic review of randomized controlled trials.,Annals of medicine and surgery (2012),2024,Baricitinib,Systemic Lupus Erythematosus
38918174,"CS12192, a novel JAK3/JAK1/TBK1 inhibitor, attenuates autoimmune dermatoses in murine models.",Immunopharmacology and immunotoxicology,2024,Baricitinib,Systemic Lupus Erythematosus
38756931,JAK Inhibition as a Potential Treatment Target in Systemic Lupus Erythematosus.,Mediterranean journal of rheumatology,2024,Baricitinib,Systemic Lupus Erythematosus
38730460,Efficacy and safety study of targeted small-molecule drugs in the treatment of systemic lupus erythematosus.,Arthritis research & therapy,2024,Baricitinib,Systemic Lupus Erythematosus
38375760,Outlook of the jakinibs in systemic lupus erythematous after baricitinib failed.,International journal of rheumatic diseases,2024,Baricitinib,Systemic Lupus Erythematosus
38299618,Emerging biologic therapies for systemic lupus erythematosus.,Current opinion in rheumatology,2024,Baricitinib,Systemic Lupus Erythematosus
38124732,Novel heterozygous TREX1 mutation in a juvenile systemic lupus erythematosus patient with severe cutaneous involvement treated successfully with Jak-inhibitors: a case report.,Frontiers in immunology,2023,Baricitinib,Systemic Lupus Erythematosus
