pmid,title,journal,year,drug,disease
31299315,"Dopamine outside the brain: The eye, cardiovascular system and endocrine pancreas.",Pharmacology & therapeutics,2019,Bromocriptine,Glaucoma
8795777,Effect of oral bromocriptine on intraocular pressure.,Journal of glaucoma,1996,Bromocriptine,Glaucoma
8753140,Effects of dopamine antagonists and agonist on cultured human Tenon's fibroblast cells.,The Kaohsiung journal of medical sciences,1996,Bromocriptine,Glaucoma
9112164,The determination of additive effect and intraocular pressure lowering effects of 0.05% bromocriptine and 0.25% timolol.,International ophthalmology,1996-1997,Bromocriptine,Glaucoma
19920704,Effect of oral bromocriptine administration on intraocular pressure in normotensive and glaucomatous human subjects.,Journal of glaucoma,1995,Bromocriptine,Glaucoma
1428569,"The effects of dopamine, haloperidol and bromocriptine on intraocular pressure.",International ophthalmology,1992,Bromocriptine,Glaucoma
1358853,"Dopamine, dopaminergic drugs and ocular hypertension.",International ophthalmology,1992,Bromocriptine,Glaucoma
3503918,Hypotensive effect of bromocriptine in glaucomatous eyes.,Journal of ocular pharmacology,1987,Bromocriptine,Glaucoma
3543911,"Bromocriptine, dopamine and glaucoma.",Postgraduate medical journal,1986,Bromocriptine,Glaucoma
3916848,A synopsis of recent developments in antiglaucoma drugs.,Journal of ocular pharmacology,1985,Bromocriptine,Glaucoma
6151812,Drug treatment of glaucoma.,American journal of optometry and physiological optics,1984,Bromocriptine,Glaucoma
6146800,Bromocriptine in glaucoma.,"Lancet (London, England)",1984,Bromocriptine,Glaucoma
