PMID,Title,Journal,Year
40898408,Real-world observations of GLP-1 receptor agonists and SGLT-2 inhibitors as potential treatments for Alzheimer's disease.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2025
40661442,Canagliflozin reprograms the aging hippocampus in genetically diverse UM-HET3 mice and attenuates Alzheimer's-like pathology.,bioRxiv : the preprint server for biology,2025
39985130,"Kinetic Steering of Amyloid Formation and Polymorphism by Canagliflozin, a Type-2 Diabetes Drug.",Journal of the American Chemical Society,2025
39596990,"Repositioning Canagliflozin for Mitigation of Aluminium Chloride-Induced Alzheimer's Disease: Involvement of TXNIP/NLRP3 Inflammasome Axis, Mitochondrial Dysfunction, and SIRT1/HMGB1 Signalling.","Medicina (Kaunas, Lithuania)",2024
39073453,Canagliflozin Mitigated Cognitive Impairment in Streptozotocin-Induced Sporadic Alzheimer's Disease in Mice: Role of AMPK/SIRT-1 Signaling Pathway in Modulating Neuroinflammation.,Journal of neuroimmune pharmacology : the official journal of the Society on NeuroImmune Pharmacology,2024
38004485,"Preclinical Studies of Canagliflozin, a Sodium-Glucose Co-Transporter 2 Inhibitor, and Donepezil Combined Therapy in Alzheimer's Disease.","Pharmaceuticals (Basel, Switzerland)",2023
36508692,Association of Sodium-Glucose Cotransporter 2 Inhibitors With Time to Dementia: A Population-Based Cohort Study.,Diabetes care,2023
36364000,Repurposing SGLT2 Inhibitors for Neurological Disorders: A Focus on the Autism Spectrum Disorder.,"Molecules (Basel, Switzerland)",2022
33187206,Perspective of SGLT2 Inhibition in Treatment of Conditions Connected to Neuronal Loss: Focus on Alzheimer's Disease and Ischemia-Related Brain Injury.,"Pharmaceuticals (Basel, Switzerland)",2020
24059302,Invokana (Canagliflozin) as a dual inhibitor of acetylcholinesterase and sodium glucose co-transporter 2: advancement in Alzheimer's disease- diabetes type 2 linkage via an enzoinformatics study.,CNS & neurological disorders drug targets,2014
