PMID,Title,Journal,Year
40918816,Association Between Sodium-Glucose Cotransporter-2 (SGLT2) Inhibitor Use and All-Cause Mortality in Patients With Pulmonary Arterial Hypertension.,Cureus,2025
40848868,Sodium-glucose cotransporter 2 inhibition restores testicular microvascular perfusion via endothelial signaling in a large animal model of metabolic syndrome and heart failure.,Vascular pharmacology,2025
40840617,"Heart saver: Comprehensive investigation of (redox-) proteomic and thiol metabolite changes induced by Cana-, Dapa-, Empagliflozin treatment in 2D and 3D heart cell models reveals increased mitochondrial activity and glutathione redox defense and involvement of redox signaling.",Life sciences,2025
40785031,Canagliflozin Ameliorates Myocardial Fibrosis and Cardiac Function in Chronic Heart Failure: A Dose-Independent Therapeutic Approach.,Journal of cellular and molecular medicine,2025
40757230,The Role of SGLT2 Inhibitors in Atherosclerosis: A Systematic Review.,Journal of community hospital internal medicine perspectives,2025
40693064,Sodium-Glucose Cotransporter 2 (SGLT2) Inhibitors in Heart Failure With Preserved Ejection Fraction: A Systematic Review.,Cureus,2025
40689549,Impact of canagliflozin on heart stress and outcomes: Pooled insights from CREDENCE and CANVAS.,European journal of heart failure,2025
40683440,Sodium-glucose Cotransporter-2 Canagliflozin's impact on cardiovascular disease in the setting of metabolic syndrome: A proteomic analysis.,European journal of pharmacology,2025
40605641,"Canagliflozin, a sodium-glucose cotransporter-2 inhibitor, reduces lung fibrosis in left heart dysfunction.",Asian cardiovascular & thoracic annals,2025
40556828,"Evaluation of three mechanisms of action (SGLT2 inhibitors, GLP-1 receptor agonists, and sulfonylureas) in treating type 2 diabetes with heart failure: a systematic review and network meta-analysis of RCTs.",Frontiers in endocrinology,2025
40519421,Efficacy of Sodium-Glucose Cotransporter 2 (SGLT2) Inhibitors in Heart Failure With Preserved Ejection Fraction: A Systematic Review.,Cureus,2025
40495570,The use of SGLT2 inhibitors in people with diabetes-related foot disease: A Delphi-based consensus study.,"Diabetes, obesity & metabolism",2025
40454499,Evaluating the Impact of SGLT-2 Inhibitors on Frailty in Older Adults: A Clinical Review.,Current drug safety,2025
40429921,"SGLT2 Inhibitors in Cancer Patients: A Comprehensive Review of Clinical, Biochemical, and Therapeutic Implications in Cardio-Oncology.",International journal of molecular sciences,2025
40411658,The Role of Diabetes and SGLT2 Inhibitors in Cerebrovascular Diseases.,Current neurology and neuroscience reports,2025
40330399,Heart Failure Treatment in Underserved Populations: A Comprehensive Analysis of Sacubitril/Valsartan and Sodium-Glucose Transporter 2 Inhibitor (SGLT2i) Prescription Trends at a Safety Net Hospital.,Cureus,2025
40324721,Comparative efficacy and safety of SGLT2 inhibitor class members in patients with heart failure and type 2 diabetes: A systematic review and network meta-analysis of randomized controlled trials.,Diabetes research and clinical practice,2025
40257184,The SGLT2 inhibitor canagliflozin attenuates mitochondrial oxidative stress and alterations of calcium handling induced by high glucose in human cardiac fibroblasts.,"Cell cycle (Georgetown, Tex.)",2024
40240174,"Sodium-glucose co-transporter 2 inhibitors: Prospects for canine myxomatous mitral valve disease and finding the ""right drug"" and the ""right dose"" for dogs.",The Journal of veterinary medical science,2025
40184701,Immediate and short-term outcomes of in-hospital canagliflozin initiation in acute heart failure: Results from the CANA-AHF randomized clinical trial.,Heart & lung : the journal of critical care,2025
