PMID,Title,Journal,Year
40918816,Association Between Sodium-Glucose Cotransporter-2 (SGLT2) Inhibitor Use and All-Cause Mortality in Patients With Pulmonary Arterial Hypertension.,Cureus,2025
40873358,Exploring the Therapeutic Potential of SGLT-2 Inhibitors in Managing Metabolic Syndrome: A Narrative Review.,Current drug research reviews,2025
40796808,"Canagliflozin ameliorates high-salt-induced renal injury and premature aging in male Dahl salt-sensitive rats, with associated changes in SIRT6/HIF-1alpha signaling.",Renal failure,2025
40689549,Impact of canagliflozin on heart stress and outcomes: Pooled insights from CREDENCE and CANVAS.,European journal of heart failure,2025
40605641,"Canagliflozin, a sodium-glucose cotransporter-2 inhibitor, reduces lung fibrosis in left heart dysfunction.",Asian cardiovascular & thoracic annals,2025
40455355,Canagliflozin improves high-salt-induced aortic arteriosclerosis and premature aging in dahl salt-sensitive rats through the SIRT6/HIF-1 alpha signaling pathway.,Molecular and cellular biochemistry,2025
40239057,Canagliflozin may increase thromboembolic events in males with erythrocytosis but not in females.,Blood advances,2025
40223360,Canagliflozin-induced renal glutathione distribution mapping in non-diabetic male rat kidneys.,Physiological reports,2025
40151631,Canagliflozin ameliorates ferritinophagy in HFpEF rats.,Journal of geriatric cardiology : JGC,2025
39835569,Metabolomic Analysis of the Effects of Canagliflozin on HFpEF Rats and Its Underlying Mechanism.,"Endocrine, metabolic & immune disorders drug targets",2025
39730014,Drug Interaction of SGLT2Is and ARNI on Acute Kidney Injury: A Real-World Pharmacovigilance Analysis Through the FAERS.,Journal of cardiovascular pharmacology,2025
39719583,"Evaluation and comparison of efficacy and safety of tirzepatide, liraglutide and SGLT2i in patients with type 2 diabetes mellitus: a network meta-analysis.",BMC endocrine disorders,2024
39645617,Canagliflozin differentially modulates carfilzomib-induced endoplasmic reticulum stress in multiple myeloma and endothelial cells.,Archives of toxicology,2025
39301712,Cardiovascular phenotypes in type 2 diabetes: Latent class analysis of the CANVAS Program and CREDENCE trial.,"Diabetes, obesity & metabolism",2024
39296270,Empagliflozin Attenuates Pulmonary Arterial Remodeling Through Peroxisome Proliferator-Activated Receptor Gamma Activation.,ACS pharmacology & translational science,2024
39285057,Sodium-glucose cotransporter 2 inhibitors and renal cancer in the US FDA adverse event reporting system.,European journal of clinical pharmacology,2024
39051105,"Evaluating the potential impact of sodium-glucose cotransporter-2 inhibitor ""canagliflozin"" on the hepatic damage triggered by hypertension in rats.",Microscopy research and technique,2024
38744404,Sodium-glucose exchanger 2 inhibitor canagliflozin promotes mitochondrial metabolism and alleviates salt-induced cardiac hypertrophy via preserving SIRT3 expression.,Journal of advanced research,2025
38719955,Canagliflozin alleviates pulmonary hypertension by activating PPARgamma and inhibiting its S225 phosphorylation.,Acta pharmacologica Sinica,2024
38695073,SGLT2 inhibitors: not every drug has the same effect.,American journal of physiology. Renal physiology,2024
