PMID,Title,Journal,Year
40605641,"Canagliflozin, a sodium-glucose cotransporter-2 inhibitor, reduces lung fibrosis in left heart dysfunction.",Asian cardiovascular & thoracic annals,2025
40076513,Sex-Specific Improvements in Myocardial Function and Angiogenesis with SGLT-2 Inhibitor Canagliflozin in a Swine Model of Metabolic Syndrome.,International journal of molecular sciences,2025
39176133,Comparative effects of canagliflozin and sitagliptin in chronically ischemic myocardium.,Vessel plus,2024
39153984,Impact of canagliflozin combined with metformin therapy on reducing cardiovascular risk in type 2 diabetes patients.,Diabetology & metabolic syndrome,2024
38288953,Proteomic Analysis and Sex-Specific Changes in Chronically Ischemic Swine Myocardium Treated with Sodium-Glucose Cotransporter-2 Inhibitor Canagliflozin.,Journal of the American College of Surgeons,2024
38196460,Metformin versus sodium glucose co-transporters inhibitors as first-line for atherosclerotic cardiovascular disease: A meta-analysis.,Pakistan journal of medical sciences,2024
37855338,SGLT-2 Inhibitors: The Next-generation Treatment for Type 2 Diabetes Mellitus.,Current medicinal chemistry,2024
37759444,"Canagliflozin, an Inhibitor of the Na(+)-Coupled D-Glucose Cotransporter, SGLT2, Inhibits Astrocyte Swelling and Brain Swelling in Cerebral Ischemia.",Cells,2023
36915157,"Neutral effects of SGLT2 inhibitors in acute coronary syndromes, peripheral arterial occlusive disease, or ischemic stroke: a meta-analysis of randomized controlled trials.",Cardiovascular diabetology,2023
36583437,"Canagliflozin Improves Myocardial Perfusion, Fibrosis, and Function in a Swine Model of Chronic Myocardial Ischemia.",Journal of the American Heart Association,2023
36364000,Repurposing SGLT2 Inhibitors for Neurological Disorders: A Focus on the Autism Spectrum Disorder.,"Molecules (Basel, Switzerland)",2022
36362772,Mechanistic View on the Effects of SGLT2 Inhibitors on Lipid Metabolism in Diabetic Milieu.,Journal of clinical medicine,2022
35753619,Acute SGLT-2i treatment improves cardiac efficiency during myocardial ischemia independent of Na(+)/H(+) exchanger-1.,International journal of cardiology,2022
35605236,Cardiovascular Outcomes in Patients Initiating First-Line Treatment of Type 2 Diabetes With Sodium-Glucose Cotransporter-2 Inhibitors Versus Metformin : A Cohort Study.,Annals of internal medicine,2022
34950375,Effect of SLGT2 Inhibitors on Patients with Atrial Fibrillation.,Journal of atrial fibrillation,2021
34514812,"Sodium-Glucose Cotransporter 2 Inhibitors, All-Cause Mortality, and Cardiovascular Outcomes in Adults with Type 2 Diabetes: A Bayesian Meta-Analysis and Meta-Regression.",Journal of the American Heart Association,2021
34500107,Sodium-glucose co-transporter2 expression and inflammatory activity in diabetic atherosclerotic plaques: Effects of sodium-glucose co-transporter2 inhibitor treatment.,Molecular metabolism,2021
33874750,Effect of SGLT2 Inhibitors on Stroke and Atrial Fibrillation in Diabetic Kidney Disease: Results From the CREDENCE Trial and Meta-Analysis.,Stroke,2021
33008610,Potential Therapeutic Effects of Sodium Glucose-linked Cotransporter 2 Inhibitors in Stroke.,Clinical therapeutics,2020
32795086,"Dapagliflozin and Cardiac, Kidney, and Limb Outcomes in Patients With and Without Peripheral Artery Disease in DECLARE-TIMI 58.",Circulation,2020
