PMID,Title,Journal,Year
39551333,ECH 1 attenuates atherosclerosis by reducing macrophage infiltration and improving plaque stability through CD36 degradation.,Archives of biochemistry and biophysics,2025
39456159,Dipsacoside B Attenuates Atherosclerosis by Promoting Autophagy to Inhibit Macrophage Lipid Accumulation.,Biomolecules,2024
39357204,Stilbene glycosides alleviate atherosclerosis partly by promoting lipophagy of dendritic cells.,International immunopharmacology,2024
38614041,Geniposide ameliorates atherosclerosis by restoring lipophagy via suppressing PARP1/PI3K/AKT signaling pathway.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2024
38561055,Huanglian Jiedu decoction inhibits vascular smooth muscle cell-derived foam cell formation by activating autophagy via suppressing P2RY12.,Journal of ethnopharmacology,2024
38526033,Huayu Qutan Recipe promotes lipophagy and cholesterol efflux through the mTORC1/TFEB/ABCA1-SCARB1 signal axis.,Journal of cellular and molecular medicine,2024
38056492,Chloroquine Alleviates Atherosclerosis by Modulating Regulatory T Cells Through the ATM/AMPK/mTOR Signaling Pathway in ApoE -/- Mice.,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association",2023
37890595,The environmental enrichment ameliorates chronic cerebral hypoperfusion-induced cognitive impairment by activating autophagy signaling pathway and improving synaptic function in hippocampus.,Brain research bulletin,2023
37061068,San-wei-tan-xiang capsule attenuates atherosclerosis by increasing lysosomal activity in adipose tissue macrophages.,Journal of ethnopharmacology,2023
36143964,Hydroxychloroquine Effects on THP-1 Macrophage Cholesterol Handling: Cell Culture Studies Corresponding to the TARGET Cardiovascular Trial.,"Medicina (Kaunas, Lithuania)",2022
35849246,Supplemental hydroxychloroquine therapy regulates adipokines in patients with systemic lupus erythematosus with stable disease.,Clinical rheumatology,2022
35332823,Hydroxychloroquine increased cholesterol transfer to high-density lipoprotein in systemic lupus erythematosus: A possible mechanism for the reversal of atherosclerosis in the disease.,Lupus,2022
35195807,Effect of autophagy on ferroptosis in foam cells via Nrf2.,Molecular and cellular biochemistry,2022
35090378,Vascular smooth muscle cell-derived hydrogen sulfide promotes atherosclerotic plaque stability via TFEB (transcription factor EB)-mediated autophagy.,Autophagy,2022
34713437,Calycosin ameliorates atherosclerosis by enhancing autophagy via regulating the interaction between KLF2 and MLKL in apolipoprotein E gene-deleted mice.,British journal of pharmacology,2022
33924323,Cardiac Dysfunction in Rheumatoid Arthritis: The Role of Inflammation.,Cells,2021
33886081,Autophagy blockage promotes the pyroptosis of ox-LDL-treated macrophages by modulating the p62/Nrf2/ARE axis.,Journal of physiology and biochemistry,2021
33714957,Gastrodin ameliorates learning and memory impairment in rats with vascular dementia by promoting autophagy flux via inhibition of the Ca(2+)/CaMKII signal pathway.,Aging,2021
33568202,Rosuvastatin exerts anti-atherosclerotic effects by improving macrophage-related foam cell formation and polarization conversion via mediating autophagic activities.,Journal of translational medicine,2021
33378062,Risk factors of COVID-19 mortality: a systematic review of current literature and lessons from recent retracted articles.,European review for medical and pharmacological sciences,2020
