PMID,Title,Journal,Year
40684362,Protein-losing enteropathy as initial presentation of pediatric systemic lupus erythematosus: A rare case report from Vietnam and literature review.,International journal of immunopathology and pharmacology,2025
40269468,Thrombotic Diathesis Combined With Connective Tissue Disease in a Chinese Teenage Male: A Case Report.,International journal of rheumatic diseases,2025
39276162,Incidence and risk of arterial and venous thrombotic events in systemic lupus erythematosus patients: a population-based study.,"Rheumatology (Oxford, England)",2025
38762438,Acute Q fever revealed by an anti-phospholipid syndrome: A case report.,La Revue de medecine interne,2024
37379850,Neuroimaging of COVID-19.,Seminars in neurology,2023
36272841,Emerging Therapies in Antiphospholipid Syndrome.,Transfusion medicine reviews,2022
35851383,Nanomedicine platform for targeting activated neutrophils and neutrophil-platelet complexes using an alpha(1)-antitrypsin-derived peptide motif.,Nature nanotechnology,2022
35051999,Eculizumab for refractory thrombosis in antiphospholipid syndrome.,Blood advances,2022
34757241,Risk of venous thromboembolism associated with methotrexate versus hydroxychloroquine for rheumatoid arthritis: A propensity score-matched cohort study.,Seminars in arthritis and rheumatism,2021
34518508,Late-Onset Systemic Lupus Erythematosus Associated with Autoimmune Hemolytic Anemia and Sixth Cranial Nerve Palsy.,The American journal of case reports,2021
34284674,Ophthalmologic manifestations in patients with antiphospholipid antibodies: Beware of iatrogenic complications.,Lupus,2021
33952624,Cardiovascular complications of systemic lupus erythematosus: impact of risk factors and therapeutic efficacy-a tertiary centre experience in an Appalachian state.,Lupus science & medicine,2021
33681293,Neurological Consequences of SARS-CoV-2 Infection and Concurrence of Treatment-Induced Neuropsychiatric Adverse Events in COVID-19 Patients: Navigating the Uncharted.,Frontiers in molecular biosciences,2021
33548929,COVID-19 and Its Implications for Thrombosis and Anticoagulation.,Seminars in respiratory and critical care medicine,2021
33500211,Can hydroxychloroquine be protective against COVID-19-associated thrombotic events ?,"Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi",2021
33403833,Association of Higher Hydroxychloroquine Blood Levels With Reduced Thrombosis Risk in Systemic Lupus Erythematosus.,"Arthritis & rheumatology (Hoboken, N.J.)",2021
33100166,16th International Congress on Antiphospholipid Antibodies Task Force Report on Antiphospholipid Syndrome Treatment Trends.,Lupus,2020
32554424,Cerebral Venous Thrombosis Associated with COVID-19.,AJNR. American journal of neuroradiology,2020
32540636,A case of COVID-19 infection presenting with a seizure following severe brain edema.,Seizure,2020
32493073,COVID-19 Presented With Deep Vein Thrombosis: An Unusual Presenting.,Journal of investigative medicine high impact case reports,2020
