PMID,Title,Journal,Year
39680032,Evaluation of changes in thickness of macular sublayers in patients using Hydroxychloroquine: a cross sectional case-control study and literature review.,Cutaneous and ocular toxicology,2025
38443544,Systematic hydroxychloroquine retinopathy monitoring programme: cost benefit comparing to a hospital-based system.,"Eye (London, England)",2024
37114215,Ocular microvascular alteration in Sjogren's syndrome treated with hydroxychloroquine: an OCTA clinical study.,Therapeutic advances in chronic disease,2023
36807611,TFEB attenuates hyperglycemia-induced retinal capillary endothelial cells injury via autophagy regulation.,Cell biology international,2023
36569344,Autophagy Modulates the Migration of Retinal Pericytes Induced by Advanced Glycation End Products.,Evidence-based complementary and alternative medicine : eCAM,2022
36185048,Retinal microvasculature alteration in patients with systemic sclerosis and chloroquine treatment.,Quantitative imaging in medicine and surgery,2022
35568277,Rapid Macular Thinning Is an Early Indicator of Hydroxychloroquine Retinal Toxicity.,Ophthalmology,2022
35488567,[Effects of systemic drugs on the development of drug-induced retinopathy].,Vestnik oftalmologii,2022
35040415,Effects of Hydroxychloroquine on Progression of Diabetic Retinopathy in Subjects with Rheumatoid Arthritis and Type 2 Diabetes Mellitus.,Current diabetes reviews,2022
34504609,Autophagy positively regulates Wnt signaling in mice with diabetic retinopathy.,Experimental and therapeutic medicine,2021
34360449,Relationship of Hydroxychloroquine and Ophthalmic Complications in Patients with Type 2 Diabetes in Taiwan.,International journal of environmental research and public health,2021
34339727,Autophagy is required for the promoting effect of angiogenic factor with G patch domain and forkhead-associated domain 1 (AGGF1) in retinal angiogenesis.,Microvascular research,2021
34134549,Implementation of a pilot teleretinal screening protocol for hydroxychloroquine retinopathy in a Los Angeles County safety net clinic.,Journal of telemedicine and telecare,2023
33358892,"Platelet activating factor in the eye: Physiological roles, diseases and future perspectives.",Prostaglandins & other lipid mediators,2021
33129843,Long-Term Progression of Pericentral Hydroxychloroquine Retinopathy.,Ophthalmology,2021
32929180,An objective method of diagnosing hydroxychloroquine maculopathy.,"Eye (London, England)",2021
32610049,Rethinking the Hydroxychloroquine Dosing and Retinopathy Screening Guidelines.,American journal of ophthalmology,2020
30741731,LONGITUDINAL CHANGES IN EYES WITH HYDROXYCHLOROQUINE RETINAL TOXICITY.,"Retina (Philadelphia, Pa.)",2019
29677357,Optical Coherence Tomography Minimum Intensity as an Objective Measure for the Detection of Hydroxychloroquine Toxicity.,Investigative ophthalmology & visual science,2018
28970178,Autophagy-mediated neuroprotection induced by octreotide in an ex vivo model of early diabetic retinopathy.,Pharmacological research,2018
