PMID,Title,Journal,Year
40661080,Chloroquine and hydroxychloroquine-related ocular adverse events in SLE treatment: a real-world disproportionality analysis based on FDA adverse event reporting system (FAERS).,Frontiers in pharmacology,2025
40401245,Metformin Alleviates Fibrosis of Trabecular Meshwork Cells Induced by TGFbeta2 Through the Activation of Autophagy.,Dose-response : a publication of International Hormesis Society,2025
39840156,Acquired Dyschromatopsia and Its Link to Drug Toxicity.,Cureus,2024
39436499,Autophagy activation ameliorates the fibrosis of trabecular meshwork cells induced by TGFbeta2 through the promotion of fibrotic proteins degradation.,Human cell,2024
38752537,DDX58 variant triggers IFN-beta-induced autophagy in trabecular meshwork and influences intraocular pressure.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2024
34284674,Ophthalmologic manifestations in patients with antiphospholipid antibodies: Beware of iatrogenic complications.,Lupus,2021
32932260,Longitudinal Retinal Changes Induced by Hydroxychloroquine in Eyes without Retinal Toxicity.,Ophthalmic research,2021
32913260,Rac1 conditional deletion attenuates retinal ganglion cell apoptosis by accelerating autophagic flux in a mouse model of chronic ocular hypertension.,Cell death & disease,2020
32591182,Therapeutic conflict in patients with COVID-19 and glaucoma.,Medicina clinica,2020
32409243,Recommendations for eye care during the alarm state by the coronavirus disease pandemic COVID-19.,Archivos de la Sociedad Espanola de Oftalmologia,2020
31992127,Ocular involvement in systemic lupus erythematosus patients: a paradigm shift based on the experience of a tertiary referral center.,Lupus,2020
30096011,Ocular Involvement in Systemic Lupus Erythematosus: The Experience of Two Tertiary Referral Centers.,Ocular immunology and inflammation,2018
27137831,[The effect of drugs used in treatment of skin disorders on visual system].,Polski merkuriusz lekarski : organ Polskiego Towarzystwa Lekarskiego,2016
22124590,Ocular changes due to the treatment of juvenile systemic lupus erythematosus.,Revista brasileira de reumatologia,2011
22094300,Humphrey visual field findings in hydroxychloroquine toxicity.,"Eye (London, England)",2011
19766316,Ocular manifestation in treated multibacillary Hansen's disease.,Ophthalmology,2009
18937815,Progressive hydroxychloroquine toxicity mimicking low-tension glaucoma after discontinuation of the drug.,Acta ophthalmologica,2010
17687904,[Ocular changes and general condition in lupus erythematosus (SLE)--own observation].,Klinika oczna,2007
17209665,Ocular adverse effects associated with systemic medications : recognition and management.,Drugs,2007
15905940,[Retinal nerve fiber layer alteration in chronic users of chloroquine].,Arquivos brasileiros de oftalmologia,2005
