PMID,Title,Journal,Year
38215891,5-FU promotes HBV replication through oxidative stress-induced autophagy dysfunction.,Free radical biology & medicine,2024
34190023,CCDC88A/GIV promotes HBV replication and progeny secretion via enhancing endosomal trafficking and blocking autophagic degradation.,Autophagy,2022
34046130,What would be the impact of COVID-19 on liver function of a patient with chronic hepatitis B? About a case and literature review.,The Pan African medical journal,2021
33866937,HBx induces hepatocellular carcinogenesis through ARRB1-mediated autophagy to drive the G(1)/S cycle.,Autophagy,2021
33465003,Autophagy restricts mitochondrial DNA damage-induced release of ENDOG (endonuclease G) to regulate genome stability.,Autophagy,2021
33050924,Home Treatment of Older People with Symptomatic SARS-CoV-2 Infection (COVID-19): A structured Summary of a Study Protocol for a Multi-Arm Multi-Stage (MAMS) Randomized Trial to Evaluate the Efficacy and Tolerability of Several Experimental Treatments to Reduce the Risk of Hospitalisation or Death in outpatients aged 65 years or older (COVERAGE trial).,Trials,2020
32929826,Epidemiological and clinical characteristics of 70 cases of coronavirus disease and concomitant hepatitis B virus infection: A multicentre descriptive study.,Journal of viral hepatitis,2021
32650853,Unusual Case of Granuloma Annulare Associated with Diabetes Mellitus.,Acta dermatovenerologica Croatica : ADC,2020
32282956,Rapid and severe Covid-19 pneumonia with severe acute chest syndrome in a sickle cell patient successfully treated with tocilizumab.,American journal of hematology,2020
31204557,Glucosamine promotes hepatitis B virus replication through its dual effects in suppressing autophagic degradation and inhibiting MTORC1 signaling.,Autophagy,2020
30550853,Cisplatin induces autophagy to enhance hepatitis B virus replication via activation of ROS/JNK and inhibition of the Akt/mTOR pathway.,Free radical biology & medicine,2019
25944689,Addition of rapamycin and hydroxychloroquine to metronomic chemotherapy as a second line treatment results in high salvage rates for refractory metastatic solid tumors: a pilot safety and effectiveness analysis in a small patient cohort.,Oncotarget,2015
25939523,Tumor necrosis factor-alpha antagonist therapy for concomitant rheumatoid arthritis and hepatitis C virus infection: a case series study.,Clinical rheumatology,2015
23872550,Connective tissue disease following hepatitis B vaccination.,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,2013
23700487,RNAi induces innate immunity through multiple cellular signaling pathways.,PloS one,2013
20029164,Disseminated cutaneous lymphoid hyperplasia of 12 years' duration triggered by vaccination.,"Dermatology (Basel, Switzerland)",2010
19188129,[Pediatric management of sickle cell disease: experience at the Charles de Gaulle University Children's Hospital in Ouagadougou (Burkina Faso)].,"Sante (Montrouge, France)",2008
18720935,Porphyria cutanea tarda and liver disease. A retrospective analysis of 17 cases from a single centre and review of the literature.,Acta gastro-enterologica Belgica,2008
17051718,[Assessment of sulfasalazine and hydroxichloroqine hepatotoxicity in patients with rheumatic arthritis and isolated HBS-antigen positivity].,Likars'ka sprava,2004
16157687,Chloroquine enhances human CD8+ T cell responses against soluble antigens in vivo.,The Journal of experimental medicine,2005
