PMID,Title,Journal,Year
40526615,Risk of ischemic stroke associated with anti-rheumatic agents in patients with rheumatoid arthritis: A nationwide population-based case-control study.,PloS one,2025
39904418,Exercise-induced Sesn2 mediates autophagic flux to alleviate neural damage after ischemic stroke in mice.,Experimental neurology,2025
39477448,Karius testing in the identification of Coxiella burnetii infective endocarditis presenting with acute ischaemic stroke.,BMJ case reports,2024
39059754,Antiphospholipid antibodies as potential prognostic indicators of recurrent ischemic stroke.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2024
37572942,URB597 exerts neuroprotective effects against transient brain ischemia injury in mice by regulating autophagic flux and necroptosis.,European journal of pharmacology,2023
37246776,Hydroxychloroquine exposure reduces the risk of cardiovasular disease events in patients with hypertension or diabetes mellitus.,Clinical and experimental rheumatology,2023
36979952,PPARalpha Inhibits Astrocyte Inflammation Activation by Restoring Autophagic Flux after Transient Brain Ischemia.,Biomedicines,2023
36933866,Umbelliferone protects against cerebral ischemic injury through selective autophagy of mitochondria.,Neurochemistry international,2023
36914085,Exercise pretreatment alleviates neuroinflammation and oxidative stress by TFEB-mediated autophagic flux in mice with ischemic stroke.,Experimental neurology,2023
36514959,Progranulin released from microglial lysosomes reduces neuronal ferroptosis after cerebral ischemia in mice.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2023
36263422,Expression pattern and clinical value of Key RNA methylation modification regulators in ischemic stroke.,Frontiers in genetics,2022
36238309,Exploring the risk factors for ischemic cerebrovascular disease in systemic lupus erythematosus: A single-center case-control study.,Frontiers in immunology,2022
35655056,Microglia-induced autophagic death of neurons via IL-6/STAT3/miR-30d signaling following hypoxia/ischemia.,Molecular biology reports,2022
34145052,Assessing the efficacy and safety of hydroxychloroquine as outpatient treatment of COVID-19: a randomized controlled trial.,CMAJ open,2021
34087402,Autophagy is involved in the neuroprotective effect of nicotiflorin.,Journal of ethnopharmacology,2021
33874744,CAPN1 (Calpain1)-Mediated Impairment of Autophagic Flux Contributes to Cerebral Ischemia-Induced Neuronal Damage.,Stroke,2021
33681293,Neurological Consequences of SARS-CoV-2 Infection and Concurrence of Treatment-Induced Neuropsychiatric Adverse Events in COVID-19 Patients: Navigating the Uncharted.,Frontiers in molecular biosciences,2021
33548929,COVID-19 and Its Implications for Thrombosis and Anticoagulation.,Seminars in respiratory and critical care medicine,2021
33321159,Use of hydroxychloroquine and risk of major adverse cardiovascular events in patients with lupus erythematosus: A Danish nationwide cohort study.,Journal of the American Academy of Dermatology,2021
33317392,PARP14 inhibits microglial activation via LPAR5 to promote post-stroke functional recovery.,Autophagy,2021
