PMID,Title,Journal,Year
40701030,Chloroquine treatment ameliorates experimental autoimmune encephalomyelitis by inhibiting T cell differentiation and pDC accumulation.,Cellular immunology,2025
40476257,Chloroquine and hydroxychloroquine: Immunomodulatory effects in autoimmune diseases.,World journal of biological chemistry,2025
38869076,CCDC50 mediates the clearance of protein aggregates to prevent cellular proteotoxicity.,Autophagy,2024
38166607,Hydroxychloroquine as an important immunomodulator: a novel insight into an old drug.,Polish archives of internal medicine,2024
37408029,Mechanisms of metabolic stress induced cell death of human oligodendrocytes: relevance for progressive multiple sclerosis.,Acta neuropathologica communications,2023
37131098,"Neurobehavioral, biochemical and histological assessment of the effects of resveratrol on cuprizone-induced demyelination in mice: role of autophagy modulation.",Journal of physiology and biochemistry,2023
37101279,Subacute cutaneous lupus erythematosus as a rare complication of disease-modifying therapy administration in multiple sclerosis: case report.,BMC neurology,2023
36216988,Autophagy (but not metabolism) is a key event in mitoxantrone-induced cytotoxicity in differentiated AC16 cardiac cells.,Archives of toxicology,2023
36214614,Serum neurofilament-light and glial fibrillary acidic protein levels in hydroxychloroquine-treated primary progressive multiple sclerosis.,European journal of neurology,2023
35452849,Infectious agents breaking the immunological tolerance: The holy grail in rheumatoid arthritis reconsidered.,Autoimmunity reviews,2022
34620246,Chronic use of hydroxychloroquine did not protect against COVID-19 in a large cohort of patients with rheumatic diseases in Brazil.,"Advances in rheumatology (London, England)",2021
34590328,Hydroxychloroquine for Primary Progressive Multiple Sclerosis.,Annals of neurology,2021
34342813,Analysis of platelet-derived growth factor receptor A and oligodendrocyte transcription factor 2 markers following Hydroxychloroquine administration in animal induced multiple sclerosis model.,Metabolic brain disease,2021
33410109,Combination of Hydroxychloroquine and Indapamide Attenuates Neurodegeneration in Models Relevant to Multiple Sclerosis.,Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,2021
32860610,Hydroxychloroquine effects on miR-155-3p and miR-219 expression changes in animal model of multiple sclerosis.,Metabolic brain disease,2020
32646885,COVID-19 outcomes in MS: Observational study of early experience from NYU Multiple Sclerosis Comprehensive Care Center.,Neurology(R) neuroimmunology & neuroinflammation,2020
32516999,Comprehensive Analysis of the Immune and Stromal Compartments of the CNS in EAE Mice Reveal Pathways by Which Chloroquine Suppresses Neuroinflammation.,Brain sciences,2020
32480326,Are type 1 interferons treatment in Multiple Sclerosis as a potential therapy against COVID-19?,Multiple sclerosis and related disorders,2020
30208760,Mir223 restrains autophagy and promotes CNS inflammation by targeting ATG16L1.,Autophagy,2019
29737455,"Current and Future Use of Chloroquine and Hydroxychloroquine in Infectious, Immune, Neoplastic, and Neurological Diseases: A Mini-Review.",Clinical drug investigation,2018
