PMID,Title,Journal,Year
40609293,"Exploring novel protective role of semaglutide in 5-fluorouracil-induced hepatotoxicity: Insights into phosphorylated CREB, PINK1/Parkin-mediated mitophagy, and NF-kappaB/NLRP3 pathways.",The Journal of pharmacology and experimental therapeutics,2025
40260275,Optimized Effects of Fisetin and Hydroxychloroquine on ER Stress and Autophagy in Nonalcoholic Fatty Pancreas Disease in Mice.,Journal of diabetes research,2025
40197885,PREVALENCE AND RISK FACTORS ASSOCIATED WITH NON-ALCOHOLIC STEATOHEPATITIS IN PATIENTS WITH RHEUMATOID ARTHRITIS ON HYDROXYCHLOROQUINE: A POPULATION-BASED STUDY.,Arquivos de gastroenterologia,2025
40064382,Regulation of nanoparticle exocytosis direction via receptors transfer: A novel strategy to enhance therapeutic efficacy of semaglutide.,International journal of pharmaceutics,2025
39568816,Association between hydroxychloroquine use and risk of diabetes mellitus in systemic lupus erythematosus and rheumatoid arthritis: a UK Biobank-based study.,Frontiers in endocrinology,2024
39253219,Autophagy-enabled protein degradation: Key to platelet activation and ANGII production in patients with type 2 diabetes mellitus.,Heliyon,2024
38571865,Comorbidities in Privately Insured South Africans With Systemic Lupus Erythematosus.,Cureus,2024
37774764,Autophagy reduces aortic calcification in diabetic mice by reducing matrix vesicle body-mediated IL-1beta release.,Experimental cell research,2023
37666621,Autophagy perturbation upon acute pyrethroid treatment impacts adipogenic commitment of mesenchymal stem cells.,Pesticide biochemistry and physiology,2023
36119409,Post-COVID-19 mental health and its associated factors at 3-months after discharge: A case-control study.,Clinical epidemiology and global health,2022
36036333,Treating diabetes with combination of phosphodiesterase 5 inhibitors and hydroxychloroquine-a possible prevention strategy for COVID-19?,Molecular and cellular biochemistry,2023
35990905,The role of autophagy in high-fat diet-induced insulin resistance of adipose tissues in mice.,PeerJ,2022
35916331,Sjogren syndrome is a hidden contributor of macrovascular and microvascular complications in patients with type 2 diabetes.,International journal of rheumatic diseases,2022
35734974,"A randomized, placebo-controlled clinical trial of hydrogen/oxygen inhalation for non-alcoholic fatty liver disease.",Journal of cellular and molecular medicine,2022
35533739,Immunomodulatory and immunosuppressive therapies in cardiovascular disease and type 2 diabetes mellitus: A bedside-to-bench approach.,European journal of pharmacology,2022
35469826,Safety considerations of chloroquine in the treatment of patients with diabetes and COVID-19.,Chemico-biological interactions,2022
35466661,Efficacy and safety of hydroxychloroquine for managing glycemia in type-2 diabetes: A systematic review and meta-analysis.,Journal of postgraduate medicine,2022
35124169,HIF-1alpha/FOXO1 axis regulated autophagy is protective for beta cell survival under hypoxia in human islets.,Biochimica et biophysica acta. Molecular basis of disease,2022
35040415,Effects of Hydroxychloroquine on Progression of Diabetic Retinopathy in Subjects with Rheumatoid Arthritis and Type 2 Diabetes Mellitus.,Current diabetes reviews,2022
34713882,Food-derived cyanidin-3-O-glucoside alleviates oxidative stress: evidence from the islet cell line and diabetic db/db mice.,Food & function,2021
