pmid,title,journal,year,drug,disease
40804616,Recurrent ischemic strokes caused by hereditary protein S deficiency from a novel PROS1 mutation: a case report.,BMC neurology,2025,Clopidogrel,Cerebral Venous Thrombosis
40225423,Trousseau Syndrome-Associated Acute Multifocal Cerebral Infarction: When Triple-Pathway Antithrombotic Therapy Overcomes Low Molecular Weight Heparin Resistance.,Cureus,2025,Clopidogrel,Cerebral Venous Thrombosis
39492709,Treatment of cerebral venous thrombosis: a review.,Current medical research and opinion,2024,Clopidogrel,Cerebral Venous Thrombosis
37791549,Renal artery infarction in the SARS-Cov-2 era: A systematic review of case reports.,"Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica",2023,Clopidogrel,Cerebral Venous Thrombosis
36470531,Rivaroxaban in patients with symptomatic peripheral artery disease after lower extremity bypass surgery with venous and prosthetic conduits.,Journal of vascular surgery,2023,Clopidogrel,Cerebral Venous Thrombosis
36335913,Regression of venous thrombus after trans-sphenoidal hypophysectomy for pituitary-dependent hyperadrenocorticism in a dog.,The Journal of small animal practice,2023,Clopidogrel,Cerebral Venous Thrombosis
35797292,Coexistence of SARS-CoV-2 and cerebrovascular diseases: does COVID-19 positivity trigger cerebrovascular pathologies?,Journal of infection in developing countries,2022,Clopidogrel,Cerebral Venous Thrombosis
35668360,Safety and efficacy comparison between OACs plus single antiplatelet and dual antiplatelet therapy in patients with cerebral venous sinus stenosis poststenting.,BMC neurology,2022,Clopidogrel,Cerebral Venous Thrombosis
35602844,T-wave Inversions in Cerebellar and Occipital Lobe Infarcts in the Setting of Deep Vein Thrombosis and Pulmonary Embolism Suggestive of Paradoxical Emboli: A Case Report.,Cureus,2022,Clopidogrel,Cerebral Venous Thrombosis
32122776,Hyperhomocysteinemia Causes Severe Intraoperative Thrombotic Tendency in Superficial Temporal Artery-middle Cerebral Artery Bypass.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2020,Clopidogrel,Cerebral Venous Thrombosis
31092489,"A case of antiphospholipid syndrome presenting cryptogenically as Budd-Chiari syndrome, then fulminantly as Libman-Sacks endocarditis.",BMJ case reports,2019,Clopidogrel,Cerebral Venous Thrombosis
30817579,Therapeutic strategies of thromboembolic events in patients with inflammatory bowel diseases: Two case reports.,Medicine,2019,Clopidogrel,Cerebral Venous Thrombosis
30166503,Antiphosphatidylserine Antibody as a Cause of Multiple Dural Venous Sinus Thromboses and ST-Elevation Myocardial Infarction.,The American journal of case reports,2018,Clopidogrel,Cerebral Venous Thrombosis
28229071,Bilateral Vertebral Venous Sinus Thrombosis Causing Cervical Spinal Cord Compression in a Dog.,Frontiers in veterinary science,2017,Clopidogrel,Cerebral Venous Thrombosis
25183038,Concurrent pulmonary thrombosis with systemic embolism: a case report.,Journal of Zhejiang University. Science. B,2014,Clopidogrel,Cerebral Venous Thrombosis
21783169,Dose-related effect of statins in venous thrombosis risk reduction.,The American journal of medicine,2011,Clopidogrel,Cerebral Venous Thrombosis
19589404,[Antiplatelet agents and anticoagulants: management of the anticoagulated surgical patient].,Cirugia espanola,2009,Clopidogrel,Cerebral Venous Thrombosis
19513580,The Janus face of thromboprophylaxis in patients with high risk for both thrombosis and bleeding during intracranial surgery: report of five exemplary cases.,Acta neurochirurgica,2009,Clopidogrel,Cerebral Venous Thrombosis
19475882,[Myocardial and cerebral infarction as initial presentation of antiphospholipid syndrome].,Giornale italiano di cardiologia (2006),2009,Clopidogrel,Cerebral Venous Thrombosis
18574275,Antithrombotic and thrombolytic therapy for ischemic stroke: American College of Chest Physicians Evidence-Based Clinical Practice Guidelines (8th Edition).,Chest,2008,Clopidogrel,Cerebral Venous Thrombosis
17337887,"Rationale, design and baseline data of a randomized, double-blind, controlled trial comparing two antithrombotic regimens (a fixed-dose combination of extended-release dipyridamole plus ASA with clopidogrel) and telmisartan versus placebo in patients with strokes: the Prevention Regimen for Effectively Avoiding Second Strokes Trial (PRoFESS).","Cerebrovascular diseases (Basel, Switzerland)",2007,Clopidogrel,Cerebral Venous Thrombosis
16107092,[Does antiaggregant therapy have a place in type II heparin-induced thrombocytopenia?].,Journal des maladies vasculaires,2005,Clopidogrel,Cerebral Venous Thrombosis
15383482,Antithrombotic and thrombolytic therapy for ischemic stroke: the Seventh ACCP Conference on Antithrombotic and Thrombolytic Therapy.,Chest,2004,Clopidogrel,Cerebral Venous Thrombosis
14579620,[Stroke prevention].,Therapeutische Umschau. Revue therapeutique,2003,Clopidogrel,Cerebral Venous Thrombosis
12638476,[Anticoagulation and antiaggregation in neurological patients].,Therapeutische Umschau. Revue therapeutique,2003,Clopidogrel,Cerebral Venous Thrombosis
12500606,[Antithrombotic therapy for ischemic cerebrovascular accident].,Archives des maladies du coeur et des vaisseaux,2002,Clopidogrel,Cerebral Venous Thrombosis
