pmid,title,journal,year,drug,disease
36701035,"Effective, safe and efficient porcine model of Forrest Ib bleeding gastric and colonic ulcers.",Indian journal of gastroenterology : official journal of the Indian Society of Gastroenterology,2023,Clopidogrel,Colon Cancer
36076991,"Secretory SERPINE1 Expression Is Increased by Antiplatelet Therapy, Inducing MMP1 Expression and Increasing Colon Cancer Metastasis.",International journal of molecular sciences,2022,Clopidogrel,Colon Cancer
35634183,The incidence of cardiovascular thrombotic complications after laparoscopic resection in colorectal cancer in Japanese hospitals: A large-scale clinical study.,Annals of gastroenterological surgery,2022,Clopidogrel,Colon Cancer
35378627,Risk of post-polypectomy bleeding after endoscopic mucosal resection in patients receiving antiplatelet medication: comparison between the continue and hold groups.,Surgical endoscopy,2022,Clopidogrel,Colon Cancer
34296519,Incidence and risk factors of colorectal delayed post-polypectomy bleeding in patients taking antithrombotics.,Journal of digestive diseases,2021,Clopidogrel,Colon Cancer
30807844,Do Aspirin and Clopidogrel Follow the Same Road Toward Prevention of Colorectal Cancer?,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2019,Clopidogrel,Colon Cancer
30580092,"Clopidogrel and Low-Dose Aspirin, Alone or Together, Reduce Risk of Colorectal Cancer.",Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,2019,Clopidogrel,Colon Cancer
29369476,Platelets contribute to the initiation of colitis-associated cancer by promoting immunosuppression.,Journal of thrombosis and haemostasis : JTH,2018,Clopidogrel,Colon Cancer
29208464,Risk factors for postpolypectomy bleeding in patients receiving anticoagulation or antiplatelet medications.,Gastrointestinal endoscopy,2018,Clopidogrel,Colon Cancer
28971176,Does antiaggregant administration lead to early diagnosis in proximal colon cancer?,Northern clinics of Istanbul,2017,Clopidogrel,Colon Cancer
27809553,Endoscopic resection of colorectal polyps in patients on antiplatelet therapy: an evidence-based guidance for clinicians.,Revista espanola de enfermedades digestivas,2017,Clopidogrel,Colon Cancer
26559427,"Solid cancers after antiplatelet therapy: Confirmations, controversies, and challenges.",Thrombosis and haemostasis,2015,Clopidogrel,Colon Cancer
25122100,Lower gastrointestinal bleeding associated with diclofenac topical patch in a patient with colonic mass and on antiplatelet therapy for atrial fibrillation.,American journal of physical medicine & rehabilitation,2014,Clopidogrel,Colon Cancer
23369842,Unclassified pleomorphic and spindle cell pulmonary neoplasm with brain metastases after prasugrel.,Cardiology,2013,Clopidogrel,Colon Cancer
20548817,Antiplatelet therapy and percutaneous coronary intervention in patients with acute coronary syndrome and thrombocytopenia.,Texas Heart Institute journal,2010,Clopidogrel,Colon Cancer
20529533,Laparoscopic use of a hyaluronic acid carboxycellulose membrane slurry in gynecological oncology.,JSLS : Journal of the Society of Laparoendoscopic Surgeons,2010,Clopidogrel,Colon Cancer
20431946,Probing the occult: testing for blood in the stools.,Digestive diseases and sciences,2010,Clopidogrel,Colon Cancer
20195757,"Fecal occult blood test in patients on low-dose aspirin, warfarin, clopidogrel, or non-steroidal anti-inflammatory drugs.",Digestive diseases and sciences,2010,Clopidogrel,Colon Cancer
27942276,Colonoscopy with Polypectomy in Patients Taking Clopidogrel.,Gastroenterology research,2009,Clopidogrel,Colon Cancer
19500152,Aggressive chronic platelet inhibition with prasugrel and increased cancer risks: revising oral antiplatelet regimens?,Fundamental & clinical pharmacology,2009,Clopidogrel,Colon Cancer
19013392,Colonic carcinoma unmasked by dual antiplatelet therapy.,European journal of internal medicine,2008,Clopidogrel,Colon Cancer
