pmid,title,journal,year,drug,disease
39207323,"GLP-1 Receptor Agonists Among Patients With Overweight or Obesity, Diabetes, and HFpEF on SGLT2 Inhibitors.",JACC. Heart failure,2024,Clopidogrel,Diabetic Retinopathy
36861084,A medication-wide association study to identify medications associated with incident clinically significant diabetic retinopathy.,Therapeutic advances in ophthalmology,2023,Clopidogrel,Diabetic Retinopathy
36083201,"Incidence, prevalence, and potential risk factors for diabetic foot ulceration: A retrospective review at a multidisciplinary centre in Barbados.",International wound journal,2023,Clopidogrel,Diabetic Retinopathy
35300625,Effect of anticoagulant/antiplatelet therapy on the development and progression of diabetic retinopathy.,BMC ophthalmology,2022,Clopidogrel,Diabetic Retinopathy
33252541,Case Report: Ocular Tilt Reaction with Internuclear Ophthalmoplegia and Multiple Cranial Nerve Palsies.,Optometry and vision science : official publication of the American Academy of Optometry,2020,Clopidogrel,Diabetic Retinopathy
31743098,Significant polar vasculosis in a patient with a 30-year history of type 2 diabetes.,"Endocrinology, diabetes & metabolism case reports",2019,Clopidogrel,Diabetic Retinopathy
30663560,Endothelium as a Therapeutic Target in Diabetes Mellitus: From Basic Mechanisms to Clinical Practice.,Current medicinal chemistry,2020,Clopidogrel,Diabetic Retinopathy
28397728,Recommendations on the Clinical Use of Compound Danshen Dripping Pills.,Chinese medical journal,2017,Clopidogrel,Diabetic Retinopathy
25587544,TNF-alpha and microalbuminuria in patients with type 2 diabetes mellitus.,Journal of diabetes research,2014,Clopidogrel,Diabetic Retinopathy
25576171,A case-control study to assess aspirin as a risk factor of bleeding in rhegmatogenous retinal detachment surgery.,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2015,Clopidogrel,Diabetic Retinopathy
23094982,Maintenance of perioperative antiplatelet and anticoagulant therapy for vitreoretinal surgery.,Clinical & experimental ophthalmology,2013,Clopidogrel,Diabetic Retinopathy
21836531,Anticoagulation and clinically significant postoperative vitreous hemorrhage in diabetic vitrectomy.,"Retina (Philadelphia, Pa.)",2011,Clopidogrel,Diabetic Retinopathy
19048181,"Diabetes, vascular complications and antiplatelet therapy: open problems.",Acta diabetologica,2009,Clopidogrel,Diabetic Retinopathy
17488145,Approaches to prevention of cardiovascular complications and events in diabetes mellitus.,Drugs,2007,Clopidogrel,Diabetic Retinopathy
16306357,Aspirin at low-intermediate concentrations protects retinal vessels in experimental diabetic retinopathy through non-platelet-mediated effects.,Diabetes,2005,Clopidogrel,Diabetic Retinopathy
16276081,Secondary prevention of stroke with antiplatelet agents in patients with diabetes mellitus.,"Cerebrovascular diseases (Basel, Switzerland)",2005,Clopidogrel,Diabetic Retinopathy
12653455,Prevention of the complications of diabetes.,The American journal of managed care,2003,Clopidogrel,Diabetic Retinopathy
12595963,Effects of clopidogrel and ticlopidine on experimental diabetic ischemic retinopathy in rats.,Naunyn-Schmiedeberg's archives of pharmacology,2003,Clopidogrel,Diabetic Retinopathy
9735068,The antiplatelet effects of ticlopidine and clopidogrel.,Annals of internal medicine,1998,Clopidogrel,Diabetic Retinopathy
