pmid,title,journal,year,drug,disease
29807287,Impact of hepatitis B virus (HBV) infection on platelet response to clopidogrel in patients undergoing coronary stent implantation.,Thrombosis research,2018,Clopidogrel,Hepatitis B
28697899,HIV and coronary disease - When secondary prevention is insufficient.,Revista portuguesa de cardiologia : orgao oficial da Sociedade Portuguesa de Cardiologia = Portuguese journal of cardiology : an official journal of the Portuguese Society of Cardiology,2017,Clopidogrel,Hepatitis B
28617992,Antiplatelet therapy and the risk of hepatocellular carcinoma in chronic hepatitis B patients on antiviral treatment.,"Hepatology (Baltimore, Md.)",2017,Clopidogrel,Hepatitis B
28110540,"Portal Vein Thrombosis in Patients With Cirrhosis Undergoing Elective Transjugular Intrahepatic Portosystemic Shunt: Risk Factors, Warfarin Efficacy, and Clinical Outcomes.",Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,2018,Clopidogrel,Hepatitis B
27541812,Antiplatelet Therapy is Associated with a Better Prognosis for Patients with Hepatitis B Virus-Related Hepatocellular Carcinoma after Liver Resection.,Annals of surgical oncology,2016,Clopidogrel,Hepatitis B
26790032,Portal Vein Thrombosis and Arterioportal Shunting Due To Chronic Cholangitis: A Rare Complication of Living-Donor Liver Transplant.,Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation,2017,Clopidogrel,Hepatitis B
25023356,Platelets promote liver immunopathology contributing to hepatitis B virus-mediated hepatocarcinogenesis.,Seminars in oncology,2014,Clopidogrel,Hepatitis B
24585073,DTB Select: 3 | March 2014.,Drug and therapeutics bulletin,2014,Clopidogrel,Hepatitis B
27508186,Emerging role of dual antiplatelet therapy in the prevention of hepatitis B virus-associated hepatocellular carcinoma.,Journal of hepatocellular carcinoma,2014,Clopidogrel,Hepatitis B
23742914,Anti-platelet therapy in the prevention of hepatitis B virus-associated hepatocellular carcinoma.,Journal of hepatology,2013,Clopidogrel,Hepatitis B
22801727,Hepatocellular carcinoma: could antiplatelet drugs be used to prevent HBV-associated hepatocellular carcinoma?,Nature reviews. Gastroenterology & hepatology,2012,Clopidogrel,Hepatitis B
22753481,Antiplatelet therapy prevents hepatocellular carcinoma and improves survival in a mouse model of chronic hepatitis B.,Proceedings of the National Academy of Sciences of the United States of America,2012,Clopidogrel,Hepatitis B
